feature_name,pearson_correlation,count
relative_depth,0.03493088918504435,14800
bbox_width_px,-0.7617336897409628,14800
bbox_height_px,-0.6287412060801267,14800
bbox_width_norm,-0.7583646503026575,14800
bbox_height_norm,-0.6296041438064942,14800
bbox_area_ratio,-0.5353576746625561,14800
bbox_aspect_ratio,-0.03722366922147013,14800
bbox_center_x_norm,-0.009359538056096779,14800
bbox_center_y_norm,-0.04439421802277377,14800
