model_name,model_type,ridge_alpha,feature_set_size,feature_names,count,loocv_mae,loocv_median_absolute_error,loocv_mean_relative_error,loocv_median_relative_error,loocv_rmse,loocv_r2,loocv_mean_signed_error,loocv_median_signed_error,loocv_p90_absolute_error,loocv_p95_absolute_error,loocv_max_absolute_error,loocv_within_5m_rate,loocv_within_10m_rate,loocv_within_20m_rate,loocv_overprediction_rate,loocv_underprediction_rate,rank,mae_gap_from_best_fusion,mae_gap_vs_best_single
top_8_ridge_alpha_1,ridge,1.0,8,bbox_only__bbox_midpoint__object_depth | bbox_expand_1_5x__bbox_midpoint__object_minus_ring | bbox_only__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_1_5x__bbox_midpoint__object_depth | bbox_only__inner50_median__object_depth_percentile_5_95 | bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized | bbox_expand_2x__bbox_midpoint__object_minus_ring,480,25.15046786631063,21.696369636401606,0.47365337626334125,0.28481068230002715,30.48182540970442,0.3691824518420127,0.0493743896122074,1.0686811659350752,50.25562204797878,58.360913378124984,86.55203753535201,0.10208333333333333,0.2,0.45625,0.5083333333333333,0.49166666666666664,20,0.7414885806763678,-0.3112868099560657
raw_midpoint_all_scales_ols,ols,0.0,9,full_image__bbox_midpoint__object_depth | bbox_expand_16x__bbox_midpoint__object_depth | bbox_expand_10x__bbox_midpoint__object_depth | bbox_expand_8x__bbox_midpoint__object_depth | bbox_expand_6x__bbox_midpoint__object_depth | bbox_expand_4x__bbox_midpoint__object_depth | bbox_expand_2x__bbox_midpoint__object_depth | bbox_expand_1_5x__bbox_midpoint__object_depth | bbox_only__bbox_midpoint__object_depth,480,25.15539323974742,22.137379276511687,0.47136048280004744,0.2711757401287706,31.27061724345776,0.33611213389295314,0.07857778604088708,-0.30731732922424015,51.49572724313342,60.79007790471677,99.28860190785278,0.12291666666666666,0.2604166666666667,0.4666666666666667,0.4895833333333333,0.5104166666666666,21,0.7464139541131551,-0.3063614365192784
top_8_ols,ols,0.0,8,bbox_only__bbox_midpoint__object_depth | bbox_expand_1_5x__bbox_midpoint__object_minus_ring | bbox_only__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_1_5x__bbox_midpoint__object_depth | bbox_only__inner50_median__object_depth_percentile_5_95 | bbox_expand_1_5x__bbox_midpoint__object_depth_percentile_5_95 | bbox_expand_1_5x__bbox_midpoint__object_minus_ring_normalized | bbox_expand_2x__bbox_midpoint__object_minus_ring,480,25.159036439807643,21.783705231595675,0.47380284771406544,0.2836511071616186,30.489872248916566,0.3688493512269856,0.050798505177336514,1.0434248683454044,50.339727747126055,58.204128250682764,86.61057513379107,0.10208333333333333,0.19791666666666666,0.45625,0.5083333333333333,0.49166666666666664,22,0.7500571541733798,-0.3027182364590537
raw_midpoint_all_scales_ridge_alpha_1,ridge,1.0,9,full_image__bbox_midpoint__object_depth | bbox_expand_16x__bbox_midpoint__object_depth | bbox_expand_10x__bbox_midpoint__object_depth | bbox_expand_8x__bbox_midpoint__object_depth | bbox_expand_6x__bbox_midpoint__object_depth | bbox_expand_4x__bbox_midpoint__object_depth | bbox_expand_2x__bbox_midpoint__object_depth | bbox_expand_1_5x__bbox_midpoint__object_depth | bbox_only__bbox_midpoint__object_depth,480,25.15987202425271,22.26721176960436,0.4715553668325944,0.27136485898869844,31.261823154954623,0.33648548550722,0.0768000439690771,-0.2431044054855036,51.59157696840364,60.889055572687845,98.82161528804542,0.12291666666666666,0.2604166666666667,0.46875,0.49166666666666664,0.5083333333333333,23,0.7508927386184467,-0.3018826520139868
top_3_ols,ols,0.0,3,bbox_only__bbox_midpoint__object_depth | bbox_expand_1_5x__bbox_midpoint__object_minus_ring | bbox_only__bbox_midpoint__object_depth_percentile_5_95,480,25.22534560477112,21.832193541625244,0.4736164977694997,0.28281435076749595,30.824961097649307,0.3549002138580414,0.008757740002664605,0.12134145415699038,51.60836942113306,60.37116461545859,82.52902023724229,0.09583333333333334,0.22083333333333333,0.45625,0.5,0.5,24,0.8163663191368578,-0.23640907149557577
top_3_ridge_alpha_1,ridge,1.0,3,bbox_only__bbox_midpoint__object_depth | bbox_expand_1_5x__bbox_midpoint__object_minus_ring | bbox_only__bbox_midpoint__object_depth_percentile_5_95,480,25.225607366272563,21.855402386700348,0.4736577334836138,0.28272904705540697,30.82346150516354,0.35496297878791616,0.008557348176591024,0.09166232870548896,51.60739823719438,60.4141208626015,82.39876758496833,0.09583333333333334,0.22291666666666668,0.45625,0.5,0.5,25,0.8166280806382993,-0.23614730999413425
top_3_ridge_alpha_10,ridge,10.0,3,bbox_only__bbox_midpoint__object_depth | bbox_expand_1_5x__bbox_midpoint__object_minus_ring | bbox_only__bbox_midpoint__object_depth_percentile_5_95,480,25.228430779228695,21.97219131492693,0.4740322675215644,0.2843331399082195,30.813180582254812,0.3553932010672848,0.007019377361158755,0.09082923568326606,51.45762919236734,60.645701852621876,81.35033729186927,0.09791666666666667,0.21875,0.45625,0.5020833333333333,0.4979166666666667,26,0.8194514935944319,-0.2333238970380016
greedy_forward_ols_k1,ols,0.0,1,bbox_only__bbox_midpoint__object_depth,480,25.461754676266697,21.449902621148574,0.48075564352438066,0.27371480488781197,31.24388909373432,0.33724654775565244,-0.0012296832989344844,-0.4175299095889571,52.946484187428005,59.807970413257195,87.49184698165959,0.10833333333333334,0.2375,0.46458333333333335,0.4979166666666667,0.5020833333333333,27,1.0527753906324335,0.0
greedy_forward_ridge_k1,ridge,1.0,1,bbox_only__bbox_midpoint__object_depth,480,25.463184823753075,21.483503424229966,0.4808244142182392,0.2738816084630725,31.243780295318277,0.33725116346786854,-0.0012271214587087798,-0.44275608901352825,52.94056314564919,59.78514500516767,87.38786040065658,0.10833333333333334,0.23958333333333334,0.4625,0.4979166666666667,0.5020833333333333,28,1.0542055381188113,0.0014301474863778196
mixed_shortlist_ridge_alpha_1,ridge,1.0,4,bbox_only__bbox_midpoint__object_depth | bbox_expand_1_5x__bbox_midpoint__object_minus_ring | bbox_expand_2x__bbox_midpoint__object_minus_ring | bbox_expand_4x__bbox_midpoint__object_minus_ring,480,25.487862108250454,22.551352670054712,0.48173864168166036,0.28777900672586226,31.018374067592653,0.34677938571059397,0.04043526715664901,0.35923310530851893,52.6476541648605,60.03908722561626,81.09075560453203,0.11666666666666667,0.21041666666666667,0.45416666666666666,0.5083333333333333,0.49166666666666664,29,1.0788828226161904,0.026107431983756868
