rf_weight,xgb_weight,oof_mae,oof_mean_relative_error,oof_rmse,oof_r2
0.0,1.0,5.987098997289484,0.07910176192939038,8.461129667138941,0.9507165333509111
0.01,0.99,5.985217183213122,0.07905136792793536,8.46024957640043,0.9507267853310792
0.02,0.98,5.983441752242859,0.0790026356399412,8.459522898887903,0.9507352494311068
0.03,0.97,5.9818057211278886,0.07895591407225817,8.458949674138868,0.9507419256509935
0.04,0.96,5.9803411405675195,0.07891167160854516,8.458529933351274,0.9507468139907396
0.05,0.95,5.978986846508796,0.07886926592519848,8.458263699375015,0.950749914450345
0.06,0.94,5.9776997318512635,0.07882790583581199,8.458150986705718,0.9507512270298095
0.07,0.9299999999999999,5.976520216280568,0.07878787212599049,8.458191801480792,0.9507507517291335
0.08,0.92,5.975433308851432,0.07874913690084077,8.458386141477758,0.9507484885483166
0.09,0.91,5.974454426911432,0.07871192334237939,8.45873399611486,0.9507444374873592
0.1,0.9,5.97360374655756,0.07867640382025493,8.459235346453942,0.9507385985462609
0.11,0.89,5.972856211559885,0.07864218243629595,8.459890165205598,0.950730971725022
0.12,0.88,5.972213749313553,0.07860970387788116,8.4606984167366,0.9507215570236424
0.13,0.87,5.971700444287096,0.07857920031157242,8.46166005707959,0.9507103544421219
0.14,0.86,5.971355203161166,0.07855089034171199,8.462775033945032,0.9506973639804609
0.15,0.85,5.971122124655885,0.07852421069042842,8.464043286735404,0.950682585638659
0.16,0.84,5.970994259152911,0.07849943444367147,8.46546474656165,0.9506660194167166
0.17,0.83,5.970970338708439,0.07847618241774572,8.467039336261864,0.9506476653146333
0.18,0.8200000000000001,5.971030092013863,0.07845428553520384,8.468766970422175,0.9506275233324094
0.19,0.81,5.971223911051501,0.07843437690996997,8.470647555399857,0.9506055934700447
0.2,0.8,5.971535453882371,0.07841622623893439,8.472680989348634,0.9505818757275394
0.21,0.79,5.971968155314813,0.07839998067034307,8.474867162246149,0.9505563701048932
0.22,0.78,5.972529192518114,0.07838526607229497,8.477205955923601,0.9505290766021065
0.23,0.77,5.97319798590562,0.07837212517290415,8.479697244097531,0.9504999952191789
0.24,0.76,5.97402679046034,0.07836149930437405,8.482340892403705,0.9504691259561108
0.25,0.75,5.974933310254788,0.07835206756917813,8.485136758433132,0.9504364688129018
0.26,0.74,5.975942386292054,0.07834404812787167,8.488084691770121,0.9504020237895522
0.27,0.73,5.977086279584395,0.07833769164869758,8.491184534032435,0.9503657908860618
0.28,0.72,5.9783279785217776,0.07833262586331774,8.494436118913436,0.9503277701024307
0.29,0.71,5.979723042794348,0.07832940064003031,8.497839272226255,0.9502879614386589
0.3,0.7,5.981221251485248,0.07832765334897214,8.501393811949939,0.9502463648947465
0.31,0.69,5.982858468698157,0.07832758328438617,8.505099548277535,0.9502029804706932
0.32,0.6799999999999999,5.984645149335949,0.07832936015653179,8.508956283666107,0.9501578081664993
0.33,0.6699999999999999,5.9865559171550995,0.07833308482325672,8.512963812888628,0.9501108479821646
0.34,0.6599999999999999,5.988596450177234,0.07833888420297358,8.51712192308774,0.9500620999176893
0.35,0.65,5.99079735412131,0.07834740764524897,8.52143039383134,0.9500115639730732
0.36,0.64,5.993114528194569,0.07835770088530825,8.525888997169936,0.9499592401483163
0.37,0.63,5.9955308890653365,0.07836926375678142,8.530497497695809,0.9499051284434189
0.38,0.62,5.998049806246123,0.0783820840740544,8.535255652603833,0.9498492288583806
0.39,0.61,6.0006853243125615,0.07839654263131528,8.540163211754038,0.9497915413932018
0.4,0.6,6.003421091025543,0.07841238905701439,8.545219917735798,0.9497320660478821
0.41,0.5900000000000001,6.006286032156653,0.07843014094561383,8.550425505933628,0.9496708028224218
0.42,0.5800000000000001,6.009262968986959,0.07844957507488358,8.555779704594562,0.9496077517168207
