display_name,model_name,split_name,fold_index,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
scale only,scale_only,cv_fold,0,2563,47.48952322229704,41.86785362965779,0.7508748380116302,0.5842853979320698,57.81538544026034,-1.319608876177102,-24.88891406560269,-26.79241815429794,94.27601698130975,108.83417310025588,160.2062633920442,0.06359734685914943,0.12173234490831057,0.24502536090518923,0.30979321108076474,0.6902067889192353
scale only,scale_only,cv_fold,1,2562,47.05236261500967,41.59889779670726,0.7572063078637558,0.5872189993306343,57.552601106005916,-1.2797669158610328,-23.294849370597497,-24.62666756788317,94.98855378740923,109.3781011823804,154.77826912407318,0.06049960967993755,0.12451209992193599,0.25136612021857924,0.33138173302107726,0.6686182669789227
scale only,scale_only,cv_fold,2,2562,47.01124673426727,41.65802830643395,0.7531434294179273,0.5860111526304146,57.71929617345552,-1.303500492938515,-22.418637664640734,-22.22205340738819,95.44697489209119,110.50150226962134,150.0,0.06596409055425449,0.13387978142076504,0.2607338017174083,0.3434816549570648,0.6565183450429352
scale only,scale_only,cv_fold,3,2560,47.90734220576545,42.12098711005219,0.7451115796013071,0.5905379268151163,58.38845877565212,-1.3574165610957505,-25.181214106553472,-27.889842680159152,97.00682015025134,109.91162145832565,150.0,0.0625,0.121484375,0.24609375,0.328125,0.671875
scale only,scale_only,cv_fold,4,2557,46.728922383696,40.762368571288626,0.7364836627544099,0.5809992773043307,57.28656423695262,-1.222848251615761,-24.02526662985136,-25.528083855339585,96.49137397247067,109.76862132714595,150.0,0.06296441141963238,0.1321861556511537,0.25928822839264765,0.3320297223308565,0.6679702776691435
depth linear,depth_only_linear,cv_fold,0,2563,32.11794151492152,28.47004260807867,0.6512257463020881,0.33923352574964255,37.94941888164936,0.0006027014060995262,-0.22684933752666028,-1.48529237795384,57.642137485193004,72.44546451284226,75.02245561396245,0.08661724541552868,0.16699180647678502,0.3402262973078424,0.4982442450253609,0.5017557549746391
depth linear,depth_only_linear,cv_fold,1,2562,32.22932879294906,35.875118650941836,0.6703797933170973,0.33282765132913245,38.09816935619778,0.0009924970659651589,0.5219556284334319,-1.5482888614850339,57.61284667310203,72.2590322397332,74.58502541590904,0.09250585480093677,0.17291178766588602,0.34153005464480873,0.49882903981264637,0.5011709601873536
depth linear,depth_only_linear,cv_fold,2,2562,32.094909775499836,28.640333314747878,0.6577175793745287,0.33794956003526133,38.019770767725326,0.0005403990168250106,0.31454934763019243,5.903831874882414,57.753069280496426,72.37246083204258,75.00819261801928,0.0897736143637783,0.17759562841530055,0.3442622950819672,0.5066354410616706,0.4933645589383294
depth linear,depth_only_linear,cv_fold,3,2560,32.16232762824502,28.35087820412855,0.6417667586749989,0.33389833059004653,38.01214489406111,0.0008583603786422866,-0.43177912611593217,5.974839135793715,57.65095746759432,72.6348593636893,75.06298471360066,0.084375,0.169140625,0.341015625,0.503125,0.496875
depth linear,depth_only_linear,cv_fold,4,2557,32.713675838426425,28.975967298842036,0.6704716884859996,0.3458580459981505,38.44915620655572,-0.0013315260708819388,-0.18197811100897826,4.421258835714411,58.18800777545924,72.42260914379621,76.06156974617775,0.07391474384043802,0.15682440359796637,0.321861556511537,0.5005866249511146,0.4994133750488854
