display_name,model_name,split_name,true_distance_m,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
scale only,scale_only,cv_oof,20.0,1087,42.289410886309476,35.84159930875212,2.1144705443154734,1.792079965437606,52.6350731097411,0.0,39.51741018030826,35.84159930875212,86.0736903438339,101.37588152544787,160.2062633920442,0.07083716651333946,0.1453541858325667,0.31462741490340385,0.8620055197792088,0.13799448022079117
scale only,scale_only,cv_oof,30.0,1065,36.68152167715315,29.8747648752063,1.2227173892384382,0.99582549584021,45.900472158033935,0.0,28.231365762513963,25.403961829482114,76.80007345692596,91.28025022473848,140.6291661196394,0.08450704225352113,0.1643192488262911,0.3314553990610329,0.7492957746478873,0.2507042253521127
scale only,scale_only,cv_oof,40.0,1022,31.771539219490336,27.101918864825297,0.7942884804872583,0.6775479716206324,40.3119439056542,0.0,15.023692653841353,12.12987049084342,66.11530706267106,81.36515737877598,144.2937169311781,0.08610567514677103,0.1888454011741683,0.38551859099804303,0.6066536203522505,0.3933463796477495
scale only,scale_only,cv_oof,50.0,1064,30.55110565966026,28.776036988286492,0.6110221131932051,0.5755207397657298,36.29580245712678,0.0,-0.38208291540010786,-2.2044808082539653,51.495984174668884,63.9934006212808,105.92471826761764,0.09774436090225563,0.17951127819548873,0.35620300751879697,0.4774436090225564,0.5225563909774437
scale only,scale_only,cv_oof,60.0,1118,30.65551339081211,27.58665197655878,0.5109252231802018,0.45977753294264634,36.605757517571426,0.0,-13.145864776444878,-15.304723296402514,60.0,60.0,99.6102977096545,0.09302325581395349,0.2003577817531306,0.3694096601073345,0.35241502683363146,0.6475849731663685
scale only,scale_only,cv_oof,70.0,1065,35.51191823541291,32.85751569336563,0.5073131176487559,0.4693930813337947,42.10378181938252,0.0,-22.64035032980402,-25.262346939335444,70.0,70.0,77.2927546823139,0.07793427230046948,0.1643192488262911,0.30985915492957744,0.28826291079812205,0.711737089201878
scale only,scale_only,cv_oof,80.0,1095,38.35894542007369,35.7234993374725,0.479486817750921,0.4465437417184062,46.010220102839796,0.0,-27.64286401600603,-30.302034636133193,78.89418215372523,80.0,96.92008225025893,0.0821917808219178,0.1634703196347032,0.3132420091324201,0.2401826484018265,0.7598173515981735
scale only,scale_only,cv_oof,90.0,1047,40.88628648817917,37.24384190102386,0.4542920720908797,0.4138204655669318,48.77480768984141,0.0,-31.80995332882096,-33.07490563152964,82.76597592362508,89.91484189279396,90.0005748899933,0.06781279847182425,0.13753581661891118,0.2722063037249284,0.20534861509073543,0.7946513849092646
scale only,scale_only,cv_oof,100.0,1066,50.22845709034761,46.982283577135775,0.502284570903476,0.46982283577135775,58.89447552067812,0.0,-45.65507998026773,-46.686806229486805,99.27677402110314,100.0,100.01637381296082,0.04971857410881801,0.09380863039399624,0.20544090056285177,0.12288930581613508,0.8771106941838649
scale only,scale_only,cv_oof,115.0,1139,63.81314127570034,65.32536204489378,0.5548968806582638,0.5680466264773372,70.56148308181822,0.0,-63.38697580487364,-65.32536204489378,104.68787689241076,110.13994523582078,115.0,0.027216856892010536,0.041264266900790166,0.08867427568042142,0.02370500438981563,0.9762949956101844
