model_family,candidate_name,num_features,feature_names,oof_mae,oof_mean_relative_error,oof_rmse,oof_r2,param_n_estimators,param_max_depth,param_min_samples_leaf,param_max_features,param_random_state,param_n_jobs
rf,rf_shallow,21,bbox_only__inner50_median__object_depth__jitter_median | bbox_width_px__jitter_median | bbox_height_px__jitter_median | bbox_width_norm__jitter_median | bbox_height_norm__jitter_median | bbox_area_ratio__jitter_median | bbox_aspect_ratio__jitter_median | bbox_center_x_norm__jitter_median | bbox_center_y_norm__jitter_median | bbox_width_px__jitter_std | bbox_height_px__jitter_std | bbox_width_norm__jitter_std | bbox_height_norm__jitter_std | bbox_area_ratio__jitter_std | bbox_aspect_ratio__jitter_std | bbox_center_x_norm__jitter_std | bbox_center_y_norm__jitter_std | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,7.065146241990518,0.09127243140071929,9.845471136061459,0.9332705486369165,300,10,5,sqrt,20260520,1
rf,rf_medium,21,bbox_only__inner50_median__object_depth__jitter_median | bbox_width_px__jitter_median | bbox_height_px__jitter_median | bbox_width_norm__jitter_median | bbox_height_norm__jitter_median | bbox_area_ratio__jitter_median | bbox_aspect_ratio__jitter_median | bbox_center_x_norm__jitter_median | bbox_center_y_norm__jitter_median | bbox_width_px__jitter_std | bbox_height_px__jitter_std | bbox_width_norm__jitter_std | bbox_height_norm__jitter_std | bbox_area_ratio__jitter_std | bbox_aspect_ratio__jitter_std | bbox_center_x_norm__jitter_std | bbox_center_y_norm__jitter_std | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,6.481356192161607,0.0839908397316598,9.194415448618068,0.9418040456694384,300,16,3,sqrt,20260520,1
rf,rf_deep,21,bbox_only__inner50_median__object_depth__jitter_median | bbox_width_px__jitter_median | bbox_height_px__jitter_median | bbox_width_norm__jitter_median | bbox_height_norm__jitter_median | bbox_area_ratio__jitter_median | bbox_aspect_ratio__jitter_median | bbox_center_x_norm__jitter_median | bbox_center_y_norm__jitter_median | bbox_width_px__jitter_std | bbox_height_px__jitter_std | bbox_width_norm__jitter_std | bbox_height_norm__jitter_std | bbox_area_ratio__jitter_std | bbox_aspect_ratio__jitter_std | bbox_center_x_norm__jitter_std | bbox_center_y_norm__jitter_std | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,6.368100825087624,0.08240869552715911,9.103120956995832,0.9429540030424398,300,24,2,sqrt,20260520,1
rf,rf_unbounded,21,bbox_only__inner50_median__object_depth__jitter_median | bbox_width_px__jitter_median | bbox_height_px__jitter_median | bbox_width_norm__jitter_median | bbox_height_norm__jitter_median | bbox_area_ratio__jitter_median | bbox_aspect_ratio__jitter_median | bbox_center_x_norm__jitter_median | bbox_center_y_norm__jitter_median | bbox_width_px__jitter_std | bbox_height_px__jitter_std | bbox_width_norm__jitter_std | bbox_height_norm__jitter_std | bbox_area_ratio__jitter_std | bbox_aspect_ratio__jitter_std | bbox_center_x_norm__jitter_std | bbox_center_y_norm__jitter_std | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,6.374855037364267,0.0825172955672536,9.107000602533077,0.9429053679841545,300,,2,sqrt,20260520,1
