variant_name,model_family,drone_type,count,mae,mean_relative_error,mean_signed_error,within_10m_rate
baseline_saved_ensemble,ensemble,Kongsberg,203,36.153620863639354,1.5833192554107416,36.153620863639354,0.0
baseline_saved_ensemble,ensemble,Vestfold,286,18.97735155392105,0.5863885908269921,18.97735155392105,0.12937062937062938
depth_only,ensemble,Kongsberg,203,46.829508932422186,3.65474011737114,46.829508932422186,0.009852216748768473
depth_only,ensemble,Vestfold,286,40.66705585775901,1.832187341232756,40.32457835932655,0.06293706293706294
depth_only,rf,Kongsberg,203,45.855041501100615,3.5768547430383846,45.751445572307645,0.029556650246305417
depth_only,rf,Vestfold,286,40.74901543790967,1.8095168549254477,39.452276726284595,0.11538461538461539
depth_only,xgb,Kongsberg,203,47.67655871536931,3.71796036063688,47.67655871536931,0.009852216748768473
depth_only,xgb,Vestfold,286,41.22809271378951,1.8597570378689015,41.009958213859505,0.045454545454545456
depth_plus_no_size_geometry,ensemble,Kongsberg,203,43.74860824033321,3.32100983418863,43.740498750527884,0.03940886699507389
depth_plus_no_size_geometry,ensemble,Vestfold,286,42.10473402793871,1.8308963372543394,41.76290668287747,0.03496503496503497
depth_plus_no_size_geometry,rf,Kongsberg,203,45.12043306537958,3.402339689482184,45.11228491723143,0.024630541871921183
depth_plus_no_size_geometry,rf,Vestfold,286,42.55362036292475,1.8734478886047994,42.24146929867017,0.05944055944055944
depth_plus_no_size_geometry,xgb,Kongsberg,203,42.67074587779679,3.2571078050294093,42.66266676240367,0.04926108374384237
depth_plus_no_size_geometry,xgb,Vestfold,286,41.77094326152668,1.7977246518097088,41.38689319904034,0.03496503496503497
depth_plus_normalized_geometry,ensemble,Kongsberg,203,30.83378533256071,1.3846804513320117,30.83378533256071,0.009852216748768473
depth_plus_normalized_geometry,ensemble,Vestfold,286,15.064216466833546,0.4833490784454757,15.064216466833546,0.36363636363636365
depth_plus_normalized_geometry,rf,Kongsberg,203,31.518755839340358,1.434710300023786,31.518755839340358,0.0
depth_plus_normalized_geometry,rf,Vestfold,286,14.982457524829544,0.4785655629138947,14.982457524829544,0.3531468531468531
depth_plus_normalized_geometry,xgb,Kongsberg,203,30.29559422009097,1.3453712845027601,30.29559422009097,0.09852216748768473
depth_plus_normalized_geometry,xgb,Vestfold,286,15.132632328913761,0.4871771664906214,15.128455635550973,0.3531468531468531
depth_repeated_16_with_geometry,ensemble,Kongsberg,203,36.46574240564094,1.590619482134032,36.46574240564094,0.0
depth_repeated_16_with_geometry,ensemble,Vestfold,286,19.29987968633899,0.5969503796918704,19.29987968633899,0.1048951048951049
depth_repeated_16_with_geometry,rf,Kongsberg,203,39.39284415479613,1.7377698765224376,39.39284415479613,0.0
depth_repeated_16_with_geometry,rf,Vestfold,286,21.834498886893993,0.6523141354321622,21.834498886893993,0.03496503496503497
depth_repeated_16_with_geometry,xgb,Kongsberg,203,34.16587674559044,1.4750013151145707,34.16587674559044,0.0
depth_repeated_16_with_geometry,xgb,Vestfold,286,17.3083931716172,0.5534502858959263,17.3083931716172,0.23426573426573427
depth_repeated_8_with_geometry,ensemble,Kongsberg,203,36.751578860671074,1.6017014275402917,36.751578860671074,0.0
depth_repeated_8_with_geometry,ensemble,Vestfold,286,19.62508363416036,0.6026938067922324,19.62508363416036,0.08741258741258741
depth_repeated_8_with_geometry,rf,Kongsberg,203,38.875438479929045,1.7095703875373285,38.875438479929045,0.0
depth_repeated_8_with_geometry,rf,Vestfold,286,21.32103671164532,0.6379550181212361,21.32103671164532,0.04195804195804196
depth_repeated_8_with_geometry,xgb,Kongsberg,203,35.082832016968375,1.5169472446854768,35.082832016968375,0.0
depth_repeated_8_with_geometry,xgb,Vestfold,286,18.29254907327932,0.5749885693194436,18.29254907327932,0.15734265734265734
