variant_name,model_family,num_features,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate,feature_names
baseline_saved_ensemble,ensemble,13,489,26.107786461636422,21.93542580314515,1.0002473329752564,0.7338628427571987,30.483115975216215,-1.446737667328176,26.107786461636422,21.93542580314515,51.6402136548065,59.55942513770923,0.002044989775051125,0.07566462167689161,0.4662576687116564,1.0,0.0,
depth_only,rf,1,489,42.868694969254776,39.09070105820106,2.543197000706483,1.276353835978836,49.18242867037986,-5.369254941613051,42.06726911021644,39.09070105820106,76.90478102453102,85.91887698412698,0.03680981595092025,0.07975460122699386,0.18200408997955012,0.9570552147239264,0.04294478527607362,raw_depth
depth_only,xgb,1,489,43.905063262502594,44.050079345703125,2.631158417259289,1.4410614013671874,48.15839476541063,-5.106785925686826,43.77748357542697,44.050079345703125,70.8214126586914,80.22806396484374,0.010224948875255624,0.03067484662576687,0.13496932515337423,0.9918200408997955,0.0081799591002045,raw_depth
depth_only,ensemble,1,489,43.225293023723474,42.114856946123716,2.588789004946646,1.3910826785488228,47.77340335253055,-5.009537558361706,43.02498921073434,42.114856946123716,71.39525475195829,78.60117855367992,0.014314928425357873,0.0408997955010225,0.13496932515337423,0.9897750511247444,0.010224948875255624,raw_depth
depth_plus_no_size_geometry,rf,8,489,43.61918882631602,44.54591269841272,2.508141212895411,1.3753364197530868,47.48930030065498,-4.938274001753184,43.43323938163118,44.54591269841272,68.67150335775334,75.89496428571428,0.014314928425357873,0.044989775051124746,0.12883435582822086,0.983640081799591,0.016359918200409,raw_depth | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM
depth_plus_no_size_geometry,xgb,8,489,42.14448095294352,41.9560546875,2.403562647931589,1.3665998458862305,46.41176642178328,-4.6718519608634015,41.916508809189125,41.9560546875,66.36859741210937,76.00751342773437,0.024539877300613498,0.0408997955010225,0.13701431492842536,0.9897750511247444,0.010224948875255624,raw_depth | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM
depth_plus_no_size_geometry,ensemble,8,489,42.787160336969556,43.588762138826894,2.449491510828288,1.3863031078714045,46.75848820809905,-4.7569122990445845,42.58387026106364,43.588762138826894,67.61877630115328,76.3254027221272,0.016359918200409,0.03680981595092025,0.12678936605316973,0.983640081799591,0.016359918200409,raw_depth | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM
depth_plus_normalized_geometry,rf,11,489,21.84721940181461,17.21191798941797,0.8754927237182054,0.5750039682539677,25.96930004123856,-0.7757800777763297,21.84721940181461,17.21191798941797,42.53608330961271,50.66080594405591,0.026584867075664622,0.2065439672801636,0.5460122699386503,1.0,0.0,raw_depth | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM
depth_plus_normalized_geometry,xgb,11,489,21.427277040384055,17.187042236328125,0.8434418003484212,0.5807272338867188,25.45983824792122,-0.7067895354636347,21.424834229951013,17.187042236328125,41.64166412353515,49.08353271484375,0.014314928425357873,0.2474437627811861,0.5623721881390593,0.9979550102249489,0.002044989775051125,raw_depth | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM
depth_plus_normalized_geometry,ensemble,11,489,21.610683705570995,17.074074299936456,0.8575214070670846,0.5828021108669704,25.664950320130117,-0.734401126885303,21.610683705570995,17.074074299936456,42.19254950814116,49.63853673683337,0.02044989775051125,0.2167689161554192,0.5644171779141104,1.0,0.0,raw_depth | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM
depth_repeated_8_with_geometry,rf,20,489,28.608446852671076,25.21230158730159,1.0828178401896753,0.7823666666666665,32.831284489049615,-1.8382094381335357,28.608446852671076,25.21230158730159,53.03909391534391,59.39768253968252,0.0,0.024539877300613498,0.43149284253578735,1.0,0.0,raw_depth_dup_00 | raw_depth_dup_01 | raw_depth_dup_02 | raw_depth_dup_03 | raw_depth_dup_04 | raw_depth_dup_05 | raw_depth_dup_06 | raw_depth_dup_07 | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM
depth_repeated_8_with_geometry,xgb,20,489,25.262748332111382,19.513317108154297,0.9660266288272242,0.7376206970214844,30.147695706689813,-1.393188666004244,25.262748332111382,19.513317108154297,52.55215148925781,60.74439086914062,0.010224948875255624,0.09202453987730061,0.5071574642126789,1.0,0.0,raw_depth_dup_00 | raw_depth_dup_01 | raw_depth_dup_02 | raw_depth_dup_03 | raw_depth_dup_04 | raw_depth_dup_05 | raw_depth_dup_06 | raw_depth_dup_07 | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM
depth_repeated_8_with_geometry,ensemble,20,489,26.73485568115765,22.020870278979103,1.0174147618267027,0.7492431882156291,31.256823461200582,-1.572517695938648,26.73485568115765,22.020870278979103,53.00036386633496,59.84360784301112,0.0,0.05112474437627812,0.46830265848670755,1.0,0.0,raw_depth_dup_00 | raw_depth_dup_01 | raw_depth_dup_02 | raw_depth_dup_03 | raw_depth_dup_04 | raw_depth_dup_05 | raw_depth_dup_06 | raw_depth_dup_07 | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM
depth_repeated_16_with_geometry,rf,28,489,29.123546104448454,25.911111111111126,1.1029225514675935,0.7937087301587307,33.270549836879546,-1.9146650110595198,29.123546104448454,25.911111111111126,53.457860750360766,60.353789682539706,0.0,0.02044989775051125,0.4171779141104294,1.0,0.0,raw_depth_dup_00 | raw_depth_dup_01 | raw_depth_dup_02 | raw_depth_dup_03 | raw_depth_dup_04 | raw_depth_dup_05 | raw_depth_dup_06 | raw_depth_dup_07 | raw_depth_dup_08 | raw_depth_dup_09 | raw_depth_dup_10 | raw_depth_dup_11 | raw_depth_dup_12 | raw_depth_dup_13 | raw_depth_dup_14 | raw_depth_dup_15 | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM
depth_repeated_16_with_geometry,xgb,28,489,24.306489624616315,18.81597137451172,0.9360164595797399,0.7140211741129557,28.940793819245624,-1.2054111689414562,24.306489624616315,18.81597137451172,49.90370483398437,57.79647369384765,0.012269938650306749,0.13701431492842536,0.523517382413088,1.0,0.0,raw_depth_dup_00 | raw_depth_dup_01 | raw_depth_dup_02 | raw_depth_dup_03 | raw_depth_dup_04 | raw_depth_dup_05 | raw_depth_dup_06 | raw_depth_dup_07 | raw_depth_dup_08 | raw_depth_dup_09 | raw_depth_dup_10 | raw_depth_dup_11 | raw_depth_dup_12 | raw_depth_dup_13 | raw_depth_dup_14 | raw_depth_dup_15 | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM
depth_repeated_16_with_geometry,ensemble,28,489,26.425994475742456,22.115222681180754,1.0094551400103955,0.7389708797910984,30.75754756104015,-1.4909906628706762,26.425994475742456,22.115222681180754,51.146812187215815,59.49331137850323,0.0,0.06134969325153374,0.46830265848670755,1.0,0.0,raw_depth_dup_00 | raw_depth_dup_01 | raw_depth_dup_02 | raw_depth_dup_03 | raw_depth_dup_04 | raw_depth_dup_05 | raw_depth_dup_06 | raw_depth_dup_07 | raw_depth_dup_08 | raw_depth_dup_09 | raw_depth_dup_10 | raw_depth_dup_11 | raw_depth_dup_12 | raw_depth_dup_13 | raw_depth_dup_14 | raw_depth_dup_15 | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM
