variant_name,model_family,true_distance_m,count,mae,mean_relative_error,mean_signed_error,within_10m_rate
baseline_saved_ensemble,ensemble,10.0,19,10.183585682687147,1.0183585682687146,10.183585682687147,0.3157894736842105
baseline_saved_ensemble,ensemble,15.0,44,15.11847199044112,1.0078981326960748,15.11847199044112,0.25
baseline_saved_ensemble,ensemble,20.0,46,20.211780711095326,1.0105890355547664,20.211780711095326,0.0
baseline_saved_ensemble,ensemble,25.0,42,22.067252970565303,0.8826901188226121,22.067252970565303,0.047619047619047616
baseline_saved_ensemble,ensemble,30.0,35,29.14814898651788,0.9716049662172629,29.14814898651788,0.0
baseline_saved_ensemble,ensemble,35.0,47,30.50373531070036,0.8715352945914389,30.50373531070036,0.14893617021276595
baseline_saved_ensemble,ensemble,4.0,18,15.880142480662515,3.970035620165629,15.880142480662515,0.0
baseline_saved_ensemble,ensemble,40.0,37,33.346151036908886,0.8336537759227223,33.346151036908886,0.08108108108108109
baseline_saved_ensemble,ensemble,45.0,39,42.58361547587322,0.9463025661305162,42.58361547587322,0.05128205128205128
baseline_saved_ensemble,ensemble,5.0,6,17.007832908234775,3.401566581646955,17.007832908234775,0.0
baseline_saved_ensemble,ensemble,50.0,42,36.60799483148602,0.7321598966297205,36.60799483148602,0.0
baseline_saved_ensemble,ensemble,55.0,20,20.765239065365044,0.3775498011884554,20.765239065365044,0.05
baseline_saved_ensemble,ensemble,60.0,13,13.577545916790392,0.22629243194650653,13.577545916790392,0.23076923076923078
baseline_saved_ensemble,ensemble,65.0,19,24.71726412352881,0.3802656019004431,24.71726412352881,0.10526315789473684
baseline_saved_ensemble,ensemble,70.0,12,38.05891592809815,0.5436987989728308,38.05891592809815,0.0
baseline_saved_ensemble,ensemble,75.0,24,37.35310192664089,0.49804135902187846,37.35310192664089,0.0
baseline_saved_ensemble,ensemble,9.0,26,13.960119295652309,1.5511243661835898,13.960119295652309,0.0
depth_only,ensemble,10.0,19,54.34344443795171,5.434344443795171,54.34344443795171,0.0
depth_only,ensemble,15.0,44,57.83211689290336,3.8554744595268904,57.83211689290336,0.0
depth_only,ensemble,20.0,46,51.2522196967986,2.5626109848399294,51.2522196967986,0.0
depth_only,ensemble,25.0,42,51.61865625856128,2.064746250342451,51.61865625856128,0.0
depth_only,ensemble,30.0,35,47.166570693106564,1.5722190231035522,47.166570693106564,0.0
depth_only,ensemble,35.0,47,47.96702264408283,1.3704863612595093,47.96702264408283,0.0
depth_only,ensemble,4.0,18,81.1032028169429,20.275800704235724,81.1032028169429,0.0
depth_only,ensemble,40.0,37,43.31384301074931,1.0828460752687328,43.31384301074931,0.05405405405405406
depth_only,ensemble,45.0,39,40.33116883885121,0.8962481964189161,40.33116883885121,0.0
depth_only,ensemble,5.0,6,40.6762280768931,8.13524561537862,40.6762280768931,0.0
depth_only,ensemble,50.0,42,32.54783598218377,0.6509567196436754,32.54783598218377,0.0
depth_only,ensemble,55.0,20,28.90089510965661,0.5254708201755747,28.90089510965661,0.05
depth_only,ensemble,60.0,13,15.252242909418962,0.254204048490316,15.252242909418962,0.3076923076923077
depth_only,ensemble,65.0,19,15.746132617221498,0.24224819411109993,15.286714038942577,0.2631578947368421
depth_only,ensemble,70.0,12,21.603458101728062,0.3086208300246866,15.192789937116565,0.08333333333333333
depth_only,ensemble,75.0,24,17.58687159467964,0.23449162126239517,17.074721861802637,0.2916666666666667
depth_only,ensemble,9.0,26,43.304311222392826,4.811590135821427,43.304311222392826,0.0
depth_only,rf,10.0,19,54.22208203589781,5.422208203589782,54.22208203589781,0.0
depth_only,rf,15.0,44,56.797576099195425,3.7865050732796948,56.797576099195425,0.0
depth_only,rf,20.0,46,50.35115573134594,2.5175577865672976,50.35115573134594,0.0
depth_only,rf,25.0,42,51.29483528926982,2.0517934115707925,51.29483528926982,0.023809523809523808
depth_only,rf,30.0,35,46.14965781969352,1.538321927323118,46.14965781969352,0.0
depth_only,rf,35.0,47,44.21370120915333,1.2632486059758097,44.21370120915333,0.0425531914893617
depth_only,rf,4.0,18,79.40495002939447,19.851237507348618,79.40495002939447,0.0
depth_only,rf,40.0,37,40.72472883597883,1.0181182208994706,40.17077488202487,0.08108108108108109
depth_only,rf,45.0,39,40.60208780772883,0.9022686179495295,40.60208780772883,0.02564102564102564
depth_only,rf,5.0,6,39.1887819664903,7.8377563932980605,39.1887819664903,0.0
depth_only,rf,50.0,42,33.2154268592959,0.6643085371859181,33.20272025813692,0.16666666666666666
depth_only,rf,55.0,20,27.39985209235208,0.49817912895185595,24.591615500240493,0.3
depth_only,rf,60.0,13,15.19852157102156,0.25330869285035945,13.568725071225062,0.46153846153846156
depth_only,rf,65.0,19,17.697081592871065,0.272262793736478,12.49872807017544,0.3684210526315789
depth_only,rf,70.0,12,27.25827987213403,0.38940399817334326,18.44823026895943,0.08333333333333333
depth_only,rf,75.0,24,25.36403441658651,0.3381871255544868,21.654623040925134,0.20833333333333334
depth_only,rf,9.0,26,42.39369375994376,4.71041041777153,42.39369375994376,0.0
depth_only,xgb,10.0,19,54.438800610994036,5.443880061099404,54.438800610994036,0.0
depth_only,xgb,15.0,44,58.64497037367387,3.9096646915782585,58.64497037367387,0.0
depth_only,xgb,20.0,46,51.960198526797086,2.598009926339855,51.960198526797086,0.0
depth_only,xgb,25.0,42,51.873087020147416,2.0749234808058965,51.873087020147416,0.0
depth_only,xgb,30.0,35,47.96557366507394,1.5988524555024648,47.96557366507394,0.0
depth_only,xgb,35.0,47,50.91606091438456,1.4547445975538449,50.91606091438456,0.0
depth_only,xgb,4.0,18,82.43754429287381,20.609386073218452,82.43754429287381,0.0
depth_only,xgb,40.0,37,45.78339654046136,1.1445849135115338,45.78339654046136,0.02702702702702703
depth_only,xgb,45.0,39,40.11830393473307,0.8915178652162903,40.11830393473307,0.0
depth_only,xgb,5.0,6,41.844935735066734,8.368987147013344,41.844935735066734,0.0
depth_only,xgb,50.0,42,32.03328405107771,0.6406656810215542,32.03328405107771,0.023809523809523808
depth_only,xgb,55.0,20,32.28675765991211,0.5870319574529475,32.28675765991211,0.0
depth_only,xgb,60.0,13,16.575006925142727,0.2762501154190455,16.575006925142727,0.23076923076923078
depth_only,xgb,65.0,19,17.534873159308184,0.2697672793739721,17.47727444297389,0.10526315789473684
depth_only,xgb,70.0,12,17.742618242899578,0.2534659748985654,12.634943962097168,0.25
depth_only,xgb,75.0,24,13.47622807820638,0.1796830410427517,13.47622807820638,0.20833333333333334
depth_only,xgb,9.0,26,44.01979637145996,4.891088485717773,44.01979637145996,0.0
depth_plus_no_size_geometry,ensemble,10.0,19,48.09821505678593,4.8098215056785945,48.09821505678593,0.0
depth_plus_no_size_geometry,ensemble,15.0,44,55.49513860163856,3.699675906775904,55.49513860163856,0.0
depth_plus_no_size_geometry,ensemble,20.0,46,47.32860035557923,2.3664300177789612,47.32860035557923,0.0
depth_plus_no_size_geometry,ensemble,25.0,42,49.843222959433874,1.9937289183773548,49.843222959433874,0.047619047619047616
depth_plus_no_size_geometry,ensemble,30.0,35,46.45173139241935,1.5483910464139783,46.45173139241935,0.08571428571428572
