display_name,model_name,split_name,fold_index,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
scale only,scale_only,cv_fold,0,2563,77.2930570205896,79.60734959666752,0.9981175900948257,0.9993318319142326,86.13116669078036,-4.148118930454588,-77.22532870072334,-79.60734959666752,124.96116074911714,149.92455822500756,149.98121905607513,0.0,0.0007803355442840422,0.08622707764338666,0.0011705033164260631,0.9988294966835739
scale only,scale_only,cv_fold,1,2562,76.6339079907145,74.81841141421955,0.9976379127350561,0.999317263323101,85.62053126656103,-4.045641272228388,-76.58911075783249,-74.81841141421955,124.95654347528473,149.9296884995603,149.99593854238194,0.0,0.00039032006245121,0.08821233411397346,0.00117096018735363,0.9988290398126464
scale only,scale_only,cv_fold,2,2562,76.83431327152273,69.97975978909068,0.9982984070783186,0.9993338240316348,85.7443170773762,-4.083431169912559,-76.75443951294733,-69.97975978909068,124.95955909721721,149.92733989698706,149.9891029955619,0.00039032006245121,0.00039032006245121,0.0858704137392662,0.00117096018735363,0.9988290398126464
scale only,scale_only,cv_fold,3,2560,77.43850451764442,69.97851144756834,0.9982948452850314,0.9993161105102795,86.27192654738417,-4.146610474098978,-77.29508328936785,-69.97851144756834,124.9599183444838,149.92678282143598,149.99332673255958,0.000390625,0.000390625,0.076953125,0.0015625,0.9984375
scale only,scale_only,cv_fold,4,2557,77.32991054427649,79.36258967739157,1.001479481501275,0.9992057306549157,86.33368296684331,-4.048528350349898,-76.9829016860464,-69.98820130150801,124.95524410804414,149.91773866090605,149.9900548855193,0.0,0.0,0.08916699256941729,0.002737583105201408,0.9972624168947986
depth linear,depth_only_linear,cv_fold,0,2563,32.09661397231802,27.20628969292916,0.651712469702094,0.3288065439639156,37.95969799146062,6.122772041183833e-05,-0.23664141405512393,-2.792985263589131,57.205414897619555,72.79837547415804,72.84787743014601,0.0870074131876707,0.16699180647678502,0.3402262973078424,0.4978540772532189,0.5021459227467812
depth linear,depth_only_linear,cv_fold,1,2562,32.245492505677674,37.33938658417795,0.6715170357593531,0.32736215117257517,38.12899849125194,-0.0006249558917947873,0.5331194716605491,-2.6305076486258443,57.366913779238445,72.63717852695686,72.7140940366538,0.09211553473848556,0.1725214676034348,0.34153005464480873,0.49882903981264637,0.5011709601873536
depth linear,depth_only_linear,cv_fold,2,2562,32.08961443965865,27.32250725554433,0.6586161539127864,0.32773511107650877,38.02755447509239,0.00013112261970049666,0.35221881821804907,7.306884179086779,57.32081162756526,72.68232256781441,72.71965656586552,0.08938329430132709,0.17759562841530055,0.3442622950819672,0.5066354410616706,0.4933645589383294
depth linear,depth_only_linear,cv_fold,3,2560,32.14147307012338,27.1699312889303,0.6419542329515381,0.3290628289784823,38.037980725560686,-0.0005002805262903642,-0.46264198832002207,7.140326224395224,57.16906110008379,72.83676861860395,89.17753207715842,0.084375,0.169140625,0.34140625,0.502734375,0.497265625
depth linear,depth_only_linear,cv_fold,4,2557,32.65312953263736,27.19912794136266,0.6700111129948827,0.3287862856429583,38.41438214200677,0.00047889706934145515,-0.17902464629921347,2.420883976563843,57.198633995233024,72.8029700429538,72.82973450983276,0.07508799374266718,0.15682440359796637,0.321861556511537,0.5005866249511146,0.4994133750488854
