display_name,model_name,model_family,split_name,role,config_name,distance_range,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
scale only,scale_only,linear,cv_oof,poster,scale_only,near,5356,40.07458151631768,39.95649763969236,0.9996032703805047,0.9988336226363399,42.56020019568494,-7.861372529022887,-39.806910113661594,-39.955424485484784,59.947874838000544,59.96687790062,89.09297503530979,0.0,0.00018670649738610905,0.2027632561613144,0.0024271844660194173,0.9975728155339806
scale only,scale_only,linear,cv_oof,poster,scale_only,mid,4273,84.72379144107717,79.98716143654288,0.9973825200601356,0.999409235452553,85.5179817013559,-57.6286443725397,-84.6503520012954,-79.98716143654288,99.95389967995365,99.96812847173116,99.98859111497042,0.000468055230517201,0.000936110461034402,0.001404165691551603,0.0016381933068102036,0.9983618066931897
scale only,scale_only,linear,cv_oof,poster,scale_only,far,3175,129.32240044579135,124.93787321483386,0.9992099050483159,0.9995423654489639,130.16322052770937,-77.19930894650292,-129.32240044579135,-124.93787321483386,149.94964986902698,149.96218262696826,149.99593854238194,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,linear,test,poster,scale_only,near,945,40.38730416098004,39.96048751379085,0.9978420178467458,0.9989161093694039,42.793208552186975,-8.123193469297526,-40.21098219088811,-39.96034400582413,59.94829771954222,59.96839365575893,59.99130833902095,0.0,0.0,0.1873015873015873,0.0021164021164021165,0.9978835978835979
scale only,scale_only,linear,test,poster,scale_only,mid,754,84.59098280025532,79.99208037721718,0.9953060157747599,0.9993917433124558,85.45178053602109,-57.416054374210496,-84.50262171041862,-79.99208037721718,99.95173787899671,99.96866343629691,99.98771267597309,0.001326259946949602,0.001326259946949602,0.003978779840848806,0.002652519893899204,0.9973474801061007
scale only,scale_only,linear,test,poster,scale_only,far,561,130.01250760573672,124.94258977626716,0.9994042086241736,0.9995497346227376,130.8481071803777,-77.53931667712705,-130.01250760573672,-124.94258977626716,149.9514392859767,149.9603510113591,149.99263750954427,0.0,0.0,0.0,0.0,1.0
depth linear,depth_only_linear,linear,cv_oof,poster,depth_only_linear,near,5356,37.107634399581826,37.201905220542585,1.239422231758479,0.9300476305135646,39.774386574183794,-6.739281635024106,37.107634399581826,37.201905220542585,57.20408440848713,57.32110880420835,57.37060454818133,0.00018670649738610905,0.00018670649738610905,0.20911127707244212,1.0,0.0
depth linear,depth_only_linear,linear,cv_oof,poster,depth_only_linear,mid,4273,11.33205500223638,7.367478003493403,0.12630765035115116,0.10524968576419147,13.601204967179319,-0.4830293225401845,-7.730602993130122,-2.8552009775178107,22.80251260515012,22.831730715091158,39.17753207715841,0.25626023870816755,0.50503159372806,0.7502925345190733,0.24877135501989234,0.7512286449801077
depth linear,depth_only_linear,linear,cv_oof,poster,depth_only_linear,far,3175,52.18772535771841,47.796180386509405,0.3958121199437666,0.38236944309207527,54.2271141630752,-12.57248374239961,-52.18772535771841,-47.796180386509405,72.80446207509218,72.83515915550879,89.17753207715842,0.0,0.0,0.0,0.0,1.0
depth linear,depth_only_linear,linear,test,poster,depth_only_linear,near,945,36.74494430012479,37.24929196804075,1.2095944587736873,0.9312322992010188,39.3959119426679,-6.732136286797892,36.74494430012479,37.24929196804075,57.24893620432627,57.2521026198188,57.25442224556177,0.0010582010582010583,0.0010582010582010583,0.21587301587301588,1.0,0.0
