rank,model,role,description,test_mae,test_r2,within_10m_rate
1,ensemble,poster,A tuned blend of RF+jitter and XGBoost+jitter; the final best poster model.,6.341,0.944,79.0%
2,XGBoost+jitter,internal,A boosted-tree model trained on the same aggregated jitter-summary feature table.,6.355,0.944,79.1%
3,RF+jitter,poster,A random forest trained on aggregated jitter-summary features for more robust bbox/depth signals.,6.714,0.936,76.9%
4,RF,poster,"A random forest trained on exact depth, bbox geometry, and metadata features.",7.543,0.925,71.4%
5,improved linear,poster,A stacked linear model that adds a lower-stage RF prediction as an extra feature.,11.943,0.840,51.5%
6,linear+bb,poster,A linear model that adds bbox geometry and image metadata to the depth signal.,13.353,0.803,46.2%
7,depth linear,poster,A linear model using relative depth as the main predictor.,32.299,-0.000,16.6%
8,scale only,poster,A minimal calibration baseline that learns a global scale from the raw depth signal.,77.383,-4.110,0.0%
