true_distance_m,count,raw_mae,calibrated_mae,mae_improvement_m,raw_mean_relative_error,calibrated_mean_relative_error,raw_within_10m_rate,calibrated_within_10m_rate
4.0,18,15.880142480662515,1.5796187324718025,14.300523748190713,3.970035620165629,0.39490468311795063,0.0,1.0
5.0,6,17.007832908234775,6.0015216767632005,11.006311231471575,3.401566581646955,1.20030433535264,0.0,1.0
9.0,26,13.960119295652309,1.6059331319282797,12.354186163724028,1.5511243661835898,0.17843701465869768,0.0,1.0
10.0,19,10.183585682687147,0.768796024723534,9.414789657963613,1.0183585682687146,0.07687960247235341,0.3157894736842105,1.0
15.0,44,15.11847199044112,1.1742241802800661,13.944247810161055,1.0078981326960748,0.07828161201867107,0.25,1.0
20.0,46,20.211780711095326,1.6534244494205583,18.558356261674767,1.0105890355547664,0.0826712224710279,0.0,1.0
25.0,42,22.067252970565303,2.3754106149515026,19.6918423556138,0.8826901188226121,0.09501642459806012,0.047619047619047616,1.0
30.0,35,29.14814898651788,3.3085207196746564,25.839628266843224,0.9716049662172629,0.11028402398915518,0.0,0.9428571428571428
35.0,47,30.50373531070036,3.617173661556234,26.886561649144127,0.8715352945914389,0.1033478189016067,0.14893617021276595,0.9574468085106383
40.0,37,33.346151036908886,4.121551873287479,29.224599163621406,0.8336537759227223,0.10303879683218695,0.08108108108108109,1.0
45.0,39,42.58361547587322,4.2962264963374475,38.28738897953578,0.9463025661305162,0.09547169991860999,0.05128205128205128,0.9487179487179487
50.0,42,36.60799483148602,4.364405546611396,32.24358928487462,0.7321598966297205,0.08728811093222791,0.0,0.9523809523809523
55.0,20,20.765239065365044,2.7133288924883554,18.05191017287669,0.3775498011884554,0.049333252590697374,0.05,1.0
60.0,13,13.577545916790392,7.621672833062626,5.955873083727766,0.22629243194650653,0.12702788055104375,0.23076923076923078,0.8461538461538461
65.0,19,24.71726412352881,5.159088328200085,19.558175795328726,0.3802656019004431,0.07937058966461669,0.10526315789473684,0.7894736842105263
70.0,12,38.05891592809815,3.0743887701548105,34.98452715794334,0.5436987989728308,0.04391983957364015,0.0,1.0
75.0,24,37.35310192664089,2.230612189202494,35.12248973743839,0.49804135902187846,0.02974149585603325,0.0,1.0
