variant_name,model_name,split_name,drone_type,mean_true_distance_m,mean_predicted_distance_m,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
baseline_full_geometry,blend,real_external,Kongsberg,27.295566502463053,63.99417766966469,203,36.69861116720163,34.65786086999705,1.5908022529556,1.3863144347998821,40.714977588062624,-6.617896992883242,36.69861116720163,34.65786086999705,62.170156117168375,66.67399803549175,71.49686332084323,0.0,0.0,0.23645320197044334,1.0,0.0
baseline_full_geometry,blend,real_external,Vestfold,39.86013986013986,58.84436100353168,286,18.98422114339184,14.886266762094646,0.5854449267859972,0.5118606133634069,21.78646416180008,-0.10550562344818082,18.98422114339184,14.886266762094646,36.21450584890375,41.43673855618788,54.09405540256313,0.006993006993006993,0.15384615384615385,0.6468531468531469,1.0,0.0
baseline_full_geometry,rf,real_external,Kongsberg,27.295566502463053,66.19956679032089,203,38.904000287857826,39.202724867724875,1.69593084337887,1.5080896634229972,42.592468646143644,-7.336664431470789,38.904000287857826,39.202724867724875,62.62313460058458,66.63185988437695,75.9591173551657,0.0,0.0,0.21674876847290642,1.0,0.0
baseline_full_geometry,rf,real_external,Vestfold,39.86013986013986,60.76824604503094,286,20.908106184891086,16.946992756153005,0.6225676330320159,0.5549032646954342,23.661561744838984,-0.3039900101920907,20.908106184891086,16.946992756153005,37.3919774900831,44.777051341405524,57.99638556956819,0.0034965034965034965,0.06993006993006994,0.583916083916084,1.0,0.0
baseline_full_geometry,xgb,real_external,Kongsberg,27.295566502463053,62.261371932006234,203,34.96580542954318,31.0792236328125,1.5082012176230306,1.317058308919271,39.36658597617569,-6.121675830177262,34.96580542954318,31.0792236328125,62.66393737792969,65.70298538208007,71.16850280761719,0.0,0.0,0.2857142857142857,1.0,0.0
baseline_full_geometry,xgb,real_external,Vestfold,39.86013986013986,57.332737042353706,286,17.47260358450296,12.735189437866211,0.5562771928689438,0.4803510538736979,20.451406400015603,0.025832111730265783,17.472597182213843,12.735189437866211,35.105491638183594,40.575998306274414,51.02793884277344,0.02097902097902098,0.25524475524475526,0.7202797202797203,0.9965034965034965,0.0034965034965034965
raw_depth_only,blend,real_external,Kongsberg,27.295566502463053,70.24679796661411,203,42.99450787692139,40.630735690905055,3.3761482845771997,1.5649335575379595,46.875364402418725,-9.097549936336335,42.95123146415104,40.630735690905055,69.58965697177787,79.80689581601092,90.54330293924644,0.014778325123152709,0.034482758620689655,0.10344827586206896,0.9950738916256158,0.0049261083743842365
raw_depth_only,blend,real_external,Vestfold,39.86013986013986,77.53321481339086,286,38.10883148534646,37.9509461499411,1.7098781873205477,1.1611908728883127,43.10258645429038,-3.3270719355343834,37.67307495325098,37.9509461499411,65.73699689553882,73.69313615800162,93.12544138842384,0.01048951048951049,0.07342657342657342,0.23776223776223776,0.9790209790209791,0.02097902097902098
raw_depth_only,rf,real_external,Kongsberg,27.295566502463053,70.71835532192675,203,43.49551499039183,41.480873015873016,3.398030922557484,1.6088800705467354,47.53055273678234,-9.381794434816822,43.4227888194637,41.480873015873016,71.85850132275131,77.09446879509377,91.91194504569503,0.0049261083743842365,0.024630541871921183,0.10344827586206896,0.9950738916256158,0.0049261083743842365
raw_depth_only,rf,real_external,Vestfold,39.86013986013986,78.8127878834129,286,39.52689003126503,38.456765873015854,1.764913510550073,1.1340863921957667,44.73946396964418,-3.6619649584861245,38.952648023273014,38.456765873015854,66.6311607142857,78.33273148148149,100.8367658730158,0.03146853146853147,0.06643356643356643,0.20279720279720279,0.9755244755244755,0.024475524475524476
raw_depth_only,xgb,real_external,Kongsberg,27.295566502463053,69.8762886160113,203,42.61214804062115,40.73255920410156,3.3592056413069313,1.5061028616768972,46.76869231939832,-9.051645179527783,42.58072211354824,40.73255920410156,68.68255920410157,79.57850646972655,93.90643310546875,0.014778325123152709,0.04926108374384237,0.10344827586206896,0.9901477832512315,0.009852216748768473
raw_depth_only,xgb,real_external,Vestfold,39.86013986013986,76.52783597265923,286,37.085160415489355,36.80276870727539,1.6678769633308854,1.0713530131748743,42.26115179314125,-3.15977758497972,36.66769611251938,36.80276870727539,65.4126968383789,73.69438362121582,87.06654357910156,0.017482517482517484,0.08741258741258741,0.26223776223776224,0.9825174825174825,0.017482517482517484
reduced_geometry,blend,real_external,Kongsberg,27.295566502463053,57.61972691927868,203,30.324160416815634,28.180744279552655,1.363021711483162,1.1709605856672265,33.41989378726995,-4.132592989822869,30.324160416815634,28.180744279552655,50.46013495862034,54.900379652216984,67.86007510540674,0.0,0.0,0.270935960591133,1.0,0.0
reduced_geometry,blend,real_external,Vestfold,39.86013986013986,55.20219047947696,286,15.348171704900308,12.659816865983593,0.5135157080961575,0.40448798489705123,17.75716382114434,0.26559664084727386,15.342050619337108,12.659816865983593,27.12018505201145,35.49870443813339,52.908918550812274,0.03496503496503497,0.3181818181818182,0.7587412587412588,0.9965034965034965,0.0034965034965034965
reduced_geometry,rf,real_external,Kongsberg,27.295566502463053,58.64283999747822,203,31.347273495015163,29.723452380952402,1.4582530885242742,1.2396542240827955,34.19389950805351,-4.373088054278846,31.347273495015163,29.723452380952402,50.82188959288962,55.08034093915344,68.36294146825396,0.0,0.0,0.2512315270935961,1.0,0.0
reduced_geometry,rf,real_external,Vestfold,39.86013986013986,55.50236315708665,286,15.651956168242167,13.25771164021164,0.534432981519919,0.42584764309764306,17.987096913145407,0.24645429092739757,15.642223296946796,13.25771164021164,26.363862433862437,35.611271640435824,54.644623015873066,0.03496503496503497,0.2727272727272727,0.7692307692307693,0.9965034965034965,0.0034965034965034965
reduced_geometry,xgb,real_external,Kongsberg,27.295566502463053,56.81585235783619,203,29.52028585537314,27.269222259521484,1.2881970580937163,1.1201245989118302,32.84326474278131,-3.957004783303928,29.52028585537314,27.269222259521484,50.354559326171874,54.94663848876953,67.4649658203125,0.0,0.04433497536945813,0.2857142857142857,1.0,0.0
reduced_geometry,xgb,real_external,Vestfold,39.86013986013986,54.96634051849792,286,15.109483912274554,12.485574722290039,0.49708070754891626,0.3989744027455647,17.627924529227073,0.2762479332236547,15.10620065835806,12.485574722290039,27.096145629882812,34.61672782897949,51.54515075683594,0.038461538461538464,0.36713286713286714,0.7587412587412588,0.9965034965034965,0.0034965034965034965
scale_lognormal_full_geometry,blend,real_external,Kongsberg,27.295566502463053,67.45734494773605,203,40.161778445273,42.86057413336535,1.7630251423761465,1.607699351071779,44.16094104159595,-7.961966878829529,40.161778445273,42.86057413336535,64.5586010289042,67.76367455266188,75.14650148512423,0.0,0.0,0.2413793103448276,1.0,0.0
scale_lognormal_full_geometry,blend,real_external,Vestfold,39.86013986013986,65.43431176007093,286,25.57417189993106,23.501295113699797,0.7790626458280471,0.6961613713432797,28.0148493976774,-0.8279488379863644,25.57417189993106,23.501295113699797,41.23192228209482,45.35730673935937,55.37548157539166,0.0034965034965034965,0.006993006993006993,0.3916083916083916,1.0,0.0
scale_lognormal_full_geometry,rf,real_external,Kongsberg,27.295566502463053,70.63021168526446,203,43.33464518280139,48.630238095238056,1.9355797963158148,1.7792057880391212,46.723055507208684,-9.032037993226465,43.33464518280139,48.630238095238056,64.74529660753193,67.06932843137253,74.73276455026458,0.0,0.0,0.20689655172413793,1.0,0.0
scale_lognormal_full_geometry,rf,real_external,Vestfold,39.86013986013986,68.26889987944226,286,28.408760019302388,27.46173280423281,0.8524212988986575,0.8018674242424244,30.575552480840194,-1.1773892696919774,28.408760019302388,27.46173280423281,43.9689114820365,46.79677185083432,56.07261243386243,0.0,0.0,0.2937062937062937,1.0,0.0
