variant_name,feature_name,feature_bucket,rf_importance,xgb_importance,blend_weighted_importance
baseline_full_geometry,bbox_width_norm,geometry,0.2888461289476275,0.6725046038627625,0.5036948749001031
baseline_full_geometry,bbox_width_px,geometry,0.2169094455237159,0.19105008244514465,0.20242820219971602
baseline_full_geometry,bbox_area_ratio,geometry,0.1864236475620715,0.04352136701345444,0.10639837045484594
baseline_full_geometry,bbox_height_norm,geometry,0.10740248904119189,0.011987258680164814,0.053969960039016725
baseline_full_geometry,bbox_height_px,geometry,0.09467948660092604,0.004347517155110836,0.04409358371126952
baseline_full_geometry,bbox_only__inner50_median__object_depth,relative_depth,0.04297426214836796,0.013046586886048317,0.026214764001468962
baseline_full_geometry,bbox_center_x_norm,geometry,0.022893839165053585,0.011757058091461658,0.016657241763842107
baseline_full_geometry,bbox_aspect_ratio,geometry,0.016990576307355114,0.009323402307927608,0.01269695886767571
baseline_full_geometry,bbox_center_y_norm,geometry,0.014160052346960038,0.004304629284888506,0.00864101543219998
baseline_full_geometry,time_of_day=8PM,metadata,0.0020666551398600143,0.012045792303979397,0.007654971951766869
baseline_full_geometry,weather=clear_sky,metadata,0.002316532774179487,0.009046100080013275,0.0060850904654464084
baseline_full_geometry,time_of_day=10AM,metadata,0.002047341458120767,0.009236633777618408,0.0060733451570394465
baseline_full_geometry,weather=light_rain,metadata,0.0022895429845700126,0.007828931324183941,0.005391600454753813
geometry_dropout_030,bbox_width_px,geometry,0.23431930101564036,0.4203622043132782,0.33850332686231754
geometry_dropout_030,bbox_width_norm,geometry,0.2545020725985791,0.29175838828086853,0.2753656093806612
geometry_dropout_030,bbox_area_ratio,geometry,0.18402287013292254,0.14427240192890167,0.16176260793867087
geometry_dropout_030,bbox_height_px,geometry,0.10206392438793521,0.029319830238819122,0.0613272316644302
geometry_dropout_030,bbox_height_norm,geometry,0.10141824890782582,0.02600322850048542,0.059185837479715196
geometry_dropout_030,bbox_only__inner50_median__object_depth,relative_depth,0.06257769742427283,0.023521460592746735,0.040706204798618216
geometry_dropout_030,bbox_aspect_ratio,geometry,0.02194525081392087,0.012539701536297798,0.01667814321845195
geometry_dropout_030,bbox_center_x_norm,geometry,0.01688950802439916,0.008883170783519745,0.012405959169506688
geometry_dropout_030,bbox_center_y_norm,geometry,0.013027437598445728,0.0043998355977237225,0.008195980478041405
geometry_dropout_030,weather=light_rain,metadata,0.0025943900877092997,0.012486772611737251,0.008134124301164954
geometry_dropout_030,weather=clear_sky,metadata,0.002580879430691676,0.011739468201994896,0.007709689142621479
geometry_dropout_030,time_of_day=8PM,metadata,0.002017774766512466,0.0075769321992993355,0.0051309029288731135
geometry_dropout_030,time_of_day=10AM,metadata,0.0020406448111449384,0.00713671650737524,0.004894444961033907
geometry_dropout_060,bbox_width_px,geometry,0.206942798693413,0.2616497874259949,0.23757871238365885
geometry_dropout_060,bbox_width_norm,geometry,0.2076560783581579,0.2481175810098648,0.2303145198431138
geometry_dropout_060,bbox_area_ratio,geometry,0.17168812954746085,0.18746738135814667,0.18052451056144492
geometry_dropout_060,bbox_only__inner50_median__object_depth,relative_depth,0.14188846432947716,0.0712888166308403,0.10235266161824053
geometry_dropout_060,bbox_height_norm,geometry,0.10353642863978332,0.07622282952070236,0.08824081313309799
geometry_dropout_060,bbox_height_px,geometry,0.08768796566179642,0.07387983798980713,0.07995541416548242
geometry_dropout_060,bbox_aspect_ratio,geometry,0.028242361533681874,0.01731710694730282,0.022124218965309604
geometry_dropout_060,weather=light_rain,metadata,0.004236773000956019,0.019338715821504593,0.012693860980463222
geometry_dropout_060,weather=clear_sky,metadata,0.004137349361557426,0.019154267385601997,0.012546823455022386
geometry_dropout_060,bbox_center_x_norm,geometry,0.019738498695330998,0.00673292949795723,0.012455379944801687
geometry_dropout_060,bbox_center_y_norm,geometry,0.01854730353004989,0.005313809495419264,0.01113654687065674
geometry_dropout_060,time_of_day=8PM,metadata,0.002848959004941217,0.007036524824798107,0.005193995864061076
geometry_dropout_060,time_of_day=10AM,metadata,0.0028488896433939417,0.006480506621301174,0.004882595151021992
geometry_noise_020,bbox_width_norm,geometry,0.2400045046094423,0.4517896771430969,0.35860420122828895
geometry_noise_020,bbox_area_ratio,geometry,0.20800529232410225,0.28734493255615234,0.2524354908540503
geometry_noise_020,bbox_width_px,geometry,0.20717811341083217,0.138573557138443,0.16875956189829425
geometry_noise_020,bbox_height_norm,geometry,0.10850249205034833,0.02075556293129921,0.059364211743680825
geometry_noise_020,bbox_height_px,geometry,0.10484119083907065,0.008270743303000927,0.0507617402188716
geometry_noise_020,bbox_only__inner50_median__object_depth,relative_depth,0.059836821716243445,0.025523334741592407,0.04062126901043887
geometry_noise_020,bbox_aspect_ratio,geometry,0.02415283843932613,0.005900525487959385,0.013931543186560754
geometry_noise_020,bbox_center_x_norm,geometry,0.020396364887527083,0.008326775394380093,0.013637394771364768
geometry_noise_020,bbox_center_y_norm,geometry,0.017087373792045425,0.005328195169568062,0.010502233763458102
geometry_noise_020,weather=clear_sky,metadata,0.0028610454838402474,0.016261311247944832,0.010365194311738815
geometry_noise_020,weather=light_rain,metadata,0.0030563003504124006,0.014645367860794067,0.009546178156226135
geometry_noise_020,time_of_day=10AM,metadata,0.0020517288392731233,0.008687491528689861,0.0057677559453464975
geometry_noise_020,time_of_day=8PM,metadata,0.0020259332575365196,0.008592624217271805,0.00570328019498828
geometry_dropout_030_noise_020,bbox_width_norm,geometry,0.2177473454232174,0.33523258566856384,0.28353907996061145
geometry_dropout_030_noise_020,bbox_area_ratio,geometry,0.20684232244007306,0.2551376223564148,0.23388769039322443
geometry_dropout_030_noise_020,bbox_width_px,geometry,0.20716584432764276,0.22314466536045074,0.21611398410601523
geometry_dropout_030_noise_020,bbox_height_norm,geometry,0.10456308907888014,0.03705039247870445,0.06675597898278175
geometry_dropout_030_noise_020,bbox_height_px,geometry,0.10591706151579751,0.02719322219491005,0.06183171149610053
geometry_dropout_030_noise_020,bbox_only__inner50_median__object_depth,relative_depth,0.0843615683562539,0.04031197354197502,0.059693795260257726
geometry_dropout_030_noise_020,bbox_aspect_ratio,geometry,0.025914432073086118,0.01450577937066555,0.0195255865597306
geometry_dropout_030_noise_020,bbox_center_x_norm,geometry,0.018850481234317425,0.007634817622601986,0.01256970961175678
geometry_dropout_030_noise_020,weather=clear_sky,metadata,0.003315236394283726,0.019627781584858894,0.012450261701005822
geometry_dropout_030_noise_020,weather=light_rain,metadata,0.0035231362109044437,0.018329234793782234,0.011814551417316008
geometry_dropout_030_noise_020,bbox_center_y_norm,geometry,0.017038461665852316,0.00586962653324008,0.010783913991589464
geometry_dropout_030_noise_020,time_of_day=8PM,metadata,0.0023815128197547477,0.008281825110316277,0.005685687702469204
geometry_dropout_030_noise_020,time_of_day=10AM,metadata,0.002379508459936446,0.0076805236749351025,0.005348076980335694
reduced_geometry,bbox_area_ratio,geometry,0.7481303318650042,0.7299870848655701,0.7379701135453212
reduced_geometry,bbox_only__inner50_median__object_depth,relative_depth,0.11740373920270748,0.06967191398143768,0.0906739170787964
reduced_geometry,bbox_aspect_ratio,geometry,0.0668989112449345,0.08125351369380951,0.0749374886163045
reduced_geometry,bbox_center_x_norm,geometry,0.03164714368262869,0.01761011593043804,0.02378640814140193
reduced_geometry,weather=light_rain,metadata,0.0034536328188311113,0.03720752149820328,0.022355810479279526
reduced_geometry,weather=clear_sky,metadata,0.003376479920726821,0.031582240015268326,0.019171705573670064
