variant_name,drone_type,true_distance_m,count,mae,mean_relative_error,mean_relative_error_percent
reduced_geometry,Kongsberg,4.0,18,14.709906619246548,3.677476654811637,367.74766548116366
reduced_geometry,Kongsberg,9.0,26,11.431104227874398,1.2701226919860444,127.01226919860444
reduced_geometry,Kongsberg,15.0,16,20.903195062721633,1.3935463375147756,139.35463375147756
reduced_geometry,Kongsberg,20.0,25,24.73273588422355,1.2366367942111776,123.66367942111776
reduced_geometry,Kongsberg,25.0,16,28.937591212836942,1.1575036485134778,115.75036485134777
reduced_geometry,Kongsberg,30.0,19,32.26373929755339,1.0754579765851129,107.54579765851129
reduced_geometry,Kongsberg,35.0,21,44.091468092854704,1.2597562312244204,125.97562312244204
reduced_geometry,Kongsberg,40.0,21,37.14388982839768,0.9285972457099421,92.8597245709942
reduced_geometry,Kongsberg,45.0,20,48.86850487058516,1.0859667749018924,108.59667749018924
reduced_geometry,Kongsberg,50.0,21,41.98680464839801,0.8397360929679597,83.97360929679597
reduced_geometry,Vestfold,5.0,6,20.366695263222763,4.0733390526445525,407.33390526445527
reduced_geometry,Vestfold,10.0,19,10.399875389043208,1.0399875389043207,103.99875389043207
reduced_geometry,Vestfold,15.0,28,7.565134341958898,0.5043422894639266,50.43422894639266
reduced_geometry,Vestfold,20.0,21,8.802778849426872,0.44013894247134355,44.01389424713435
reduced_geometry,Vestfold,25.0,26,13.57646540277614,0.5430586161110458,54.305861611104575
reduced_geometry,Vestfold,30.0,16,16.97339746208509,0.5657799154028363,56.577991540283634
reduced_geometry,Vestfold,35.0,26,12.06890191401216,0.3448257689717761,34.48257689717761
reduced_geometry,Vestfold,40.0,16,13.324180109123684,0.33310450272809217,33.31045027280922
reduced_geometry,Vestfold,45.0,19,20.218425581307738,0.44929834625128295,44.929834625128294
reduced_geometry,Vestfold,50.0,21,15.080554462999626,0.3016110892599926,30.161108925999258
reduced_geometry,Vestfold,55.0,20,14.27757078107958,0.2595921960196288,25.95921960196288
reduced_geometry,Vestfold,60.0,13,6.96622372265061,0.1161037287108435,11.61037287108435
reduced_geometry,Vestfold,65.0,19,16.47842802159194,0.2535142772552607,25.351427725526072
reduced_geometry,Vestfold,70.0,12,31.390957321816085,0.44844224745451555,44.844224745451555
reduced_geometry,Vestfold,75.0,24,31.45086336607299,0.4193448448809732,41.93448448809732
