variant_name,model_name,split_name,drone_type,mean_true_distance_m,mean_predicted_distance_m,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
baseline_full_geometry,blend,real_external,Kongsberg,27.295566502463053,63.99417766966469,203,36.69861116720163,34.65786086999705,1.5908022529556,1.3863144347998821,40.714977588062624,-6.617896992883242,36.69861116720163,34.65786086999705,62.170156117168375,66.67399803549175,71.49686332084323,0.0,0.0,0.23645320197044334,1.0,0.0
baseline_full_geometry,blend,real_external,Vestfold,39.86013986013986,58.84436100353168,286,18.98422114339184,14.886266762094646,0.5854449267859972,0.5118606133634069,21.78646416180008,-0.10550562344818082,18.98422114339184,14.886266762094646,36.21450584890375,41.43673855618788,54.09405540256313,0.006993006993006993,0.15384615384615385,0.6468531468531469,1.0,0.0
baseline_full_geometry,rf,real_external,Kongsberg,27.295566502463053,66.19956679032089,203,38.904000287857826,39.202724867724875,1.69593084337887,1.5080896634229972,42.592468646143644,-7.336664431470789,38.904000287857826,39.202724867724875,62.62313460058458,66.63185988437695,75.9591173551657,0.0,0.0,0.21674876847290642,1.0,0.0
baseline_full_geometry,rf,real_external,Vestfold,39.86013986013986,60.76824604503094,286,20.908106184891086,16.946992756153005,0.6225676330320159,0.5549032646954342,23.661561744838984,-0.3039900101920907,20.908106184891086,16.946992756153005,37.3919774900831,44.777051341405524,57.99638556956819,0.0034965034965034965,0.06993006993006994,0.583916083916084,1.0,0.0
baseline_full_geometry,xgb,real_external,Kongsberg,27.295566502463053,62.261371932006234,203,34.96580542954318,31.0792236328125,1.5082012176230306,1.317058308919271,39.36658597617569,-6.121675830177262,34.96580542954318,31.0792236328125,62.66393737792969,65.70298538208007,71.16850280761719,0.0,0.0,0.2857142857142857,1.0,0.0
baseline_full_geometry,xgb,real_external,Vestfold,39.86013986013986,57.332737042353706,286,17.47260358450296,12.735189437866211,0.5562771928689438,0.4803510538736979,20.451406400015603,0.025832111730265783,17.472597182213843,12.735189437866211,35.105491638183594,40.575998306274414,51.02793884277344,0.02097902097902098,0.25524475524475526,0.7202797202797203,0.9965034965034965,0.0034965034965034965
geometry_dropout_030,blend,real_external,Kongsberg,27.295566502463053,68.60120725462728,203,41.305640752164216,36.27613228134261,1.718703622616087,1.5378772570367127,46.27633329495376,-8.841121109241502,41.305640752164216,36.27613228134261,69.86622839182374,72.81692241595877,78.30790724494508,0.0,0.0,0.21674876847290642,1.0,0.0
geometry_dropout_030,blend,real_external,Vestfold,39.86013986013986,62.24429963556221,286,22.384159775422344,16.901636023401334,0.6442121745268212,0.6113191534472268,25.87573979812228,-0.5594555579440919,22.384159775422344,16.901636023401334,42.82969994742581,49.16683605213033,58.7335838205812,0.0,0.12937062937062938,0.5909090909090909,1.0,0.0
geometry_dropout_030,rf,real_external,Kongsberg,27.295566502463053,70.09834588572622,203,42.80277938326316,40.04997964997965,1.7794113252226618,1.574736919459141,47.956456837894656,-9.568683034646918,42.80277938326316,40.04997964997965,71.73660652038598,75.15931992775744,81.27005193880198,0.0,0.0,0.21674876847290642,1.0,0.0
geometry_dropout_030,rf,real_external,Vestfold,39.86013986013986,61.92377370215153,286,22.063633842011672,16.096759259259258,0.6255945977050662,0.5856289103433043,26.020857933759682,-0.576996302712417,22.063633842011672,16.096759259259258,44.933809974747504,50.8757491409054,60.924232804232815,0.0034965034965034965,0.11538461538461539,0.6048951048951049,1.0,0.0
geometry_dropout_030,xgb,real_external,Kongsberg,27.295566502463053,67.42488404447809,203,40.12931754201504,34.069061279296875,1.671004713425206,1.5065828323364259,45.00024394090319,-8.305858227971415,40.12931754201504,34.069061279296875,67.96623992919922,71.18470153808593,76.82926177978516,0.0,0.0,0.22660098522167488,1.0,0.0
geometry_dropout_030,xgb,real_external,Vestfold,39.86013986013986,62.496141440384875,286,22.63600158024501,17.388540267944336,0.658840270601057,0.6229098510742188,25.85226200410018,-0.5566269650732356,22.63600158024501,17.388540267944336,42.14274215698242,47.69672966003418,57.012359619140625,0.0034965034965034965,0.10139860139860139,0.5664335664335665,1.0,0.0
geometry_dropout_030_noise_020,blend,real_external,Kongsberg,27.295566502463053,68.37327505808737,203,41.07770855562432,38.8374507323573,1.7436548395426197,1.5376450268522397,45.67090826054127,-8.585306245001266,41.07770855562432,38.8374507323573,68.33262838892236,72.67199808960603,76.59392196387236,0.0,0.0,0.22167487684729065,1.0,0.0
geometry_dropout_030_noise_020,blend,real_external,Vestfold,39.86013986013986,62.756265896898235,286,22.896126036758368,19.71488474608729,0.6705370251013075,0.6044525496706978,26.02295361482378,-0.5772503307989054,22.896126036758368,19.71488474608729,42.89356266574268,48.444709167189835,57.243465044487834,0.0,0.06993006993006994,0.5104895104895105,1.0,0.0
geometry_dropout_030_noise_020,rf,real_external,Kongsberg,27.295566502463053,71.18219348345144,203,43.886626980988375,39.93465608465607,1.8440927741510564,1.6506790123456792,48.91308653562738,-9.994534168000873,43.886626980988375,39.93465608465607,74.73232836648052,78.06759391534395,81.42212301587298,0.0,0.0,0.21674876847290642,1.0,0.0
geometry_dropout_030_noise_020,rf,real_external,Vestfold,39.86013986013986,62.92933217783683,286,23.069192317696974,19.074442640692638,0.6700345900858318,0.6151419352252686,26.583606035289538,-0.6459446864515788,23.069192317696974,19.074442640692638,46.729640301827786,51.58989417989418,59.51334656084657,0.0,0.05944055944055944,0.5454545454545454,1.0,0.0
geometry_dropout_030_noise_020,xgb,real_external,Kongsberg,27.295566502463053,66.16626772387275,203,38.87070122140969,37.39693832397461,1.664739319493133,1.4505084567599826,43.24054088086491,-7.5922900943346985,38.87070122140969,37.39693832397461,65.04411926269532,68.32486877441404,73.8887939453125,0.0,0.0,0.2315270935960591,1.0,0.0
geometry_dropout_030_noise_020,xgb,real_external,Vestfold,39.86013986013986,62.62028524758932,286,22.760145387449466,20.382610321044922,0.6709317954706098,0.6008487292698451,25.74470263104765,-0.5437010925773202,22.760145387449466,20.382610321044922,41.270870208740234,46.85356521606445,56.08061218261719,0.0034965034965034965,0.13286713286713286,0.4825174825174825,1.0,0.0
geometry_dropout_060,blend,real_external,Kongsberg,27.295566502463053,67.44134438053047,203,40.1457778780674,33.87531735658999,1.7049611918079097,1.4935921523243991,44.93807649771381,-8.280164064964625,40.1457778780674,33.87531735658999,68.64180707472973,71.89149320891774,79.2790997809193,0.0,0.0,0.21674876847290642,1.0,0.0
geometry_dropout_060,blend,real_external,Vestfold,39.86013986013986,60.86205389720075,286,21.001914037060896,16.678035332471936,0.61625610772997,0.5540611468204564,24.497491585467746,-0.3977538149842028,21.001914037060896,16.678035332471936,42.39464338587457,47.97457394818754,59.38936186187584,0.01048951048951049,0.14685314685314685,0.6293706293706294,1.0,0.0
geometry_dropout_060,rf,real_external,Kongsberg,27.295566502463053,70.85851097029308,203,43.56294446783002,37.53110518625543,1.8259261479315332,1.614086654086653,48.58525381953809,-9.847649586323438,43.56294446783002,37.53110518625543,73.43903406086598,76.91645504141823,80.66493506493505,0.0,0.0,0.21674876847290642,1.0,0.0
geometry_dropout_060,rf,real_external,Vestfold,39.86013986013986,62.18991874762573,286,22.329778887485865,17.67532493907494,0.6398891572062814,0.5882776091011384,26.19363082590917,-0.5980076589118595,22.329778887485865,17.67532493907494,45.967191416387834,52.41648786681412,59.72958994708998,0.01048951048951049,0.0979020979020979,0.6188811188811189,1.0,0.0
