image_path,label_path,true_distance_m,relative_depth,bbox_width_px,bbox_height_px,bbox_width_norm,bbox_height_norm,bbox_area_ratio,bbox_aspect_ratio,bbox_center_x_norm,bbox_center_y_norm,weather,time_of_day
c:\users\depthlev\desktop\droneimages\dataset\depth_100\clear_sky\10am\highresscreenshot00405_depth_100_clear_sky_10am.png,c:\users\depthlev\desktop\droneimages\dataset\depth_100\clear_sky\10am\highresscreenshot00405_depth_100_clear_sky_10am.txt,100.0,2.48023081,15,11,0.00544662,0.00617978,3.366e-05,1.36363636,0.64143065,0.66601124,clear_sky,10am
c:\users\depthlev\desktop\droneimages\dataset\depth_100\clear_sky\10am\highresscreenshot00406_depth_100_clear_sky_10am.png,c:\users\depthlev\desktop\droneimages\dataset\depth_100\clear_sky\10am\highresscreenshot00406_depth_100_clear_sky_10am.txt,100.0,0.06060985,19,5,0.00689906,0.00280899,1.938e-05,3.8,0.50816993,0.3255618,clear_sky,10am
