model_name,selected_candidate_name,num_features,feature_names,oof_mae,oof_mean_relative_error,oof_rmse,oof_r2,num_folds,mean_count,mean_mae,mean_median_absolute_error,mean_mean_relative_error,mean_median_relative_error,mean_rmse,mean_r2,mean_mean_signed_error,mean_median_signed_error,mean_p90_absolute_error,mean_p95_absolute_error,mean_max_absolute_error,mean_within_5m_rate,mean_within_10m_rate,mean_within_20m_rate,mean_overprediction_rate,mean_underprediction_rate,param_n_estimators,param_learning_rate,param_max_depth,param_min_child_weight,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha,param_random_state,param_n_jobs,param_tree_method,param_verbosity
raw_depth_only_xgb,xgb_shallow,1,bbox_only__inner50_median__object_depth,27.40821396123987,0.543874529371422,34.04210587925677,0.20223058202698851,5,10243.2,27.40817259885431,23.576390075683594,0.5438727911042693,0.2901710982210147,34.04179708929122,0.20212434910674756,-0.018427006043630522,0.5008544921875,59.27536605834963,64.6605704498291,101.26372985839843,0.12211176185274505,0.2443194634371526,0.4346317773158986,0.5062647521127139,0.493735247887286,250,0.05,3,4.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
geometry_metadata_xgb,xgb_deep,12,bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.19292953721213,0.11125579321432151,11.111939299600675,0.914998954348729,5,10243.2,8.192910571908765,6.091302108764649,0.1112553992125207,0.08735687427612895,11.111400778685262,0.9149816874926927,-0.013110299634120892,0.15344791412353515,18.64008422851564,23.241148910522462,57.20479125976563,0.43439754731429064,0.6856865886879886,0.9177203023289934,0.5102865237010926,0.4897134762989074,350,0.05,6,2.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
raw_depth_geometry_metadata_xgb,xgb_deep,13,bbox_only__inner50_median__object_depth | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,7.753606902402254,0.1027503452005498,10.641826084923329,0.922039096804804,5,10243.2,7.753568667759096,5.646280670166016,0.10274961051191475,0.08158351095895919,10.641601168928094,0.9220243250543749,-0.033181622736713066,0.22801551818847657,17.993464126586918,22.60433578491211,58.08802947998047,0.4601126551681893,0.7097417353537108,0.9251995478628416,0.515890380251026,0.48410961974897404,350,0.05,6,2.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
small_xgb_depth_only_xgb,xgb_shallow,1,depth_lower_model_prediction,21.485049885312158,0.3874450351308976,27.501754101162124,0.47932666508313837,5,10243.2,21.485025150226626,17.234297943115234,0.38744390866179246,0.23441855926513672,27.5006246764632,0.47927153824626956,-0.05889641188284341,0.5043571472167969,46.10160820007325,55.03852134704589,100.0719123840332,0.16444306933824085,0.3126797983295145,0.5619953414925385,0.507357056699233,0.49264294330076697,250,0.05,3,4.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
stacked_xgb_depth_geometry_metadata_xgb,xgb_deep,13,depth_lower_model_prediction | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,7.988070573184089,0.10792609832434089,10.829870781279705,0.9192595627214458,5,10243.2,7.9880479104046405,5.940224647521973,0.10792566314565515,0.08606696619306292,10.829555093741126,0.9192453919042796,-0.06304410563920733,0.18836002349853515,18.089288253784183,22.772419853210444,57.033993530273435,0.44234348993394795,0.6957815277065222,0.924730156081392,0.5128468068366838,0.4871531931633162,350,0.05,6,2.0,0.8,0.8,1.0,0.0,20260520,1,hist,0
