model_name,model_family,term,importance_type,importance_value
study02_jittered_small_xgb,xgboost,bbox_expand_4x__bbox_midpoint__object_depth,feature_importance,0.04027346149086952
study02_jittered_small_xgb,xgboost,bbox_expand_4x__bbox_mean__object_depth,feature_importance,0.03539317101240158
study02_jittered_small_xgb,xgboost,bbox_expand_4x__inner50_median__object_depth,feature_importance,0.04188793525099754
study02_jittered_small_xgb,xgboost,bbox_expand_2x__bbox_midpoint__object_depth,feature_importance,0.061937473714351654
study02_jittered_small_xgb,xgboost,bbox_expand_2x__bbox_mean__object_depth,feature_importance,0.03672007471323013
study02_jittered_small_xgb,xgboost,bbox_expand_2x__inner50_median__object_depth,feature_importance,0.021797766909003258
study02_jittered_small_xgb,xgboost,bbox_expand_1_5x__bbox_midpoint__object_depth,feature_importance,0.1094404086470604
study02_jittered_small_xgb,xgboost,bbox_expand_1_5x__bbox_mean__object_depth,feature_importance,0.046522095799446106
study02_jittered_small_xgb,xgboost,bbox_expand_1_5x__inner50_median__object_depth,feature_importance,0.025793196633458138
study02_jittered_small_xgb,xgboost,bbox_only__bbox_midpoint__object_depth,feature_importance,0.4192604124546051
study02_jittered_small_xgb,xgboost,bbox_only__bbox_mean__object_depth,feature_importance,0.06456023454666138
study02_jittered_small_xgb,xgboost,bbox_only__inner50_median__object_depth,feature_importance,0.09641379117965698
