display_name,model_name,split_name,true_distance_m,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
scale only,scale_only,cv_oof,20.0,1087,20.06872906452416,19.9523777012191,1.003436453226208,0.997618885060955,20.28452067739136,0.0,-19.742004197534705,-19.952328562957657,19.98470054549633,19.988649337631127,88.78748260438442,0.0,0.0,0.9981600735970562,0.0018399264029438822,0.9981600735970562
scale only,scale_only,cv_oof,30.0,1065,29.945312625891116,29.96197848757105,0.9981770875297039,0.9987326162523683,29.945576471893762,0.0,-29.945312625891116,-29.96197848757105,29.985966075811106,29.988603023937404,29.99685929084146,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,cv_oof,40.0,980,40.01801072149836,39.95411526044701,1.0004502680374592,0.9988528815111752,40.062483293968576,0.0,-39.272500966889744,-39.95357298527125,39.98452714129046,39.988186023338166,68.78748260438442,0.0,0.0010204081632653062,0.0010204081632653062,0.007142857142857143,0.9928571428571429
scale only,scale_only,cv_oof,50.0,1019,49.920602441970345,49.95433078836611,0.9984120488394067,0.9990866157673222,49.92162983295038,0.0,-49.7449977637113,-49.95433078836611,49.98254118458748,49.98572599885305,49.99381038562419,0.0,0.0,0.0,0.001962708537782139,0.9980372914622179
scale only,scale_only,cv_oof,60.0,1075,59.852527874725546,59.9454633386966,0.9975421312454258,0.9990910556449433,59.867205236386276,0.0,-59.701754579727776,-59.9454633386966,59.97829183025536,59.983039414939,59.99384431588724,0.0,0.0,0.0,0.0018604651162790699,0.998139534883721
scale only,scale_only,cv_oof,70.0,1065,69.79226320083455,69.95036486022659,0.9970323314404936,0.9992909265746656,69.83286118796669,0.0,-69.55423770233241,-69.95036486022659,69.97753905453911,69.98183162485802,69.9924498522352,0.0,0.0,0.0,0.003755868544600939,0.996244131455399
scale only,scale_only,cv_oof,80.0,1095,79.80968885438854,79.95275650341489,0.9976211106798565,0.9994094562926861,79.86202199375091,0.0,-79.76492843993405,-79.95275650341489,79.98089944009317,79.98533633658536,79.99224813371632,0.0,0.0,0.0018264840182648401,0.0018264840182648401,0.9981735159817352
scale only,scale_only,cv_oof,90.0,1047,89.85588318486667,89.95296833639144,0.998398702054074,0.9994774259599049,89.89524806447913,0.0,-89.84853346492123,-89.95296833639144,89.98010920081981,89.98390062228987,89.9914681222524,0.0009551098376313276,0.0009551098376313276,0.0009551098376313276,0.0009551098376313276,0.9990448901623686
scale only,scale_only,cv_oof,100.0,1023,99.63559748933807,99.94594100448246,0.9963559748933807,0.9994594100448246,99.76470427127579,0.0,-99.63559748933807,-99.94594100448246,99.97564038501176,99.9798254159325,99.98862060195009,0.0009775171065493646,0.002932551319648094,0.002932551319648094,0.0,1.0
scale only,scale_only,cv_oof,115.0,1139,114.92958663079034,114.94367847102963,0.9993877098329594,0.9995102475741707,114.92959821766782,0.0,-114.92958663079034,-114.94367847102963,114.97116568660331,114.97769326485022,114.99209947900191,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,cv_oof,125.0,1018,124.92441290847924,124.943345077927,0.9993953032678339,0.9995467606234161,124.92442804327422,0.0,-124.92441290847924,-124.943345077927,124.97157948168974,124.97777002472128,124.99367234841682,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,cv_oof,150.0,1018,149.82483209892965,149.937026245117,0.9988322139928641,0.9995801749674467,149.8547375048115,0.0,-149.82483209892965,-149.937026245117,149.96783411661295,149.97461095475276,149.99594770479334,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,test,20.0,177,19.94448875541398,19.95442468474626,0.9972244377706988,0.9977212342373131,19.944536188462102,0.0,-19.94448875541398,-19.95442468474626,19.9850324173624,19.987356479618125,19.991741406311313,0.0,0.0,1.0,0.0,1.0
scale only,scale_only,test,30.0,193,29.951334766220423,29.963500294916894,0.9983778255406808,0.9987833431638965,29.951402503008232,0.0,-29.951334766220423,-29.963500294916894,29.98523115034933,29.987368718216967,29.99539500088534,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,test,40.0,179,39.93399470705102,39.958851460125665,0.9983498676762755,0.9989712865031416,39.93406462667389,0.0,-39.93399470705102,-39.958851460125665,39.98547127041774,39.988957612495646,39.99366509605658,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,test,50.0,181,49.91495655728336,49.95592133727975,0.998299131145667,0.9991184267455949,49.915749366679904,0.0,-49.402242498957925,-49.95592133727975,49.98260856906807,49.986088709134826,49.989218293737096,0.0,0.0,0.0,0.0055248618784530384,0.994475138121547
scale only,scale_only,test,60.0,196,59.81191171165319,59.946851091514546,0.9968651951942198,0.9991141848585756,59.8354473895904,0.0,-59.44047679044449,-59.946851091514546,59.976801043285946,59.98232576820255,59.99133130938809,0.0,0.0,0.0,0.00510204081632653,0.9948979591836735
scale only,scale_only,test,70.0,189,69.92901725452003,69.94968144675364,0.9989859607788576,0.999281163525052,69.92909631318908,0.0,-69.92901725452003,-69.94968144675364,69.97870033053437,69.98160292169032,69.98828580251654,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,test,80.0,187,79.25519192378613,79.94847555642747,0.9906898990473265,0.9993559444553434,79.52421052702931,0.0,-78.90437647397967,-79.94847555642747,79.98096532947842,79.9841878397401,79.99348806296541,0.0,0.0,0.0106951871657754,0.0106951871657754,0.9893048128342246
scale only,scale_only,test,90.0,190,89.76082896542059,89.95288179823334,0.9973425440602287,0.9994764644248149,89.7852458905164,0.0,-89.76082896542059,-89.95288179823334,89.98087220680506,89.98436707074137,89.98948737313084,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,test,100.0,181,99.3923149363044,99.94385114878273,0.9939231493630439,0.9994385114878273,99.64847466293001,0.0,-99.3923149363044,-99.94385114878273,99.97602557677361,99.97999744735294,99.98774514897735,0.0055248618784530384,0.0055248618784530384,0.0055248618784530384,0.0,1.0
scale only,scale_only,test,115.0,187,114.92087292316833,114.94502442060875,0.9993119384623331,0.9995219514835543,114.92089304663382,0.0,-114.92087292316833,-114.94502442060875,114.96909819462495,114.9781830387027,114.9857910966993,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,test,125.0,185,124.92890958454021,124.94217132533045,0.9994312766763216,0.9995373706026436,124.92892019357565,0.0,-124.92890958454021,-124.94217132533045,124.97350753595181,124.97816125520832,124.98471573185168,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,test,150.0,189,149.92105213417761,149.93651423247837,0.9994736808945174,0.9995767615498559,149.92106779225062,0.0,-149.92105213417761,-149.93651423247837,149.96522914439018,149.973654136157,149.99265696717256,0.0,0.0,0.0,0.0,1.0
depth linear,depth_only_linear,cv_oof,20.0,1087,57.44323132160064,57.41625432930377,2.8721615660800324,2.8708127164651884,57.443684898745936,0.0,57.44323132160064,57.41625432930377,57.55893904901052,57.56272077756992,57.566040436735804,0.0,0.0,0.0,1.0,0.0
depth linear,depth_only_linear,cv_oof,30.0,1065,47.45317578767528,47.41710552648645,1.5817725262558426,1.580570184216215,47.45324087680811,0.0,47.45317578767528,47.41710552648645,47.56069087002568,47.56314168090245,47.56562208963409,0.0,0.0,0.0,1.0,0.0
depth linear,depth_only_linear,cv_oof,40.0,980,37.372928371681695,37.415442590122105,0.9343232092920424,0.9353860647530526,37.386076572746646,0.0,37.372928371681695,37.415442590122105,37.55908023055984,37.56256369128361,37.56556781829691,0.0,0.0,0.0,1.0,0.0
depth linear,depth_only_linear,cv_oof,50.0,1019,27.418393920056314,27.415177038436866,0.5483678784011262,0.5483035407687373,27.426009642336535,0.0,27.418393920056314,27.415177038436866,27.55821214408989,27.56176574841603,27.56563709563696,0.0,0.0,0.001962708537782139,1.0,0.0
depth linear,depth_only_linear,cv_oof,60.0,1075,17.422660654770603,17.413960700195005,0.29037767757951,0.29023267833658345,17.43091025531662,0.0,17.422660654770603,17.413960700195005,17.55710029743703,17.56034621849797,17.565187608353625,0.0009302325581395349,0.0009302325581395349,1.0,1.0,0.0
