rf_weight,xgb_weight,oof_mae,oof_mean_relative_error,oof_rmse,oof_r2
0.0,1.0,6.268843211920808,0.08351398029642032,8.824208201671782,0.946756506141966
0.01,0.99,6.266748496177792,0.08346098278729182,8.82296406267569,0.946771518851476
0.02,0.98,6.26473438609479,0.08340904069642527,8.821861946246516,0.9467848160425708
0.03,0.97,6.262801223965722,0.08335811628396439,8.820901905618758,0.9467963977152503
0.04,0.96,6.260964154891693,0.08330856653332831,8.820083987186031,0.9468062638695145
0.05,0.95,6.259216984884429,0.08326032516454321,8.819408230489888,0.9468144145053635
0.06,0.94,6.257582377050219,0.08321375259171002,8.818874668210265,0.9468208496227972
0.07,0.9299999999999999,6.256060415272896,0.08316867194988152,8.818483326157576,0.9468255692218157
0.08,0.92,6.25464344492796,0.0831249272015751,8.818234223266481,0.946828573302419
0.09,0.91,6.253307671683875,0.08308259110024466,8.818127371591306,0.946829861864607
0.1,0.9,6.2520837949468895,0.08304205376732518,8.818162776303119,0.9468294349083798
0.11,0.89,6.250951233555352,0.08300272434563875,8.818340435688487,0.9468272924337374
0.12,0.88,6.249908315945698,0.08296464046035218,8.81866034114989,0.9468234344406797
0.13,0.87,6.248942623712419,0.08292745491946889,8.819122477207792,0.9468178609292067
0.14,0.86,6.24808825974726,0.08289170804011257,8.819726821504398,0.9468105718993186
0.15,0.85,6.247311430894971,0.0828573165420944,8.820473344809052,0.9468015673510152
0.16,0.84,6.246681013992585,0.08282507339004752,8.82136201102531,0.9467908472842965
0.17,0.83,6.246176728453826,0.08279478746479561,8.822392777199648,0.9467784116991627
0.18,0.8200000000000001,6.245768426542927,0.08276581132779626,8.823565593531852,0.9467642605956135
0.19,0.81,6.24544820439398,0.08273825613106553,8.82488040338702,0.9467483939736491
0.2,0.8,6.24523344198005,0.08271231153696873,8.82633714330922,0.9467308118332695
0.21,0.79,6.245122862437655,0.08268789048826086,8.827935743036774,0.9467115141744746
0.22,0.78,6.2451525885259604,0.08266550626187062,8.82967612551916,0.9466905009972645
0.23,0.77,6.2453416648127735,0.08264522827857586,8.831558206935537,0.9466677723016392
0.24,0.76,6.24569988434284,0.08262711331600166,8.833581896714852,0.9466433280875987
0.25,0.75,6.2461898325779925,0.08261084083837734,8.83574709755756,0.9466171683551428
0.26,0.74,6.246809491861449,0.08259635093929309,8.838053705458906,0.9465892931042718
0.27,0.73,6.247542458941572,0.08258359684700851,8.840501609733776,0.9465597023349854
0.28,0.72,6.24837192219341,0.08257227622158214,8.84309069304311,0.9465283960472839
0.29,0.71,6.249331336435163,0.08256290796373134,8.845820831421829,0.946495374241167
0.3,0.7,6.250372887484877,0.08255490071231793,8.848691894308313,0.9464606369166351
0.31,0.69,6.25154093029667,0.08254893378946355,8.85170374457536,0.9464241840736878
0.32,0.6799999999999999,6.252880284312715,0.08254567776107503,8.854856238562649,0.9463860157123253
0.33,0.6699999999999999,6.254382269290037,0.08254508653688988,8.858149226110655,0.9463461318325476
0.34,0.6599999999999999,6.256055911401835,0.08254690355400764,8.861582550596045,0.9463045324343545
0.35,0.65,6.2578559002135,0.08255045170407826,8.865156048968474,0.9462612175177463
0.36,0.64,6.259751666059658,0.08255530860864922,8.868869551788826,0.9462161870827228
0.37,0.63,6.2617791100907585,0.08256202752532141,8.872722883268818,0.9461694411292841
0.38,0.62,6.2639332307854145,0.08257042392383272,8.87671586131199,0.9461209796574301
0.39,0.61,6.266228762343046,0.082580766659792,8.880848297556048,0.9460708026671609
0.4,0.6,6.268617033257436,0.0825925933456999,8.885119997416522,0.9460189101584765
0.41,0.5900000000000001,6.27110748687228,0.08260602734444236,8.88953076013174,0.9459653021313769
