display_name,model_name,model_family,split_name,role,config_name,distance_range,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
scale only,scale_only,linear,cv_oof,poster,scale_only,near,5226,39.82676584394909,39.95197742162597,0.9996125056274245,0.9988211127371203,42.33790531683665,-7.729420629785343,-39.553751693699844,-39.950822009396575,59.94650093903054,59.96538332217231,88.78748260438442,0.0,0.00019135093761959434,0.20780711825487944,0.0024875621890547263,0.9975124378109452
scale only,scale_only,linear,cv_oof,poster,scale_only,mid,4230,84.56895875427718,79.98584537877235,0.9973593741241401,0.9994072519083801,85.35884692340274,-57.910638709292826,-84.49562424682675,-79.98584537877235,99.95258290531675,99.96733807564718,99.98862060195009,0.00047281323877068556,0.0009456264775413711,0.0014184397163120568,0.0016548463356973995,0.9983451536643027
scale only,scale_only,linear,cv_oof,poster,scale_only,far,3175,129.3226868000039,124.93803609090753,0.9992120359279155,0.999543509502896,130.16345696684493,-77.19959304202128,-129.3226868000039,-124.93803609090753,149.94978925720642,149.96228718464113,149.99594770479334,0.0,0.0,0.0,0.0,1.0
scale only,scale_only,linear,test,poster,scale_only,near,926,40.190830458426845,39.959917503948915,0.9978164072616105,0.9989118597739879,42.61578712616694,-8.015925516087709,-40.01199407709444,-39.95934827813289,59.94826636799293,59.96797606697298,59.99133130938809,0.0,0.0,0.19114470842332612,0.0021598272138228943,0.9978401727861771
scale only,scale_only,linear,test,poster,scale_only,mid,747,84.44695001037925,79.98813592239586,0.99526443255048,0.9993917236402927,85.30434427693092,-57.66370316315808,-84.35912873981191,-79.98813592239586,99.94964175850177,99.96780956387603,99.98774514897735,0.0013386880856760374,0.0013386880856760374,0.004016064257028112,0.002677376171352075,0.9973226238286479
scale only,scale_only,linear,test,poster,scale_only,far,561,130.01271009470943,124.942741500307,0.9994057831847408,0.9995509245864339,130.8483085436952,-77.5395584070209,-130.01271009470943,-124.942741500307,149.95156762248595,149.96045579591387,149.99265696717256,0.0,0.0,0.0,0.0,1.0
depth linear,depth_only_linear,linear,cv_oof,poster,depth_only_linear,near,5226,37.55694567032489,37.417170564494135,1.261616337425639,0.9354292641123534,40.20589355322209,-6.87238133435873,37.55694567032489,37.417170564494135,57.4174558805009,57.529318913282346,57.566040436735804,0.00019135093761959434,0.00019135093761959434,0.2060849598163031,1.0,0.0
depth linear,depth_only_linear,linear,cv_oof,poster,depth_only_linear,mid,4230,11.115578392668317,7.5618245865025955,0.12430615716817046,0.10802606552146565,13.364303160194714,-0.44407347008092013,-7.375856187363907,-2.644533518482632,22.603495742412996,22.632113245009634,39.17299937081617,0.25886524822695034,0.5101654846335697,0.757919621749409,0.25130023640661936,0.7486997635933806
depth linear,depth_only_linear,linear,cv_oof,poster,depth_only_linear,far,3175,51.98521314110771,47.58328074234319,0.3942280040748139,0.38066624593874554,54.03228612838983,-12.475132071302664,-51.98521314110771,-47.58328074234319,72.60536638687093,72.63632647117348,89.17299937081617,0.0,0.0,0.0,0.0,1.0
depth linear,depth_only_linear,linear,test,poster,depth_only_linear,near,926,37.14195954044384,37.45246731825941,1.2280800917659094,0.9363116829564853,39.776100229708035,-6.854412194406993,37.14195954044384,37.45246731825941,57.45168075864474,57.45478212278694,57.45713257646344,0.0010799136069114472,0.0010799136069114472,0.21274298056155508,1.0,0.0
depth linear,depth_only_linear,linear,test,poster,depth_only_linear,mid,747,11.236565914624443,7.456676354316414,0.12567737032255652,0.10652394791880591,13.443143098326086,-0.4568969018235871,-7.467267569319496,-2.6139728707539547,22.55011955406391,22.553512404871675,35.26895922350599,0.24765729585006693,0.500669344042838,0.7576974564926372,0.25301204819277107,0.7469879518072289
depth linear,depth_only_linear,linear,test,poster,depth_only_linear,far,561,52.64099244842131,47.54942704526685,0.39724540852695833,0.3803954163621348,54.67241554283174,-12.711619529161446,-52.64099244842131,-47.54942704526685,72.55221061993436,72.55681604393884,72.62201424528395,0.0,0.0,0.0,0.0,1.0
linear+bb,depth_geometry_metadata_linear,linear,cv_oof,poster,depth_geometry_metadata_linear,near,5226,13.15597991926503,10.545464769345449,0.3576134953402085,0.2823047167124658,21.114977146752086,-1.1712404305214852,5.639236960290665,4.557099513909328,27.477171535100887,32.469535845413816,935.8903584323938,0.2621507845388442,0.4778032912361271,0.7736318407960199,0.6081132797550708,0.3918867202449292
linear+bb,depth_geometry_metadata_linear,linear,cv_oof,poster,depth_geometry_metadata_linear,mid,4230,9.949012283512433,8.709809318215775,0.12216529942060797,0.10267324424921845,12.1389912997745,-0.19141167668875037,6.71579860393792,6.956018947528925,19.597064075385184,22.722017926413674,40.530253880743075,0.29385342789598107,0.5591016548463357,0.9056737588652483,0.7475177304964539,0.2524822695035461
linear+bb,depth_geometry_metadata_linear,linear,cv_oof,poster,depth_geometry_metadata_linear,far,3175,18.46630387681573,16.414275546090025,0.1353690719283488,0.1342730901317135,22.07458003245145,-1.2491128354141927,-18.080190072569778,-16.378020046437484,36.01407654555519,38.68744912119477,48.115933242092254,0.14708661417322835,0.3121259842519685,0.5959055118110236,0.05291338582677165,0.9470866141732284
linear+bb,depth_geometry_metadata_linear,linear,test,poster,depth_geometry_metadata_linear,near,926,12.999676656055387,10.988131030551347,0.3400303139949286,0.287137659391833,16.500768313522432,-0.3516916134965009,5.8423783472512225,4.797751793983046,27.265376380580868,32.6849086311778,72.73914065767059,0.2786177105831533,0.4654427645788337,0.7613390928725702,0.6274298056155507,0.37257019438444927
linear+bb,depth_geometry_metadata_linear,linear,test,poster,depth_geometry_metadata_linear,mid,747,9.640287087886078,8.272888918965691,0.11785482527330025,0.09937093759306403,11.895291255698055,-0.14071548467559025,6.277151794513588,6.487503721978754,19.102052783834893,23.45279107051649,35.489767885700985,0.31593038821954483,0.5783132530120482,0.9103078982597055,0.7376171352074966,0.26238286479250333
