model_name,candidate_name,num_features,feature_names,oof_mae,oof_mean_relative_error,oof_rmse,oof_r2,oof_mean_signed_error,num_folds,mean_count,mean_mae,mean_median_absolute_error,mean_mean_relative_error,mean_median_relative_error,mean_rmse,mean_r2,mean_mean_signed_error,mean_median_signed_error,mean_p90_absolute_error,mean_p95_absolute_error,mean_max_absolute_error,mean_within_5m_rate,mean_within_10m_rate,mean_within_20m_rate,mean_overprediction_rate,mean_underprediction_rate,param_n_estimators,param_max_depth,param_min_samples_leaf,param_max_features,param_random_state,param_n_jobs
raw_depth_only_rf,rf_shallow,1,bbox_only__inner50_median__object_depth,27.472735274929178,0.5443111243949648,34.10888682732364,0.199097517682718,-0.0921445931108127,5,10243.2,27.472693188315297,23.509587868376972,0.544309604304049,0.2903440425626044,34.108524478044465,0.19899096697167012,-0.09231958618616418,0.3876382780463416,59.055457656015946,64.55723851462298,103.52900598868818,0.1214081168673263,0.24269821473289604,0.4308433525558685,0.5053859673368792,0.4946140326631207,300,10,5,sqrt,20260520,1
raw_depth_only_rf,rf_medium,1,bbox_only__inner50_median__object_depth,27.749411872248253,0.5474801077860325,34.453971987125655,0.18280981817467146,-0.2570536969032543,5,10243.2,27.749365093168603,23.8167334232686,0.5474786888701705,0.2948043047402533,34.453657965193806,0.18269578509921566,-0.2572021709754277,0.23643636595086903,59.28982336417935,65.63980331156253,108.34476772081238,0.12013918718063785,0.23776013725326933,0.4314288486115399,0.5029841942629749,0.4966054126684939,300,16,3,sqrt,20260520,1
raw_depth_only_rf,rf_deep,1,bbox_only__inner50_median__object_depth,28.563536805463073,0.557207532037438,35.543512951827324,0.13030845897833,-0.5658991184024559,5,10243.2,28.563469861974774,24.305092121574006,0.5572060227251965,0.3070538659465528,35.54327504004452,0.13017540764810348,-0.5660284386414035,-0.15486986881716333,60.48260255477186,68.3813312318886,114.0128304950698,0.11863708762388445,0.22873972991230973,0.4244785561696303,0.4981811901393628,0.5011156080717516,300,24,2,sqrt,20260520,1
raw_depth_only_rf,rf_unbounded,1,bbox_only__inner50_median__object_depth,30.708358383545335,0.580042610374312,38.61328442971759,-0.02640329081030246,-1.108731335016136,5,10243.2,30.70831363161101,25.671522186147183,0.5800413889574134,0.33429219644687047,38.613080839925814,-0.02656481915713722,-1.108873383006827,-0.3602992424242565,64.91711148388649,76.10128783068782,124.66719937469938,0.11186100485796643,0.21792186523873586,0.4080586748687722,0.4957212518908939,0.5035755463202205,300,,2,sqrt,20260520,1
geometry_metadata_rf,rf_shallow,12,bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,9.1143175902026,0.12132147972132443,12.329342622524827,0.8953535763982647,-0.028743766415910452,5,10243.2,9.114302557413742,6.900721520485638,0.12132119308266327,0.09737258582224154,12.328893908337527,0.8953321898522553,-0.02886410837612339,0.2079039978111247,20.874191219214218,25.925710641631678,59.803304853622066,0.402023474412694,0.6415579206783726,0.8863247773129709,0.5329554803074805,0.46704451969251953,300,10,5,sqrt,20260520,1
geometry_metadata_rf,rf_medium,12,bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.276022989275553,0.11026921758363349,11.349865930384292,0.9113199334116511,-0.05178719442552356,5,10243.2,8.276004452308111,6.173226580972797,0.11026880049726681,0.08528531952710512,11.349501723566576,0.9113033556591004,-0.05190716630175789,0.08012147432006138,19.055158141606324,23.869294071937635,57.94150783089416,0.4359792968646915,0.680687666656211,0.9125467295340355,0.5186437157543817,0.46956391645679363,300,16,3,sqrt,20260520,1
geometry_metadata_rf,rf_deep,12,bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.054738284630382,0.1075187145162936,11.169540101046113,0.9141154329009856,-0.06876715440643269,5,10243.2,8.054732010929929,5.911139611160729,0.10751842686129956,0.08137792643042477,11.169438524632536,0.914104660360865,-0.06888170226408621,0.057210271845541526,18.74497467531401,23.6770340507752,59.93788917292052,0.448220091262427,0.6965413770593591,0.9158262803738042,0.5124731940424481,0.47194623498014165,300,24,2,sqrt,20260520,1
geometry_metadata_rf,rf_unbounded,12,bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.052202694971712,0.10747600576897354,11.17245739955506,0.9140705637949805,-0.06916622719052132,5,10243.2,8.052198817957779,5.892454010267635,0.10747573591472352,0.08120337126855563,11.172329229447216,0.9140605753900802,-0.06928541459689738,0.056814814814813985,18.7369931116322,23.67017582620174,60.183498479840715,0.44962676208120306,0.696366061187861,0.915982583943529,0.5123151965481856,0.47231812274857027,300,,2,sqrt,20260520,1
raw_depth_geometry_metadata_rf,rf_shallow,13,bbox_only__inner50_median__object_depth | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.756899019454512,0.1143506799274237,11.92372222147241,0.9021257949575724,-0.0355815743813807,5,10243.2,8.756864525295095,6.528503161599832,0.11435004202336044,0.09130802463949361,11.923312070500835,0.9021022607385053,-0.03569454396546188,0.3196130514294417,20.402217417706243,25.131620476438066,58.14681060104867,0.41721342795024263,0.6570411014658812,0.894291687018723,0.5432061913648962,0.4567938086351037,300,10,5,sqrt,20260520,1
raw_depth_geometry_metadata_rf,rf_medium,13,bbox_only__inner50_median__object_depth | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,7.986744235587578,0.10346967519039979,11.06344827697872,0.915739202121985,-0.08754763022691663,5,10243.2,7.98670409867255,5.795014458341084,0.10346880746969526,0.08040768893427339,11.063209406344768,0.9157211526945416,-0.08765402997663954,0.15416096099326068,18.679449613969837,23.57655934985911,57.37029502282936,0.4530644164278404,0.6951959325735453,0.9162382457135099,0.5304768568771746,0.46120528808513495,300,16,3,sqrt,20260520,1
raw_depth_geometry_metadata_rf,rf_deep,13,bbox_only__inner50_median__object_depth | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,7.79285562847832,0.10103430166390444,10.868368766559865,0.9186845108128827,-0.10645180780286494,5,10243.2,7.792820430884019,5.612593294543748,0.10103346346572409,0.0771581106473925,10.868227809061263,0.9186690165278893,-0.10655617169718959,0.132129364055956,18.337241552400926,23.278464442465285,57.97882739744581,0.4642518420652049,0.7068732556309655,0.9208452973792628,0.52479466978834,0.4630413955364177,300,24,2,sqrt,20260520,1
raw_depth_geometry_metadata_rf,rf_unbounded,13,bbox_only__inner50_median__object_depth | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,7.790667911668974,0.10103324866921826,10.864475853675268,0.9187427527495563,-0.11344488876799626,5,10243.2,7.790639401371179,5.608588361393683,0.10103246819517135,0.07714754992136368,10.864329863390932,0.9187270342913502,-0.1135527511995967,0.12643776457965358,18.269036970654728,23.21232272714129,56.21120121134243,0.4638813739199782,0.7069698977392779,0.9206893750350137,0.5254382176772079,0.4632568652311124,300,,2,sqrt,20260520,1
small_rf_depth_only_rf,rf_shallow,1,depth_lower_model_prediction,21.275298404704564,0.3733123713347179,27.37535534165927,0.4841017223774463,-1.3561195537591244,5,10243.2,21.275293362320685,17.110972908985858,0.37331070606909733,0.23039353308007765,27.374318784820122,0.48405407127127364,-1.3562743826438646,-0.43125970188059737,46.137605283559935,55.417553349484635,106.05770573069519,0.1676650951233884,0.3185561533288186,0.5663878475357793,0.49367016300192484,0.5051571976864795,300,10,5,sqrt,20260520,1
small_rf_depth_only_rf,rf_medium,1,depth_lower_model_prediction,21.598114005955917,0.37803656410669895,27.774997658426464,0.4689289720261387,-1.3781756579979825,5,10243.2,21.59813658841751,17.349679893179125,0.37803524751957324,0.23544912402177634,27.77401917658606,0.46888367035082334,-1.3783296228813442,-0.47821874563006156,46.81495391867186,56.36674035633706,109.98986318707924,0.16631671368930384,0.3129117385989238,0.5578368687442707,0.4905072122550953,0.5071876253200662,300,16,3,sqrt,20260520,1
small_rf_depth_only_rf,rf_deep,1,depth_lower_model_prediction,22.51389650502614,0.39076025459021085,28.977242559979082,0.42195897842873586,-1.4152888309277458,5,10243.2,22.51394870754831,18.143044979357498,0.39075927185935466,0.24849762929527258,28.976089366353484,0.4219202898291307,-1.4154608089920537,-0.4433987839422528,48.548786068305034,58.899841724670715,113.45298263472648,0.15983368323590663,0.3036763426172793,0.5385824049380731,0.48877059270078727,0.5071862821635702,300,24,2,sqrt,20260520,1
small_rf_depth_only_rf,rf_unbounded,1,depth_lower_model_prediction,23.615959432078785,0.4054895499404456,30.44502772294294,0.36191682204310127,-1.440543904812566,5,10243.2,23.61602450277988,19.01060786435787,0.40548860916650337,0.262122869162641,30.444201222865026,0.3618725496566088,-1.4407431651404532,-0.5050759980760013,51.11458103655605,61.94533064574316,115.74132010582011,0.1530582198912136,0.2924487179699561,0.5205013132594988,0.48908151338712835,0.5062896297296605,300,,2,sqrt,20260520,1
stacked_rf_depth_geometry_metadata_rf,rf_shallow,13,depth_lower_model_prediction | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.99209921428982,0.11837826151687363,12.144012492543277,0.8984759444164089,-0.49414285587280615,5,10243.2,8.992094926666407,6.818082399042815,0.11837800014107056,0.09588206793679199,12.14391519547491,0.8984582717875377,-0.4942563713084339,0.2181353988026334,20.572523890049077,25.423242002115476,58.159441245757115,0.4071372631985609,0.6410294242049976,0.8921237701389453,0.5323307856026924,0.46766921439730746,300,10,5,sqrt,20260520,1
stacked_rf_depth_geometry_metadata_rf,rf_medium,13,depth_lower_model_prediction | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.328984112482376,0.10893714383091165,11.411896955842668,0.9103479487688627,-0.572904246482468,5,10243.2,8.32897619558592,6.242944485108403,0.10893671272899404,0.08698290231887666,11.41187446786729,0.9103350995448102,-0.5730088848603716,0.06989802002223193,19.133570694127513,24.05701726378232,56.42632199429331,0.4329122090417452,0.6758245406963737,0.9108482876595632,0.5166531372563988,0.4751664366251226,300,16,3,sqrt,20260520,1
stacked_rf_depth_geometry_metadata_rf,rf_deep,13,depth_lower_model_prediction | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.154322992362259,0.10682924288063525,11.240451375248266,0.9130214726852814,-0.5686852888274642,5,10243.2,8.154321277824803,6.0246089464870645,0.10682886638780223,0.0835964782858672,11.240434989862472,0.9130108456386046,-0.5687843911665162,0.054281370988641345,18.846057918910965,23.80114558393175,55.53745926765494,0.44038956292559883,0.6893752332135387,0.9144218681865854,0.5117136951714805,0.4765913338958384,300,24,2,sqrt,20260520,1
stacked_rf_depth_geometry_metadata_rf,rf_unbounded,13,depth_lower_model_prediction | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.146458183814273,0.10675106433418097,11.23093629152006,0.9131686656503559,-0.5675524413791523,5,10243.2,8.146449679840511,6.013573814281978,0.1067505916871386,0.08396757169905351,11.230903922265199,0.9131574240844975,-0.5676501901357631,0.0532988955488964,18.788647478470928,23.86811260027124,55.010195290891545,0.4410934514144748,0.6903125738454706,0.9143632513608251,0.511459094589233,0.4763962731570187,300,,2,sqrt,20260520,1
