model_name,selected_candidate_name,num_features,feature_names,oof_mae,oof_mean_relative_error,oof_rmse,oof_r2,num_folds,mean_count,mean_mae,mean_median_absolute_error,mean_mean_relative_error,mean_median_relative_error,mean_rmse,mean_r2,mean_mean_signed_error,mean_median_signed_error,mean_p90_absolute_error,mean_p95_absolute_error,mean_max_absolute_error,mean_within_5m_rate,mean_within_10m_rate,mean_within_20m_rate,mean_overprediction_rate,mean_underprediction_rate,param_n_estimators,param_max_depth,param_min_samples_leaf,param_max_features,param_random_state,param_n_jobs
raw_depth_only_rf,rf_shallow,1,bbox_only__inner50_median__object_depth,27.472735274929178,0.5443111243949648,34.10888682732364,0.199097517682718,5,10243.2,27.472693188315297,23.509587868376972,0.544309604304049,0.2903440425626044,34.108524478044465,0.19899096697167012,-0.09231958618616418,0.3876382780463416,59.055457656015946,64.55723851462298,103.52900598868818,0.1214081168673263,0.24269821473289604,0.4308433525558685,0.5053859673368792,0.4946140326631207,300,10,5,sqrt,20260520,1
geometry_metadata_rf,rf_unbounded,12,bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.052202694971712,0.10747600576897354,11.17245739955506,0.9140705637949805,5,10243.2,8.052198817957779,5.892454010267635,0.10747573591472352,0.08120337126855563,11.172329229447216,0.9140605753900802,-0.06928541459689738,0.056814814814813985,18.7369931116322,23.67017582620174,60.183498479840715,0.44962676208120306,0.696366061187861,0.915982583943529,0.5123151965481856,0.47231812274857027,300,,2,sqrt,20260520,1
raw_depth_geometry_metadata_rf,rf_unbounded,13,bbox_only__inner50_median__object_depth | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,7.790667911668974,0.10103324866921826,10.864475853675268,0.9187427527495563,5,10243.2,7.790639401371179,5.608588361393683,0.10103246819517135,0.07714754992136368,10.864329863390932,0.9187270342913502,-0.1135527511995967,0.12643776457965358,18.269036970654728,23.21232272714129,56.21120121134243,0.4638813739199782,0.7069698977392779,0.9206893750350137,0.5254382176772079,0.4632568652311124,300,,2,sqrt,20260520,1
small_rf_depth_only_rf,rf_shallow,1,depth_lower_model_prediction,21.275298404704564,0.3733123713347179,27.37535534165927,0.4841017223774463,5,10243.2,21.275293362320685,17.110972908985858,0.37331070606909733,0.23039353308007765,27.374318784820122,0.48405407127127364,-1.3562743826438646,-0.43125970188059737,46.137605283559935,55.417553349484635,106.05770573069519,0.1676650951233884,0.3185561533288186,0.5663878475357793,0.49367016300192484,0.5051571976864795,300,10,5,sqrt,20260520,1
stacked_rf_depth_geometry_metadata_rf,rf_unbounded,13,depth_lower_model_prediction | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.146458183814273,0.10675106433418097,11.23093629152006,0.9131686656503559,5,10243.2,8.146449679840511,6.013573814281978,0.1067505916871386,0.08396757169905351,11.230903922265199,0.9131574240844975,-0.5676501901357631,0.0532988955488964,18.788647478470928,23.86811260027124,55.010195290891545,0.4410934514144748,0.6903125738454706,0.9143632513608251,0.511459094589233,0.4763962731570187,300,,2,sqrt,20260520,1
