model_name,model_label,jitter_name,count,mae,mean_relative_error,mean_signed_error,rmse
equal_weight_blend,Equal-Weight Blend,original,2260,6.921047253319398,0.09196327932933822,1.4612032382126827,9.631269795190425
equal_weight_blend,Equal-Weight Blend,scale_down,2260,8.380326014042748,0.11874435010495597,5.438218667913123,11.414538007910856
equal_weight_blend,Equal-Weight Blend,scale_up,2260,7.095054790814564,0.08681764231010741,-2.436481802981459,10.123330694695234
equal_weight_blend,Equal-Weight Blend,scale_up_more,2260,8.13348327707318,0.09786450036908187,-5.115087969910896,11.281351474526918
rf_winner_baseline,RF Winner,original,2260,7.0277596882408275,0.09268467035823612,1.3726386893697338,9.87855466844235
rf_winner_baseline,RF Winner,scale_down,2260,8.466691418078668,0.11974436113866245,5.395700800829878,11.624850491768356
rf_winner_baseline,RF Winner,scale_up,2260,7.1574275007461665,0.08643725692002276,-2.4428469449249,10.33817920673397
rf_winner_baseline,RF Winner,scale_up_more,2260,8.19767964731222,0.09711273916395188,-5.129262714799754,11.510648876773635
tuned_weight_blend,Tuned Blend,original,2260,6.922200558055561,0.0920929174595998,1.4718309840738406,9.619602826538921
tuned_weight_blend,Tuned Blend,scale_down,2260,8.380174566557063,0.11878974098728448,5.443320811963118,11.405590843284724
tuned_weight_blend,Tuned Blend,scale_up,2260,7.099897614083192,0.08705860313563968,-2.435717985948243,10.114424613484415
tuned_weight_blend,Tuned Blend,scale_up_more,2260,8.136461667152696,0.09812211966630296,-5.113387000524228,11.268799027944866
xgb_winner_baseline,XGB Winner,original,2260,7.012791776235125,0.09412252309138668,1.5497677870556317,9.654520824000114
xgb_winner_baseline,XGB Winner,scale_down,2260,8.450399398803711,0.12012782260162157,5.48073653499637,11.448166167286795
xgb_winner_baseline,XGB Winner,scale_up,2260,7.2236733588497195,0.09013821059158104,-2.430116661038019,10.16138736514288
xgb_winner_baseline,XGB Winner,scale_up_more,2260,8.233707176478562,0.10112061227926496,-5.100913225022038,11.276655231369045
