model_name,model_label,distance_range,mae,mean_relative_error,mean_signed_error,count
rf_winner_baseline,RF Winner,near,4.235535121101884,0.09862224987031762,2.1961023092091776,3780
rf_winner_baseline,RF Winner,mid,9.052474501056565,0.10659227594980901,0.8425200334008675,3016
rf_winner_baseline,RF Winner,far,11.768010606926154,0.08941095969623392,-5.6411888291775,2244
xgb_winner_baseline,XGB Winner,near,4.431126742892795,0.10559052868579011,1.9816759987482948,3780
xgb_winner_baseline,XGB Winner,mid,8.920812649815405,0.1052985283374425,0.9802219203675774,3016
xgb_winner_baseline,XGB Winner,far,11.687015162857247,0.08900987569353716,-5.159657915220754,2244
equal_weight_blend,Equal-Weight Blend,near,4.2627296051526695,0.10039923634149645,2.0888891539787364,3780
equal_weight_blend,Equal-Weight Blend,mid,8.868123784729692,0.10454676578425368,0.9113709768842224,3016
equal_weight_blend,Equal-Weight Blend,far,11.648048295651918,0.08857340730851472,-5.400423372199127,2244
tuned_weight_blend,Tuned Blend,near,4.276306471497286,0.10086944734835959,2.0760235753510856,3780
tuned_weight_blend,Tuned Blend,mid,8.860395716561106,0.10447128659153958,0.9196330901022297,3016
tuned_weight_blend,Tuned Blend,far,11.64445089741961,0.08856119887944125,-5.3715315173617135,2244
