drone_type,count,raw_mae,calibrated_mae,mae_improvement_m,raw_mean_relative_error,calibrated_mean_relative_error,raw_within_10m_rate,calibrated_within_10m_rate
Kongsberg,203,33.86326543208363,2.784920721417652,31.078344710665977,1.5011091076757752,0.1278256072099421,0.0,0.9704433497536946
Vestfold,286,16.650121467138703,3.5359360814598215,13.114185385678882,0.5309365181470415,0.11926450729509716,0.2727272727272727,0.965034965034965
