drone_type,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,within_2m_rate,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
Kongsberg,203,2.784920721417652,1.8238331268489496,0.1278256072099421,0.10620712488866872,3.827517013044932,0.932677388327814,-9.076395901968058e-13,0.32349079417346616,5.480422283411002,8.357803732940978,0.5665024630541872,0.8719211822660099,0.9704433497536946,1.0,0.5320197044334976,0.46798029556650245
Vestfold,286,3.5359360814598215,2.9023202871790517,0.11926450729509716,0.07153124354050955,4.564456212504353,0.9514750001948772,3.559670041248502e-13,-0.41501079884328007,7.598076905779919,9.159845809568019,0.3916083916083916,0.7272727272727273,0.965034965034965,1.0,0.45454545454545453,0.5454545454545454
