true_distance_m,count,raw_mae,calibrated_mae,mae_improvement_m,raw_mean_relative_error,calibrated_mean_relative_error,raw_within_10m_rate,calibrated_within_10m_rate
4.0,18,15.276478643711366,1.2587601997044604,14.017718444006906,3.8191196609278415,0.3146900499261151,0.0,1.0
5.0,6,17.283817855689637,6.529985281155692,10.753832574533945,3.456763571137928,1.3059970562311383,0.0,1.0
9.0,26,13.580160900596306,1.6550262626334502,11.925134637962856,1.5089067667329228,0.18389180695927226,0.0,1.0
10.0,19,9.995856561011598,0.9401386874900733,9.055717873521525,0.9995856561011599,0.09401386874900734,0.42105263157894735,1.0
15.0,44,14.214910814270967,1.4970280810681558,12.717882733202812,0.9476607209513979,0.09980187207121038,0.4318181818181818,1.0
20.0,46,19.09533827059801,1.6964600003916255,17.398878270206385,0.9547669135299006,0.08482300001958128,0.10869565217391304,1.0
25.0,42,21.645157845891553,3.3513180312361253,18.293839814655428,0.8658063138356621,0.134052721249445,0.0,1.0
30.0,35,27.0881763372803,3.1075202690668573,23.98065606821344,0.9029392112426767,0.10358400896889527,0.0,0.9714285714285714
35.0,47,26.558899172605162,3.370764307680905,23.18813486492426,0.7588256906458615,0.09630755164802587,0.46808510638297873,0.9787234042553191
40.0,37,28.869248147993513,4.572750195357159,24.296497952636354,0.721731203699838,0.11431875488392898,0.24324324324324326,1.0
45.0,39,38.62213937476739,4.8151290178937005,33.80701035687369,0.8582697638837194,0.10700286706430444,0.07692307692307693,0.8717948717948718
50.0,42,32.630721577723634,5.150388075528124,27.48033350219551,0.6526144315544725,0.10300776151056253,0.023809523809523808,0.8809523809523809
55.0,20,16.700619838028626,2.8163033743957517,13.884316463632874,0.30364763341870227,0.05120551589810457,0.15,1.0
60.0,13,10.650687701491174,6.676504351015599,3.974183350475575,0.17751146169151963,0.11127507251692664,0.3076923076923077,0.8461538461538461
65.0,19,18.612723584503538,5.314832496591819,13.297891087911719,0.28634959360774676,0.08176665379372029,0.21052631578947367,0.8947368421052632
70.0,12,36.75773055713503,2.9051749108532228,33.8525556462818,0.5251104365305004,0.04150249872647461,0.0,1.0
75.0,24,37.21159032381767,2.0738416367821624,35.137748687035504,0.49615453765090217,0.027651221823762163,0.0,1.0
