variant_name,model_name,split_name,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
baseline_full_geometry,rf,synthetic_holdout,9040,7.7123895635944715,5.524697547822557,0.0989947568952183,0.07460939685828562,10.863884873380792,0.9190613748411238,-0.2009425423812608,0.059166666666666146,18.11515436342888,23.599084490740672,55.73634916009911,0.4683628318584071,0.7148230088495575,0.9203539823008849,0.5190265486725664,0.4686946902654867
baseline_full_geometry,xgb,synthetic_holdout,9040,7.730142927591779,5.673858642578125,0.10137729214096355,0.07887293774148693,10.66169577654641,0.9220460572187603,-0.12513139100201362,0.0780019760131836,18.036537933349614,22.897956466674795,57.753570556640625,0.4599557522123894,0.7140486725663717,0.9255530973451327,0.5065265486725664,0.49347345132743364
baseline_full_geometry,blend,synthetic_holdout,9040,7.634683601462127,5.542665313841084,0.09901584531220672,0.0764078544586907,10.62910718050729,0.9225218777804123,-0.15848829760887814,0.08874235244024575,17.842513850197587,22.795087342620814,56.86599314216238,0.46449115044247785,0.7161504424778761,0.923783185840708,0.5077433628318584,0.4922566371681416
baseline_full_geometry,rf,real_external,489,28.378794329885462,24.64937215263825,1.0681560414173155,0.7715889998293224,32.871712916859614,-1.8452036812910446,28.378794329885462,24.64937215263825,53.96715057156571,61.15463932477883,75.9591173551657,0.002044989775051125,0.0408997955010225,0.43149284253578735,1.0,0.0
baseline_full_geometry,xgb,real_external,489,24.734607622423542,19.09172821044922,0.9514521970102109,0.711224619547526,29.798819967695476,-1.3381201458564318,24.734603877935427,19.09172821044922,53.16358795166015,61.38330078124999,71.16850280761719,0.012269938650306749,0.1492842535787321,0.5398773006134969,0.9979550102249489,0.002044989775051125
baseline_full_geometry,blend,real_external,489,26.338047676793444,21.46311625975656,1.0028018536007812,0.7216109769526939,31.0769515955824,-1.5429950444511804,26.338047676793444,21.46311625975656,54.0908224331731,61.623306020581815,71.49686332084323,0.00408997955010225,0.08997955010224949,0.47648261758691207,1.0,0.0
reduced_geometry,rf,synthetic_holdout,9040,8.551646269365804,6.208888888888879,0.11102711630654181,0.08703147964432678,11.770863290479204,0.9049828181774241,-0.21533141901093897,0.5165873015873022,19.83537265512266,25.165398237721842,54.04515873015869,0.4301991150442478,0.6774336283185841,0.9025442477876107,0.5405973451327434,0.4594026548672566
reduced_geometry,xgb,synthetic_holdout,9040,8.551151665544088,6.030622482299805,0.1118074635207697,0.08958833058675131,11.725582070112786,0.9057124534185297,-0.1881662735896828,0.1328754425048828,20.185101318359376,25.088746643066404,56.35557556152344,0.4396017699115044,0.6763274336283186,0.8974557522123894,0.506858407079646,0.493141592920354
reduced_geometry,blend,synthetic_holdout,9040,8.432476122979827,6.044079762981633,0.10922798681883521,0.08637787092666505,11.606084696478217,0.9076244611279392,-0.20011893757503124,0.30625098763925607,19.788061311272475,24.76710149866173,54.65798448376532,0.44347345132743365,0.6801991150442478,0.9022123893805309,0.5195796460176991,0.4804203539823009
reduced_geometry,rf,real_external,489,22.167599148477173,17.860714285714288,0.9179411241004591,0.6280529100529101,25.973221164582792,-0.7763163708904535,22.16190671250483,17.860714285714288,42.57008481684335,49.13791576832752,68.36294146825396,0.02044989775051125,0.15950920245398773,0.5541922290388548,0.9979550102249489,0.002044989775051125
reduced_geometry,xgb,real_external,489,21.091882264931023,17.518516540527344,0.8254991516401116,0.6239259084065755,25.090623182204403,-0.6576452268720643,21.089961997814218,17.518516540527344,41.512060546875,47.95224761962887,67.4649658203125,0.022494887525562373,0.2331288343558282,0.5623721881390593,0.9979550102249489,0.002044989775051125
reduced_geometry,blend,real_external,489,21.565197693691335,17.75311261298139,0.8661736195226645,0.6195483995112423,25.457336378208858,-0.7064541087265304,21.56161767227809,17.75311261298139,42.50232573295647,48.461108889317536,67.86007510540674,0.02044989775051125,0.18609406952965235,0.556237218813906,0.9979550102249489,0.002044989775051125
scale_uniform_060_140_full_geometry,rf,synthetic_holdout,9040,9.438468051275873,6.515356364768127,0.12485438144184847,0.10228238536155193,12.94881302498917,0.8850138763363568,-1.0862424759893705,0.7547677404295179,22.28760930735933,27.54734055759048,60.57640211640211,0.4113938053097345,0.6408185840707965,0.8713495575221238,0.5393805309734513,0.46050884955752214
scale_uniform_060_140_full_geometry,xgb,synthetic_holdout,9040,9.275646843952416,6.509621620178223,0.1239584105139298,0.10286007342131241,12.69198430918055,0.8895299458689665,-0.8142517494944345,0.79571533203125,21.599363708496096,27.207957839965804,59.03120422363281,0.413716814159292,0.6486725663716815,0.8803097345132743,0.539712389380531,0.46028761061946905
scale_uniform_060_140_full_geometry,blend,synthetic_holdout,9040,9.213407329441303,6.375541523476251,0.12233033404277154,0.10054436545771664,12.658367361533116,0.8901143695158781,-0.9339276691522024,0.7820025368988155,21.775547450254745,27.081438886822113,58.89265637581639,0.42013274336283185,0.6530973451327433,0.8776548672566372,0.536283185840708,0.46371681415929206
scale_uniform_060_140_full_geometry,rf,real_external,489,31.955770359286095,29.648886800334182,1.1879681177337853,0.8887645502645505,36.189729888195565,-2.448572609474192,31.955770359286095,29.648886800334182,57.38650925925926,63.93403703703704,76.62464285714283,0.0,0.010224948875255624,0.3456032719836401,1.0,0.0
scale_uniform_060_140_full_geometry,xgb,real_external,489,28.248933148530362,24.221466064453125,1.0598777960647006,0.8151051112583705,32.861987110692276,-1.8435203004513379,28.248933148530362,24.221466064453125,53.56582336425781,62.16493988037109,81.13959503173828,0.00408997955010225,0.08997955010224949,0.4069529652351738,1.0,0.0
scale_uniform_060_140_full_geometry,blend,real_external,489,29.87994152126289,26.71721725195829,1.116237537599098,0.8423746059454054,34.25197008205392,-2.0891557353600088,29.87994152126289,26.71721725195829,55.19457090505126,63.350036451357894,79.15301607491628,0.002044989775051125,0.0408997955010225,0.3824130879345603,1.0,0.0
scale_uniform_040_140_full_geometry,rf,synthetic_holdout,9040,10.647305000489407,6.762526455026464,0.1308154069526209,0.11183629655565952,15.20434909233195,0.8414664522187334,-5.150778270119053,-2.0995833333333245,26.52084086052838,33.935555555555524,70.40410714285714,0.4027654867256637,0.6309734513274337,0.830641592920354,0.41648230088495575,0.5835176991150443
scale_uniform_040_140_full_geometry,xgb,synthetic_holdout,9040,10.501459669433864,6.711292266845703,0.1312556489270387,0.11293848673502604,14.920667940673681,0.8473270686216571,-4.759445472734164,-1.9718685150146484,26.39679870605469,33.104275894165035,73.55355834960938,0.40099557522123896,0.6306415929203539,0.8363938053097345,0.415929203539823,0.584070796460177
