true_distance_m,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,within_2m_rate,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
10.0,19,1.084615440778694,1.1252757393498545,0.10846154407786943,0.11252757393498544,1.1321790106762986,,-1.084615440778694,-1.1252757393498545,1.4657387208273394,1.6704897107038528,1.0,1.0,1.0,1.0,0.0,1.0
15.0,44,1.6216791792460716,1.2173309511992496,0.10811194528307143,0.08115539674661665,2.076740590269965,,-0.3573919541654077,-0.777353358218499,3.175017380218165,4.171565092032891,0.7954545454545454,0.9772727272727273,1.0,1.0,0.29545454545454547,0.7045454545454546
20.0,46,1.782756532405665,1.1591888938632486,0.08913782662028324,0.05795944469316243,2.48487658186109,,1.0185821714806957,0.35056154781362814,4.9303184528172785,5.119454425681259,0.7391304347826086,0.9130434782608695,1.0,1.0,0.6521739130434783,0.34782608695652173
25.0,42,3.2764380516197553,2.8968939414447377,0.1310575220647902,0.11587575765778951,3.7415683650879608,,3.1232024500003113,2.8042349614265607,5.9020442468821,6.472278284245578,0.2619047619047619,0.8095238095238095,1.0,1.0,0.9523809523809523,0.047619047619047616
30.0,35,2.997743853868498,2.5656192347526456,0.09992479512894994,0.08552064115842152,4.022503273863557,,2.2781272550589167,2.1830172227037323,5.784699447139717,7.1510081470156255,0.4,0.8571428571428571,0.9714285714285714,1.0,0.8285714285714286,0.17142857142857143
35.0,47,3.518306366225695,2.5010625894247127,0.10052303903501988,0.07145893112642036,4.599295513819322,,0.8214155082826755,0.5250631582665264,8.521928848993264,10.286229641624574,0.3829787234042553,0.8085106382978723,0.9361702127659575,1.0,0.5106382978723404,0.48936170212765956
4.0,18,1.27974524354758,1.2929525544544407,0.319936310886895,0.32323813861361017,1.288856408763941,,1.27974524354758,1.2929525544544407,1.4664518229963655,1.5293151269195977,1.0,1.0,1.0,1.0,1.0,0.0
40.0,37,4.3052812897008765,4.109298142224482,0.10763203224252192,0.10273245355561204,4.72216888855838,,-1.7470333602306134,-3.1452419666021427,7.145343013738983,7.335108629871481,0.10810810810810811,0.7027027027027027,1.0,1.0,0.35135135135135137,0.6486486486486487
45.0,39,4.908172865856353,3.6383239652318977,0.10907050813014117,0.08085164367181995,6.077459508481333,,2.2079269149403373,2.6046139712998553,9.507307124712415,10.706123664199971,0.28205128205128205,0.5384615384615384,0.8974358974358975,1.0,0.5897435897435898,0.41025641025641024
5.0,6,6.532308469180978,6.314693949099177,1.3064616938361955,1.2629387898198354,6.552231453681856,,6.532308469180978,6.314693949099177,7.2161724146899955,7.318306836691697,0.0,0.0,1.0,1.0,1.0,0.0
50.0,42,4.831097717442835,3.4919225831851683,0.09662195434885672,0.06983845166370337,6.061397299338569,,-2.2810073118784104,-2.484233154351017,12.735571265973698,13.36840717118712,0.16666666666666666,0.6666666666666666,0.8809523809523809,1.0,0.35714285714285715,0.6428571428571429
55.0,20,2.5758223324902287,1.8710712401303091,0.04683313331800416,0.03401947709327835,3.530387065036503,,-1.381702137311834,-0.4056343804363074,5.516211918533647,7.084897111079386,0.55,0.85,1.0,1.0,0.45,0.55
60.0,13,6.923216692798847,6.704463783087746,0.11538694487998077,0.11174106305146243,7.485480205543225,,-6.923216692798847,-6.704463783087746,11.001919539078369,11.642421708837789,0.07692307692307693,0.23076923076923078,0.8461538461538461,1.0,0.0,1.0
65.0,19,4.605327542915246,3.8270171151339127,0.07085119296792686,0.05887718638667558,5.667913248959958,,-3.595951818531089,-3.263171582866917,9.505873199678106,10.36933724637894,0.3157894736842105,0.631578947368421,0.8947368421052632,1.0,0.2631578947368421,0.7368421052631579
70.0,12,2.650591775612039,2.7730714802341794,0.0378655967944577,0.03961530686048828,3.054274599337062,,1.1987833243811454,1.8915988405827306,4.393755278496774,4.76260969498844,0.4166666666666667,0.9166666666666666,1.0,1.0,0.8333333333333334,0.16666666666666666
75.0,24,2.099798135876544,1.6414957516426796,0.027997308478353924,0.021886610021902394,2.599570616514636,,-1.237110823452971,-1.0758730604802125,4.231417548865904,5.184467347737797,0.5833333333333334,0.9166666666666666,1.0,1.0,0.16666666666666666,0.8333333333333334
9.0,26,1.7949613663675261,1.5982131797038144,0.199440151818614,0.1775792421893127,1.8683896906427993,,-1.7949613663675261,-1.5982131797038144,2.281012485917681,2.9148277994924756,0.7307692307692307,1.0,1.0,1.0,0.0,1.0
