true_distance_m,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,within_2m_rate,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate
4.0,18,15.316518154059517,15.33736082839966,3.8291295385148794,3.834340207099915,15.318449383981669,,15.316518154059517,15.33736082839966,15.613453784790039,15.713580260925292,0.0,0.0,0.0,1.0,1.0,0.0
5.0,6,17.32147913843791,17.111465982818604,3.464295827687582,3.4222931965637207,17.328457148590825,,17.32147913843791,17.111465982818604,17.980084104919435,18.078795793914797,0.0,0.0,0.0,1.0,1.0,0.0
9.0,26,13.40476682827391,13.721225230060924,1.489418536474879,1.5245805811178803,13.43074121668703,,13.40476682827391,13.721225230060924,14.036195409373496,14.123032006127495,0.0,0.0,0.0,1.0,1.0,0.0
10.0,19,9.82668844604492,9.787948997497558,0.9826688446044924,0.9787948997497559,9.831472385288796,,9.82668844604492,9.787948997497558,10.23670082397461,10.256207956695558,0.0,0.0,0.7368421052631579,1.0,1.0,0.0
15.0,44,14.319853612267913,10.099039187149776,0.9546569074845276,0.6732692791433184,15.883526238233227,,14.319853612267913,10.099039187149776,24.625218736230607,25.63658404017019,0.0,0.022727272727272728,0.4772727272727273,0.7045454545454546,1.0,0.0
20.0,46,19.678549437257054,21.47304545117831,0.9839274718628525,1.0736522725589155,21.264311564828738,,19.678549437257054,21.47304545117831,32.50356546651072,33.773064763994554,0.0,0.0,0.08695652173913043,0.45652173913043476,1.0,0.0
25.0,42,22.000844700051058,17.367071330261233,0.8800337880020425,0.6946828532104493,23.96652223474732,,22.000844700051058,17.367071330261233,34.62168155185807,34.97217721416218,0.0,0.0,0.0,0.6190476190476191,1.0,0.0
30.0,35,27.179503027759743,29.09180513795114,0.9059834342586582,0.9697268379317047,29.895447822454095,,27.179503027759743,29.09180513795114,42.249067251961854,44.57501517141995,0.0,0.0,0.0,0.42857142857142855,1.0,0.0
35.0,47,27.458470294955376,22.233939335658548,0.7845277227130109,0.6352554095902442,33.941592609837855,,27.458470294955376,22.233939335658548,48.90109813983638,64.5350181677859,0.0,0.0,0.3404255319148936,0.48936170212765956,1.0,0.0
40.0,37,29.099814310079747,34.3969253343877,0.7274953577519936,0.8599231333596926,33.94628966678808,,29.099814310079747,34.3969253343877,53.50010942438591,55.091674357407776,0.0,0.13513513513513514,0.24324324324324326,0.43243243243243246,1.0,0.0
45.0,39,38.6120190897315,39.27636498473595,0.8580448686606997,0.87280811077191,43.01444558004385,,38.6120190897315,39.27636498473595,62.546684585305776,64.01104772350308,0.05128205128205128,0.07692307692307693,0.07692307692307693,0.1282051282051282,1.0,0.0
50.0,42,33.06131761110204,27.038616004770894,0.6612263522220407,0.5407723200954179,37.16984022720785,,33.06131761110204,27.038616004770894,56.50598297176753,59.82529272984042,0.0,0.0,0.023809523809523808,0.19047619047619047,1.0,0.0
55.0,20,16.87137979404569,18.222726587488545,0.3067523598917398,0.3313223015907008,17.543554574428267,,16.87137979404569,18.222726587488545,21.41552022849375,22.93511218543215,0.0,0.0,0.1,0.7,1.0,0.0
60.0,13,11.030949386570775,11.253562715906725,0.18384915644284622,0.1875593785984454,11.835630636580238,,11.030949386570775,11.253562715906725,14.000003688075035,16.812368956679588,0.0,0.15384615384615385,0.38461538461538464,0.9230769230769231,1.0,0.0
65.0,19,19.796625951160173,19.97851106685053,0.30456347617169505,0.3073617087207774,21.270189211929463,,19.796625951160173,19.97851106685053,29.98388084190852,30.578458332667136,0.0,0.0,0.15789473684210525,0.5263157894736842,1.0,0.0
70.0,12,34.70332718877316,36.01411084971477,0.49576181698247374,0.5144872978530681,35.298724432624134,,34.70332718877316,36.01411084971477,42.260328643049064,42.60831092051736,0.0,0.0,0.0,0.0,1.0,0.0
75.0,24,36.410599215194814,36.3282356268708,0.48547465620259755,0.48437647502494396,37.094253757382816,,36.410599215194814,36.3282356268708,44.36594525135392,44.446238595264525,0.0,0.0,0.0,0.0,1.0,0.0
