true_distance_m,count,raw_mae,calibrated_mae,mae_improvement_m,raw_mean_relative_error,calibrated_mean_relative_error,raw_within_10m_rate,calibrated_within_10m_rate
4.0,18,15.316518154059517,1.27974524354758,14.036772910511937,3.8291295385148794,0.319936310886895,0.0,1.0
5.0,6,17.32147913843791,6.532308469180978,10.78917066925693,3.464295827687582,1.3064616938361955,0.0,1.0
9.0,26,13.40476682827391,1.7949613663675261,11.609805461906385,1.489418536474879,0.199440151818614,0.0,1.0
10.0,19,9.82668844604492,1.084615440778694,8.742073005266226,0.9826688446044924,0.10846154407786943,0.7368421052631579,1.0
15.0,44,14.319853612267913,1.6216791792460716,12.69817443302184,0.9546569074845276,0.10811194528307143,0.4772727272727273,1.0
20.0,46,19.678549437257054,1.782756532405665,17.89579290485139,0.9839274718628525,0.08913782662028324,0.08695652173913043,1.0
25.0,42,22.000844700051058,3.2764380516197553,18.7244066484313,0.8800337880020425,0.1310575220647902,0.0,1.0
30.0,35,27.179503027759743,2.997743853868498,24.181759173891244,0.9059834342586582,0.09992479512894994,0.0,0.9714285714285714
35.0,47,27.458470294955376,3.518306366225695,23.94016392872968,0.7845277227130109,0.10052303903501988,0.3404255319148936,0.9361702127659575
40.0,37,29.099814310079747,4.3052812897008765,24.79453302037887,0.7274953577519936,0.10763203224252192,0.24324324324324326,1.0
45.0,39,38.6120190897315,4.908172865856353,33.703846223875146,0.8580448686606997,0.10907050813014117,0.07692307692307693,0.8974358974358975
50.0,42,33.06131761110204,4.831097717442835,28.230219893659207,0.6612263522220407,0.09662195434885672,0.023809523809523808,0.8809523809523809
55.0,20,16.87137979404569,2.5758223324902287,14.295557461555461,0.3067523598917398,0.04683313331800416,0.1,1.0
60.0,13,11.030949386570775,6.923216692798847,4.107732693771928,0.18384915644284622,0.11538694487998077,0.38461538461538464,0.8461538461538461
65.0,19,19.796625951160173,4.605327542915246,15.191298408244927,0.30456347617169505,0.07085119296792686,0.15789473684210525,0.8947368421052632
70.0,12,34.70332718877316,2.650591775612039,32.052735413161116,0.49576181698247374,0.0378655967944577,0.0,1.0
75.0,24,36.410599215194814,2.099798135876544,34.31080107931827,0.48547465620259755,0.027997308478353924,0.0,1.0
