drone_type,distance_m,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_2m_rate,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate,mean_true_distance_m,mean_predicted_distance_m
Kongsberg,4.0,18,15.276478643711366,15.282386751853094,3.8191196609278415,3.8205966879632736,15.280558533625173,,15.276478643711366,15.282386751853094,15.727638961530412,15.728160660816977,15.72826774781242,0.0,0.0,0.0,1.0,1.0,0.0,4.0,19.276478643711368
Kongsberg,9.0,26,13.580160900596306,13.914200487543926,1.5089067667329228,1.5460222763937697,13.611720558306448,,13.580160900596306,13.914200487543926,14.484004795944784,14.499448015161311,14.542455876743752,0.0,0.0,0.0,1.0,1.0,0.0,9.0,22.580160900596315
Kongsberg,15.0,16,22.6822164686203,23.203832417886723,1.5121477645746868,1.5469221611924482,22.811137289209565,,22.6822164686203,23.203832417886723,25.44692287346976,25.454980367363827,25.4663894235278,0.0,0.0,0.0,0.25,1.0,0.0,15.0,37.6822164686203
Kongsberg,20.0,25,25.549485981415334,24.180448144652345,1.2774742990707668,1.2090224072326172,25.998520981691644,,25.549485981415334,24.180448144652345,33.779155344338626,34.447505553035704,34.8719324365848,0.0,0.0,0.0,0.0,1.0,0.0,20.0,45.54948598141534
Kongsberg,25.0,16,33.55984950605328,33.698750734241116,1.3423939802421312,1.3479500293696445,33.80775275051048,,33.55984950605328,33.698750734241116,36.99946796297371,38.49097745878396,40.479735587403624,0.0,0.0,0.0,0.0,1.0,0.0,25.0,58.55984950605328
Kongsberg,30.0,19,37.456669268030865,36.953571132116764,1.2485556422676956,1.2317857044038922,37.967866327250334,,37.456669268030865,36.953571132116764,44.11600410094338,45.15206799409589,52.11029970839368,0.0,0.0,0.0,0.0,1.0,0.0,30.0,67.45666926803086
Kongsberg,35.0,21,47.225329834570616,43.08668010104191,1.3492951381305884,1.2310480028869115,48.01814874971805,,47.225329834570616,43.08668010104191,63.74414214174574,63.803217107934216,67.54916355002129,0.0,0.0,0.0,0.0,1.0,0.0,35.0,82.2253298345706
Kongsberg,40.0,21,42.9803100024636,41.600317174854055,1.0745077500615903,1.0400079293713513,44.169501062639604,,42.9803100024636,41.600317174854055,58.073671661885726,58.114013839044404,62.434399997021046,0.0,0.0,0.0,0.0,1.0,0.0,40.0,82.98031000246363
Kongsberg,45.0,20,55.93367833337153,53.98932080329452,1.2429706296304783,1.199762684517656,56.34073704180199,,55.93367833337153,53.98932080329452,64.49471170360049,65.07009893756629,68.64831758205294,0.0,0.0,0.0,0.0,1.0,0.0,45.0,100.93367833337155
Kongsberg,50.0,21,46.80491234489388,48.94732610307389,0.9360982468978774,0.9789465220614778,48.380512342440866,,46.80491234489388,48.94732610307389,60.5762707610005,64.91107607590095,67.78780952643639,0.0,0.0,0.0,0.0,1.0,0.0,50.0,96.80491234489388
Vestfold,5.0,6,17.283817855689637,17.364170056505557,3.456763571137928,3.472834011301111,17.289159247894116,,17.283817855689637,17.364170056505557,17.662111050344393,17.727828564276518,17.79354607820864,0.0,0.0,0.0,1.0,1.0,0.0,5.0,22.283817855689637
Vestfold,10.0,19,9.995856561011598,10.018088266608828,0.9995856561011599,1.001808826660883,10.002819823762792,,9.995856561011598,10.018088266608828,10.375787963867186,10.509748297125196,10.69768130499219,0.0,0.0,0.42105263157894735,1.0,1.0,0.0,10.0,19.995856561011596
Vestfold,15.0,28,9.376450440357065,9.862842869534587,0.6250966960238042,0.6575228579689725,9.521605154273937,,9.376450440357065,9.862842869534587,10.537320138604299,10.855131142780692,11.217065054345507,0.0,0.03571428571428571,0.6785714285714286,1.0,1.0,0.0,15.0,24.376450440357065
Vestfold,20.0,21,11.41182909105358,10.832517276570155,0.5705914545526789,0.5416258638285077,11.576066744737913,,11.41182909105358,10.832517276570155,14.915594381035696,15.236185882398814,15.697786337974584,0.0,0.0,0.23809523809523808,1.0,1.0,0.0,20.0,31.41182909105358
Vestfold,25.0,26,14.313039901176639,14.914285888227834,0.5725215960470654,0.5965714355291134,14.489939696219873,,14.313039901176639,14.914285888227834,17.010616300249854,17.244598469846203,17.348363911292658,0.0,0.0,0.0,1.0,1.0,0.0,25.0,39.313039901176644
Vestfold,30.0,16,14.77559098201401,14.573376961818983,0.492519699400467,0.4857792320606328,15.237089007844224,,14.77559098201401,14.573376961818983,16.13290232610441,19.208346524074273,27.566902841404506,0.0,0.0,0.0,0.9375,1.0,0.0,30.0,44.77559098201401
Vestfold,35.0,26,9.866782099479217,9.02949012893339,0.28190805998512053,0.2579854322552397,10.86913077690465,,9.866782099479217,9.02949012893339,15.913449448182199,21.59836664377608,22.783289047257355,0.0,0.038461538461538464,0.8461538461538461,0.8846153846153846,1.0,0.0,35.0,44.866782099479224
Vestfold,40.0,16,10.348479464001526,5.5415507506652695,0.25871198660003814,0.13853876876663174,12.201147620440251,,10.348479464001526,5.5415507506652695,18.512789410081492,19.0750612879415,19.39419150382551,0.0,0.375,0.5625,1.0,1.0,0.0,40.0,50.34847946400152
Vestfold,45.0,19,20.399466786763018,25.084204815055273,0.4533214841502893,0.557426773667895,22.479304438677364,,20.384988436612264,25.084204815055273,27.41771249050564,29.011487201169928,31.386268279835534,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.2631578947368421,0.9473684210526315,0.05263157894736842,45.0,65.38498843661228
Vestfold,50.0,21,18.456530810553392,20.527282381330224,0.3691306162110678,0.4105456476266045,19.2655282914508,,18.456530810553392,20.527282381330224,24.316716269695945,26.76947470092773,27.00888674960666,0.0,0.0,0.047619047619047616,0.42857142857142855,1.0,0.0,50.0,68.45653081055339
Vestfold,55.0,20,16.700619838028626,18.82179181792803,0.30364763341870227,0.3422143966896005,17.485793217240847,,16.700619838028626,18.82179181792803,22.202629586646676,22.78065474899534,23.457654888673815,0.0,0.05,0.15,0.7,1.0,0.0,55.0,71.70061983802862
Vestfold,60.0,13,10.650687701491174,11.064410475814341,0.17751146169151963,0.18440684126357235,11.61955088184678,,10.650687701491174,11.064410475814341,14.915056724509327,16.677311861576506,19.166589665327123,0.07692307692307693,0.15384615384615385,0.3076923076923077,1.0,1.0,0.0,60.0,70.65068770149118
Vestfold,65.0,19,18.612723584503538,17.404763931824547,0.28634959360774676,0.2677655989511469,20.580820229873158,,18.612723584503538,17.404763931824547,31.670082550912532,32.249965412731996,34.86639264088126,0.0,0.0,0.21052631578947367,0.631578947368421,1.0,0.0,65.0,83.61272358450354
Vestfold,70.0,12,36.75773055713503,39.371132497664064,0.5251104365305004,0.5624447499666295,37.60212132046537,,36.75773055713503,39.371132497664064,46.39981005025908,46.75704490409307,46.8530791508272,0.0,0.0,0.0,0.0,1.0,0.0,70.0,106.757730557135
Vestfold,75.0,24,37.21159032381767,37.64554030160891,0.49615453765090217,0.5019405373547854,37.79807834709223,,37.21159032381767,37.64554030160891,46.88535461383364,48.09714050322697,51.42618109200335,0.0,0.0,0.0,0.0,1.0,0.0,75.0,112.21159032381767
