feature_name,pearson_correlation,count
bbox_area_ratio__jitter_median,-0.6192927357639249,15064
bbox_area_ratio__jitter_std,-0.613299530308528,15064
bbox_aspect_ratio__jitter_median,0.004466897944681488,15064
bbox_aspect_ratio__jitter_std,0.3785477060288336,15064
bbox_center_x_norm__jitter_median,-0.006833552727347716,15064
bbox_center_x_norm__jitter_std,-0.7992458868547068,15064
bbox_center_y_norm__jitter_median,-0.049023847345651704,15064
bbox_center_y_norm__jitter_std,-0.6890895232842179,15064
bbox_expand_1_5x__bbox_mean__object_depth__jitter_median,-0.004064787695720007,15064
bbox_expand_1_5x__bbox_mean__object_depth__jitter_std,-0.2730907428617182,15064
bbox_expand_1_5x__bbox_midpoint__object_depth__jitter_median,-0.5310542955531318,15064
bbox_expand_1_5x__bbox_midpoint__object_depth__jitter_std,-0.20119399870790317,15064
bbox_expand_1_5x__inner50_median__object_depth__jitter_median,-0.37554405765268845,15064
bbox_expand_1_5x__inner50_median__object_depth__jitter_std,-0.3132869868161931,15064
bbox_expand_2x__bbox_mean__object_depth__jitter_median,-0.04806709256177917,15064
bbox_expand_2x__bbox_mean__object_depth__jitter_std,-0.27379668777644817,15064
bbox_expand_2x__bbox_midpoint__object_depth__jitter_median,-0.47242273871676294,15064
bbox_expand_2x__bbox_midpoint__object_depth__jitter_std,-0.15423660832166494,15064
bbox_expand_2x__inner50_median__object_depth__jitter_median,-0.3325772747058047,15064
bbox_expand_2x__inner50_median__object_depth__jitter_std,-0.28607391328457615,15064
bbox_expand_4x__bbox_mean__object_depth__jitter_median,-0.09967427186507209,15064
bbox_expand_4x__bbox_mean__object_depth__jitter_std,-0.2770610869366229,15064
bbox_expand_4x__bbox_midpoint__object_depth__jitter_median,-0.37325135769819173,15064
bbox_expand_4x__bbox_midpoint__object_depth__jitter_std,-0.0882307385716598,15064
bbox_expand_4x__inner50_median__object_depth__jitter_median,-0.2827400271282717,15064
bbox_expand_4x__inner50_median__object_depth__jitter_std,-0.24281467362191123,15064
bbox_height_norm__jitter_median,-0.6957578151190572,15064
bbox_height_norm__jitter_std,-0.6639654011906146,15064
bbox_height_px__jitter_median,-0.6955052126373382,15064
bbox_height_px__jitter_std,-0.6626344567556826,15064
bbox_only__bbox_mean__object_depth__jitter_median,0.08237462541527586,15064
bbox_only__bbox_mean__object_depth__jitter_std,-0.23731219546136675,15064
bbox_only__bbox_midpoint__object_depth__jitter_median,-0.6001328983914759,15064
bbox_only__bbox_midpoint__object_depth__jitter_std,-0.08114317727303395,15064
bbox_only__inner50_median__object_depth__jitter_median,-0.4908834293658533,15064
bbox_only__inner50_median__object_depth__jitter_std,-0.27681830101656185,15064
bbox_width_norm__jitter_median,-0.8003183776176572,15064
bbox_width_norm__jitter_std,-0.726804853508833,15064
bbox_width_px__jitter_median,-0.8014831582430262,15064
bbox_width_px__jitter_std,-0.7282622963401841,15064
