method_id,context_window,aggregation_method,score_field,full_fit_intercept,full_fit_slope
bbox_only__bbox_mean__object_minus_ring_normalized,bbox_only,bbox_mean,object_minus_ring_normalized,77.5,0.0
bbox_only__bbox_midpoint__object_depth,bbox_only,bbox_midpoint,object_depth,152.40201968473895,-27.487779419726458
bbox_only__bbox_midpoint__object_depth_percentile_5_95,bbox_only,bbox_midpoint,object_depth_percentile_5_95,117.3929474843731,-59.302141618200274
bbox_only__bbox_midpoint__object_minus_ring,bbox_only,bbox_midpoint,object_minus_ring,77.5,0.0
bbox_only__bbox_midpoint__object_minus_ring_normalized,bbox_only,bbox_midpoint,object_minus_ring_normalized,77.5,0.0
bbox_only__inner50_median__object_depth,bbox_only,inner50_median,object_depth,140.37386046028854,-27.621183235034717
bbox_only__inner50_median__object_depth_percentile_5_95,bbox_only,inner50_median,object_depth_percentile_5_95,112.48971967671258,-73.12911135248969
bbox_only__inner50_median__object_minus_ring,bbox_only,inner50_median,object_minus_ring,77.5,0.0
bbox_only__inner50_median__object_minus_ring_normalized,bbox_only,inner50_median,object_minus_ring_normalized,77.5,0.0
full_image__bbox_mean__object_depth,full_image,bbox_mean,object_depth,82.72434660640823,-2.7331718526066786
full_image__bbox_mean__object_depth_percentile_5_95,full_image,bbox_mean,object_depth_percentile_5_95,84.25139082474286,-19.502407504274096
full_image__bbox_mean__object_minus_ring,full_image,bbox_mean,object_minus_ring,77.75565345222095,-73.48076977124506
full_image__bbox_mean__object_minus_ring_normalized,full_image,bbox_mean,object_minus_ring_normalized,78.14912613195717,-218.93547035431155
full_image__bbox_midpoint__object_depth,full_image,bbox_midpoint,object_depth,84.27865125064868,-3.506035754187717
full_image__bbox_midpoint__object_depth_percentile_5_95,full_image,bbox_midpoint,object_depth_percentile_5_95,86.68758224951202,-25.949554666589876
full_image__bbox_midpoint__object_minus_ring,full_image,bbox_midpoint,object_minus_ring,78.96910398640512,-57.7404163410223
full_image__bbox_midpoint__object_minus_ring_normalized,full_image,bbox_midpoint,object_minus_ring_normalized,78.65757502839332,-88.5579187038833
full_image__inner50_median__object_depth,full_image,inner50_median,object_depth,83.89058452983885,-3.3154431862301217
full_image__inner50_median__object_depth_percentile_5_95,full_image,inner50_median,object_depth_percentile_5_95,86.04347977379463,-24.258356247772713
full_image__inner50_median__object_minus_ring,full_image,inner50_median,object_minus_ring,78.49186665226078,-50.75982051909449
full_image__inner50_median__object_minus_ring_normalized,full_image,inner50_median,object_minus_ring_normalized,78.40541597211323,-81.15059506423714
