method_id,context_window,aggregation_method,score_field,count,pearson_correlation,spearman_correlation,loocv_mae,loocv_mean_relative_error,loocv_rmse,loocv_r2,full_fit_intercept,full_fit_slope
bbox_expand_1_5x__bbox_mean__object_depth_percentile_5_95,bbox_expand_1_5x,bbox_mean,object_depth_percentile_5_95,96,-0.31211982793951804,-0.30718316493328285,30.953609729637876,0.6279997290169351,37.170984314206464,0.061941448450138714,114.9505201795577,-91.74570351685949
bbox_expand_2x__bbox_mean__object_depth_percentile_5_95,bbox_expand_2x,bbox_mean,object_depth_percentile_5_95,96,-0.35831586203226684,-0.34959762335546796,30.984180082544174,0.627843790467279,36.54105804887776,0.09346607751188418,109.41621114473851,-77.21978044225727
bbox_expand_1_5x__inner50_median__object_depth,bbox_expand_1_5x,inner50_median,object_depth,96,-0.29272558685304856,-0.21146746058150842,30.99227175373326,0.6212508102747235,37.40786566937259,0.049947328585352446,114.4965346888947,-16.18603216677381
bbox_expand_2x__inner50_median__object_minus_ring_normalized,bbox_expand_2x,inner50_median,object_minus_ring_normalized,96,-0.3336756492980272,-0.37534929795286276,31.107655580483037,0.6293694286638075,36.85658782249972,0.07774275581263834,82.178651589761,-25.502138323536855
bbox_expand_4x__inner50_median__object_depth,bbox_expand_4x,inner50_median,object_depth,96,-0.28415513335691983,-0.24108597205327478,31.197181147658753,0.6108056584514733,37.48508550380755,0.046020954866582864,108.03342780514991,-13.657231242175444
bbox_expand_4x__inner50_median__object_minus_ring,bbox_expand_4x,inner50_median,object_minus_ring,96,-0.33001004785751065,-0.3550954629023167,31.47586069674628,0.614421869364445,36.85185514920947,0.0779795906500822,84.59929150270679,-18.959238540573594
bbox_expand_4x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_4x,bbox_midpoint,object_depth_percentile_5_95,96,-0.3286302786470691,-0.30443477062308827,31.542603310623843,0.6247954419318322,37.0305823446295,0.06901452077009129,102.20367348685515,-41.76382951137995
bbox_expand_4x__bbox_mean__object_minus_ring,bbox_expand_4x,bbox_mean,object_minus_ring,96,-0.31111207304670224,-0.3481264013795481,31.55835784500373,0.6166354454748988,37.23604779130822,0.05865464999156522,82.43797449131304,-60.252167055020394
bbox_expand_4x__inner50_median__object_depth_percentile_5_95,bbox_expand_4x,inner50_median,object_depth_percentile_5_95,96,-0.27128072515766,-0.2539387820855767,31.871333849800873,0.6431487880436458,37.722166781297545,0.03391556435007981,97.03015708330922,-35.95425579094703
bbox_expand_4x__bbox_mean__object_depth_percentile_5_95,bbox_expand_4x,bbox_mean,object_depth_percentile_5_95,96,-0.2365038635036024,-0.2618842650352872,31.942149915682165,0.6464287876991012,38.17300043842701,0.010685400301794323,97.0966883097453,-43.54287232138759
bbox_only__bbox_mean__object_depth,bbox_only,bbox_mean,object_depth,96,0.20023560343367994,0.22213883603824777,32.1620341576064,0.6403017709818731,38.46872276750037,-0.004702210826230013,32.046454451008415,21.502186766196505
bbox_expand_1_5x__bbox_mean__object_depth,bbox_expand_1_5x,bbox_mean,object_depth,96,0.15661300499621866,0.1727026415330236,32.43925772319478,0.6563287891315529,38.66702431853957,-0.015087142054108327,50.5850034179516,13.609475589884841
bbox_expand_4x__bbox_mean__object_minus_ring_normalized,bbox_expand_4x,bbox_mean,object_minus_ring_normalized,96,-0.2255812242022453,-0.3460574612399762,32.52258042024348,0.655120821367077,38.38582976206574,-0.00037697981711470874,81.00854149376075,-55.25931289453191
bbox_expand_4x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_4x,bbox_midpoint,object_minus_ring_normalized,96,-0.23958354987149275,-0.35357098069421106,32.61499212770252,0.6508616028172011,38.517029122028184,-0.007227065835700541,82.67603982632096,-13.465971185677859
bbox_expand_4x__inner50_median__object_minus_ring_normalized,bbox_expand_4x,inner50_median,object_minus_ring_normalized,96,-0.18186126310833226,-0.2994518623064615,32.832646021722844,0.6643828536355678,38.860550958065936,-0.025273496417158148,80.78031147340494,-12.099807072389675
bbox_only__bbox_mean__object_minus_ring,bbox_only,bbox_mean,object_minus_ring,96,0.0,0.0,32.8421052631579,0.6677222767062584,38.78258169151816,-0.02116343490304695,77.5,0.0
bbox_only__bbox_mean__object_minus_ring_normalized,bbox_only,bbox_mean,object_minus_ring_normalized,96,0.0,0.0,32.8421052631579,0.6677222767062584,38.78258169151816,-0.02116343490304695,77.5,0.0
bbox_only__bbox_midpoint__object_minus_ring,bbox_only,bbox_midpoint,object_minus_ring,96,0.0,0.0,32.8421052631579,0.6677222767062584,38.78258169151816,-0.02116343490304695,77.5,0.0
bbox_only__bbox_midpoint__object_minus_ring_normalized,bbox_only,bbox_midpoint,object_minus_ring_normalized,96,0.0,0.0,32.8421052631579,0.6677222767062584,38.78258169151816,-0.02116343490304695,77.5,0.0
bbox_only__inner50_median__object_minus_ring,bbox_only,inner50_median,object_minus_ring,96,0.0,0.0,32.8421052631579,0.6677222767062584,38.78258169151816,-0.02116343490304695,77.5,0.0
bbox_only__inner50_median__object_minus_ring_normalized,bbox_only,inner50_median,object_minus_ring_normalized,96,0.0,0.0,32.8421052631579,0.6677222767062584,38.78258169151816,-0.02116343490304695,77.5,0.0
full_image__bbox_midpoint__object_minus_ring,full_image,bbox_midpoint,object_minus_ring,96,-0.24019193763224092,-0.28008815734563525,32.86706471727172,0.6850748765160691,39.48017680975141,-0.05822983486001676,78.96910398640512,-57.7404163410223
bbox_only__bbox_mean__object_depth_percentile_5_95,bbox_only,bbox_mean,object_depth_percentile_5_95,96,0.12904965530827225,0.14417246025227454,32.94950345198024,0.6620587272505779,38.89491709530647,-0.027087689403630044,53.318147836798275,55.69745296140011
bbox_expand_4x__bbox_mean__object_depth,bbox_expand_4x,bbox_mean,object_depth,96,-0.10029867516570375,-0.11041644294734296,33.045398176848884,0.6663233258504321,39.063283229937475,-0.0359989341118967,88.51704683438254,-5.669533450548404
full_image__bbox_mean__object_minus_ring_normalized,full_image,bbox_mean,object_minus_ring_normalized,96,-0.14604524706546507,-0.05074692119870374,33.239650608401995,0.6900559749090399,39.46604940550243,-0.057472626202585975,78.14912613195717,-218.93547035431155
bbox_expand_2x__bbox_mean__object_depth,bbox_expand_2x,bbox_mean,object_depth,96,-0.02192343475764398,-0.004900121383196642,33.28319171608113,0.6774002706953639,39.20569223135837,-0.04356637284752063,80.88831040251065,-1.7420773789092088
full_image__inner50_median__object_minus_ring,full_image,inner50_median,object_minus_ring,96,-0.19926994395299988,-0.23816205292181347,33.39297836888873,0.7028944786981013,40.29398340934286,-0.10230614924519221,78.49186665226078,-50.75982051909449
full_image__bbox_mean__object_depth,full_image,bbox_mean,object_depth,96,-0.09511231816683431,-0.0593499400285269,33.42491816036875,0.6744529332577093,38.90882172385727,-0.02782217229232775,82.72434660640823,-2.7331718526066786
full_image__inner50_median__object_depth,full_image,inner50_median,object_depth,96,-0.11486980431160305,-0.08635688521581988,33.45701309732308,0.6726381746816216,38.81919518600595,-0.02309244575223368,83.89058452983885,-3.3154431862301217
full_image__bbox_midpoint__object_depth,full_image,bbox_midpoint,object_depth,96,-0.12130129425828136,-0.09539549993576069,33.46161680960118,0.6720061321516702,38.78727166855555,-0.021410428395133296,84.27865125064868,-3.506035754187717
full_image__bbox_mean__object_depth_percentile_5_95,full_image,bbox_mean,object_depth_percentile_5_95,96,-0.12080915477846448,-0.07797166433105553,33.4761000329193,0.6733656822263635,38.80921899676239,-0.022566661932896803,84.25139082474286,-19.502407504274096
full_image__bbox_midpoint__object_depth_percentile_5_95,full_image,bbox_midpoint,object_depth_percentile_5_95,96,-0.16424984383910168,-0.1079188817766425,33.48570069065758,0.668194899123443,38.568162995853456,-0.009903160537292344,86.68758224951202,-25.949554666589876
full_image__inner50_median__object_depth_percentile_5_95,full_image,inner50_median,object_depth_percentile_5_95,96,-0.15405211024875085,-0.09702898452370178,33.49148262543026,0.6696752184939484,38.636235818602046,-0.013471265559690693,86.04347977379463,-24.258356247772713
full_image__bbox_mean__object_minus_ring,full_image,bbox_mean,object_minus_ring,96,-0.0908146259488833,-0.04944013352835085,33.91323260357587,0.7142102877839202,40.903525252805785,-0.13590837551813562,77.75565345222095,-73.48076977124506
full_image__bbox_midpoint__object_minus_ring_normalized,full_image,bbox_midpoint,object_minus_ring_normalized,96,-0.2052879058187426,-0.274045193842708,33.96672311906985,0.7384940704150287,43.05065201238697,-0.25829157930974,78.65757502839332,-88.5579187038833
full_image__inner50_median__object_minus_ring_normalized,full_image,inner50_median,object_minus_ring_normalized,96,-0.1830199501804588,-0.2339149929931666,34.95487160373235,0.7830161970522337,47.457685572358166,-0.5290966358482463,78.40541597211323,-81.15059506423714
