method_id,context_window,aggregation_method,score_field,count,pearson_correlation,spearman_correlation,loocv_mae,loocv_median_absolute_error,loocv_mean_relative_error,loocv_median_relative_error,loocv_rmse,loocv_r2,loocv_mean_signed_error,loocv_median_signed_error,loocv_p90_absolute_error,loocv_p95_absolute_error,loocv_max_absolute_error,loocv_within_5m_rate,loocv_within_10m_rate,loocv_within_20m_rate,loocv_overprediction_rate,loocv_underprediction_rate,full_fit_intercept,full_fit_slope,rank,mae_gap_from_winner
bbox_expand_2x__bbox_midpoint__object_depth,bbox_expand_2x,bbox_midpoint,object_depth,480,-0.44207811335396335,-0.41160403503072773,28.403078684617594,24.927909316657377,0.5516979106851833,0.3143319616065696,34.5426069753072,0.18991228515946257,0.0011220951354118825,-0.25847305906145124,58.9762193035201,64.93688605733719,78.2333541731669,0.125,0.2125,0.4125,0.4979166666666667,0.5020833333333333,127.69537312556648,-18.904946423477007,13,2.9413240083508967
bbox_expand_1_5x__bbox_mean__object_minus_ring,bbox_expand_1_5x,bbox_mean,object_minus_ring,480,-0.46497287879974075,-0.5071013316608777,28.529689727194715,27.649400998781637,0.5606024363040396,0.32345848526319027,34.11249927431378,0.20996032357110628,-0.015093287645040239,2.902139411309758,54.447196168201906,62.714254212456154,84.13174746799262,0.09375,0.20625,0.38333333333333336,0.5208333333333334,0.4791666666666667,80.31517814508398,-50.34774444233049,14,3.0679350509280177
bbox_only__inner50_median__object_depth,bbox_only,inner50_median,object_depth,480,-0.4021012048308421,-0.40610094045474565,28.83534767254989,25.408737803201475,0.574428962515405,0.31216868991218594,35.27854636743878,0.15502630802860895,0.011178193787871275,1.4057787068339564,58.7337181367842,68.32979020791075,93.25499053652501,0.09375,0.20625,0.41875,0.5208333333333334,0.4791666666666667,145.7035063157983,-30.05945000366778,15,3.373592996283193
bbox_expand_2x__bbox_midpoint__object_depth_percentile_5_95,bbox_expand_2x,bbox_midpoint,object_depth_percentile_5_95,480,-0.43608861982309655,-0.43323889148088734,28.863224363097153,28.27128108647304,0.5804006147573093,0.3053295076281549,34.68526107455818,0.1832074664937411,0.0011000026118400303,0.3337610044692596,54.77319895798159,64.94533317874706,93.12438327031026,0.08333333333333333,0.18333333333333332,0.39375,0.5145833333333333,0.48541666666666666,112.10114340523319,-51.76880936227577,16,3.401469686830456
bbox_expand_2x__inner50_median__object_depth_percentile_5_95,bbox_expand_2x,inner50_median,object_depth_percentile_5_95,480,-0.42118984703817813,-0.4069320562316664,29.160545976897115,27.467408741091567,0.5873271776286344,0.32034130721194726,34.95001572534172,0.17069062571883442,-0.000938082283367218,1.5944118368468203,55.58326283173525,64.77703176330907,89.03128401932887,0.09791666666666667,0.18958333333333333,0.3625,0.5083333333333333,0.49166666666666664,108.55113547352543,-55.826890420425514,17,3.6987913006304183
bbox_expand_2x__bbox_mean__object_minus_ring_normalized,bbox_expand_2x,bbox_mean,object_minus_ring_normalized,480,-0.42623670187439544,-0.44143657641410916,29.184368507698846,27.348794634223495,0.5841952218656625,0.3239324977759791,34.86246718367028,0.17484020268232814,-0.0064882384570523755,0.9099583347368991,55.3873739255594,63.238786736936206,97.2194390233742,0.09166666666666666,0.18958333333333333,0.36666666666666664,0.5125,0.4875,78.59990109646587,-87.81332350022373,18,3.722613831432149
bbox_expand_2x__bbox_mean__object_depth_percentile_5_95,bbox_expand_2x,bbox_mean,object_depth_percentile_5_95,480,-0.4046389021513642,-0.38879896720338913,29.330387134227355,27.392253729911943,0.5943188691855534,0.3211755544025802,35.239673865007575,0.1568873907018289,-0.00240548254594349,1.1019030018552982,56.49553683807252,63.16232352287751,88.85343681510398,0.09166666666666666,0.19166666666666668,0.36666666666666664,0.50625,0.49375,117.42557625620422,-92.77227967502998,19,3.8686324579606577
bbox_expand_2x__inner50_median__object_minus_ring,bbox_expand_2x,inner50_median,object_minus_ring,480,-0.3859952433143831,-0.4253214490660686,29.76196361393869,28.267281098998026,0.5892644618868623,0.32007969772311395,35.53839433278811,0.14253297533052633,-0.021137735284586748,0.17061654129589954,60.5418137735211,65.09494124827538,78.97051566794443,0.10208333333333333,0.18541666666666667,0.38125,0.5,0.5,84.65264521664918,-17.7782662456303,20,4.300208937671993
bbox_expand_2x__bbox_midpoint__object_minus_ring_normalized,bbox_expand_2x,bbox_midpoint,object_minus_ring_normalized,480,-0.3983929663107506,-0.4331220359940414,29.90974796241282,28.59845825724114,0.6042626934114497,0.3247680001901433,35.345837804195604,0.15179977363699937,-0.02698424831460405,-0.15163947405207523,57.4473719598378,63.20942400453245,87.02867646203023,0.07916666666666666,0.17083333333333334,0.36666666666666664,0.5,0.5,87.1157714457606,-23.51782407259729,21,4.447993286146122
bbox_expand_4x__bbox_midpoint__object_minus_ring,bbox_expand_4x,bbox_midpoint,object_minus_ring,480,-0.371548214600395,-0.3633000320619743,29.915535858226985,27.64013803491539,0.5871582079473062,0.3188384216239637,35.764503964578275,0.13158716118879665,-0.010093245681319255,0.3581247343752487,61.42145186337195,64.97149473670883,81.23675123037174,0.10833333333333334,0.1875,0.36875,0.50625,0.49375,87.82574977865232,-18.004491496545803,22,4.453781181960288
bbox_expand_2x__bbox_mean__object_minus_ring,bbox_expand_2x,bbox_mean,object_minus_ring,480,-0.389834932549363,-0.4635360748321709,29.963695076566328,29.183002441301028,0.5985604502956777,0.3335761996834191,35.49505512923582,0.14462306854144924,-0.025542546728030403,1.6622128158437164,57.95595298001616,65.2477203391713,83.5316157920756,0.07708333333333334,0.16875,0.36875,0.5104166666666666,0.4895833333333333,81.35984215922772,-44.80287139989886,23,4.501940400299631
bbox_expand_4x__bbox_midpoint__object_depth,bbox_expand_4x,bbox_midpoint,object_depth,480,-0.3449130795819693,-0.3106166795272466,29.983028566329402,26.700121796786778,0.5879925609358829,0.3329495793301207,36.14828592537444,0.11284962352976047,0.009611029336408212,1.8588134436895984,61.13138123655435,67.19978573543177,87.68048423600682,0.10208333333333333,0.18541666666666667,0.3729166666666667,0.51875,0.48125,114.18114166715814,-14.726114917044686,24,4.521273890062705
bbox_expand_2x__inner50_median__object_minus_ring_normalized,bbox_expand_2x,inner50_median,object_minus_ring_normalized,480,-0.3736966331068421,-0.3976513604265314,30.128173589276617,29.207959033658504,0.6091110287739968,0.3312876489370082,35.75509539901919,0.13204400769926106,-0.028315380886774242,1.2471763397909932,58.97022035467155,65.09933420921634,77.9697725189008,0.08333333333333333,0.17916666666666667,0.3729166666666667,0.5208333333333334,0.4791666666666667,83.46443429529683,-31.983479376116907,25,4.66641891300992
