distance_m,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_2m_rate,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate,mean_true_distance_m,mean_predicted_distance_m
10.0,19,10.183585682687147,10.06764616563585,1.0183585682687146,1.006764616563585,10.18847104953625,,10.183585682687147,10.06764616563585,10.650877406141493,10.806658519490561,10.947561440022788,0.0,0.0,0.3157894736842105,1.0,1.0,0.0,10.0,20.183585682687152
15.0,44,15.11847199044112,11.275158379755574,1.0078981326960748,0.7516772253170383,16.408817546801338,,15.11847199044112,11.275158379755574,25.394439271179127,26.607239910501903,28.73335974276104,0.0,0.0,0.25,0.6818181818181818,1.0,0.0,15.0,30.118471990441126
20.0,46,20.211780711095326,21.896926606837894,1.0105890355547664,1.0948463303418947,22.16183486733354,,20.211780711095326,21.896926606837894,32.526546629855396,34.96532097735658,38.49265795313829,0.0,0.0,0.0,0.45652173913043476,1.0,0.0,20.0,40.21178071109532
25.0,42,22.067252970565303,17.33187312082765,0.8826901188226121,0.693274924833106,24.29702426303862,,22.067252970565303,17.33187312082765,36.49617541784564,38.53092053867562,42.2174601139005,0.0,0.0,0.047619047619047616,0.6190476190476191,1.0,0.0,25.0,47.067252970565306
30.0,35,29.14814898651788,30.328598050716565,0.9716049662172629,1.0109532683572189,31.79899094548421,,29.14814898651788,30.328598050716565,44.12391806286686,47.396383368010255,60.87666079422513,0.0,0.0,0.0,0.2857142857142857,1.0,0.0,30.0,59.14814898651788
35.0,47,30.50373531070036,21.212195173120236,0.8715352945914389,0.6060627192320067,36.77805495506335,,30.50373531070036,21.212195173120236,56.54090749190342,68.23083717034862,70.9320843327598,0.0,0.02127659574468085,0.14893617021276595,0.46808510638297873,1.0,0.0,35.0,65.50373531070038
4.0,18,15.880142480662515,15.878696607801652,3.970035620165629,3.969674151950413,15.881613891099276,,15.880142480662515,15.878696607801652,16.16517728875054,16.19114500939263,16.269115612114803,0.0,0.0,0.0,1.0,1.0,0.0,4.0,19.880142480662514
40.0,37,33.346151036908886,36.14496712976742,0.8336537759227223,0.9036241782441856,38.00587090738374,,33.346151036908886,36.14496712976742,59.371143753493584,63.92629777498227,66.17487612734004,0.0,0.0,0.08108108108108109,0.32432432432432434,1.0,0.0,40.0,73.34615103690889
45.0,39,42.58361547587322,48.824389019301165,0.9463025661305162,1.084986422651137,46.41768402965797,,42.58361547587322,48.824389019301165,63.59779174520959,64.54028365895122,69.13251734798695,0.0,0.0,0.05128205128205128,0.10256410256410256,1.0,0.0,45.0,87.58361547587324
5.0,6,17.007832908234775,16.84638793640137,3.401566581646955,3.3692775872802736,17.013737363820777,,17.007832908234775,16.84638793640137,17.45031495429145,17.72498031955295,17.999645684814453,0.0,0.0,0.0,1.0,1.0,0.0,5.0,22.007832908234775
50.0,42,36.60799483148602,31.593691037055947,0.7321598966297205,0.631873820741119,40.10143010377494,,36.60799483148602,31.593691037055947,58.18915195176759,62.82331734894046,65.40868819332806,0.0,0.0,0.0,0.16666666666666666,1.0,0.0,50.0,86.60799483148604
55.0,20,20.765239065365044,22.2335933217511,0.3775498011884554,0.40424715130456546,21.494030417870995,,20.765239065365044,22.2335933217511,25.884172076470584,26.532497384368476,35.12505789930556,0.0,0.0,0.05,0.45,1.0,0.0,55.0,75.76523906536505
60.0,13,13.577545916790392,14.062446973259071,0.22629243194650653,0.23437411622098453,14.510025073541097,,13.577545916790392,14.062446973259071,16.243298739466617,20.813340040410452,27.577119187238708,0.0,0.0,0.23076923076923078,0.9230769230769231,1.0,0.0,60.0,73.5775459167904
65.0,19,24.71726412352881,28.99168266201123,0.3802656019004431,0.44602588710786506,26.932365756789782,,24.71726412352881,28.99168266201123,36.603372374747764,37.6711464714925,39.53578171274654,0.0,0.0,0.10526315789473684,0.3157894736842105,1.0,0.0,65.0,89.7172641235288
70.0,12,38.05891592809815,39.788263819122065,0.5436987989728308,0.5684037688446009,38.76321115003497,,38.05891592809815,39.788263819122065,45.41434990209577,45.53002445189032,45.63060628090443,0.0,0.0,0.0,0.0,1.0,0.0,70.0,108.05891592809814
75.0,24,37.35310192664089,36.721283929963505,0.49804135902187846,0.4896171190661801,37.670531861843614,,37.35310192664089,36.721283929963505,43.79127621075768,44.370872299406756,47.311339969808955,0.0,0.0,0.0,0.0,1.0,0.0,75.0,112.35310192664089
9.0,26,13.960119295652309,13.857030184742761,1.5511243661835898,1.5396700205269735,13.975708613041895,,13.960119295652309,13.857030184742761,14.818315493725974,14.937115100582062,15.071133042592855,0.0,0.0,0.0,1.0,1.0,0.0,9.0,22.96011929565231
