model,num_runs,mean_calibration_count,mean_test_count,mae_mean,mae_std,mae_median,median_absolute_error_mean,median_absolute_error_std,median_absolute_error_median,mean_relative_error_mean,mean_relative_error_std,mean_relative_error_median,median_relative_error_mean,median_relative_error_std,median_relative_error_median,rmse_mean,rmse_std,rmse_median,mean_signed_error_mean,mean_signed_error_std,mean_signed_error_median,within_5m_rate_mean,within_5m_rate_std,within_5m_rate_median,within_10m_rate_mean,within_10m_rate_std,within_10m_rate_median,within_20m_rate_mean,within_20m_rate_std,within_20m_rate_median
global_affine,100,97.0,392.0,7.714353203721969,0.06631032612462183,7.708259452390853,7.059610316642777,0.36615211681906995,7.091540058498058,0.2981499994728281,0.006032427830864349,0.29858604520001586,0.20948888551820916,0.004870928334398551,0.20951866434932992,9.463758613840202,0.1214689351404982,9.464690678878458,0.15909651210672626,0.42018962742080196,0.11043246360797461,0.3836224489795918,0.009509388377035058,0.3826530612244898,0.7008673469387753,0.010540500222456641,0.701530612244898,0.9673469387755101,0.004972854257555599,0.9668367346938775
global_scale_only,100,97.0,392.0,7.728721710109244,0.0765236829014467,7.726679121463288,7.32280338928805,0.0953616603879529,7.321027310012422,0.30441430731446467,0.005036426245975158,0.30510049411469553,0.20855080776486407,0.004376394702940889,0.20850483895838853,9.454808650053307,0.11640468436410091,9.463864160746855,0.2519723126585158,0.49135036968531104,0.2510865981913796,0.38132653061224486,0.0066764644093696285,0.38010204081632654,0.6987755102040815,0.009405484589226866,0.6989795918367347,0.9681887755102039,0.0040569245773416935,0.9668367346938775
per_drone_affine,100,97.0,392.0,3.4065183865277593,0.06980969858725684,3.4025830996864306,2.5467229913650598,0.14229971331943225,2.567899119225756,0.1425734478275235,0.004556594978479192,0.14223078675486697,0.08739896094250614,0.005343671512569271,0.08723602205344702,4.645326656193222,0.0868183753213714,4.63717514909064,0.07527574263616221,0.41390854055599013,0.024002571860098538,0.774311224489796,0.012326761849094765,0.7755102040816326,0.9443367346938775,0.006820151987763417,0.9438775510204082,1.0,0.0,1.0
raw_uncalibrated,100,97.0,392.0,26.158570909145645,0.1428255902137604,26.143972816295815,21.993020763873925,0.27196275214512117,22.036594096331406,0.9994559935262469,0.003880031760286364,0.9991938701695868,0.7329244312405463,0.007493465091041291,0.7339558860779429,30.53417799974535,0.19470902104171617,30.557002719483638,26.158570909145645,0.1428255902137604,26.143972816295815,0.0019642857142857144,0.0010735523169643272,0.002551020408163265,0.07461734693877553,0.005685685991842518,0.07397959183673469,0.4651275510204082,0.005682022165131702,0.4642857142857143
