seed,calibration_fraction,calibration_count,test_count,model,global_intercept,global_slope,global_scale,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,mean_signed_error,within_5m_rate,within_10m_rate,within_20m_rate
0,0.2,97,392,raw_uncalibrated,-0.8922873129158827,0.5842654347209032,0.572411131804906,26.08940626459713,22.036594096331406,0.99706185687161,0.7101909060664733,30.503534076476363,26.08940626459713,0.002551020408163265,0.08418367346938775,0.4642857142857143
0,0.2,97,392,global_affine,-0.8922873129158827,0.5842654347209032,0.572411131804906,7.727050810317307,6.854215989693827,0.2930703171323157,0.214147673022587,9.484751302691878,-0.05138217443235374,0.3852040816326531,0.701530612244898,0.9642857142857143
0,0.2,97,392,global_scale_only,-0.8922873129158827,0.5842654347209032,0.572411131804906,7.752308092668006,7.4334853149777045,0.30399461715272785,0.21245218972176239,9.479603286073184,0.12096649127743357,0.37244897959183676,0.7040816326530612,0.9642857142857143
0,0.2,97,392,per_drone_affine,-0.8922873129158827,0.5842654347209032,0.572411131804906,3.3633085409218593,2.3021391659627994,0.13644410771960502,0.08227274582072602,4.675850230620252,-0.15526956669021597,0.7729591836734694,0.9336734693877551,1.0
1,0.2,97,392,raw_uncalibrated,0.03778108666202142,0.5684249556107607,0.5689219273566708,26.074808768231833,21.88531260566581,0.9992388236613996,0.7279292896286175,30.40182462031217,26.074808768231833,0.002551020408163265,0.06887755102040816,0.46683673469387754
1,0.2,97,392,global_affine,0.03778108666202142,0.5684249556107607,0.5689219273566708,7.7386731495417616,7.316871596753492,0.30206135999592737,0.206005215583739,9.455102642871072,-0.09163950589537163,0.375,0.7040816326530612,0.9668367346938775
1,0.2,97,392,global_scale_only,0.03778108666202142,0.5684249556107607,0.5689219273566708,7.737377480242089,7.303926249257428,0.3015825866370866,0.20610332482328875,9.454795402317632,-0.09924562812197242,0.38010204081632654,0.7040816326530612,0.9668367346938775
1,0.2,97,392,per_drone_affine,0.03778108666202142,0.5684249556107607,0.5689219273566708,3.42295247867295,2.728900731484199,0.1464419161316634,0.08747926481065654,4.66095253635801,-0.16235482206547205,0.7857142857142857,0.9387755102040817,1.0
2,0.2,97,392,raw_uncalibrated,-0.8214052160737505,0.585200024727954,0.5742665576897509,26.14341824133262,21.570965036033613,1.0005222225583459,0.7372221727871737,30.55726436820365,26.14341824133262,0.002551020408163265,0.07142857142857142,0.46938775510204084
2,0.2,97,392,global_affine,-0.8214052160737505,0.585200024727954,0.5742665576897509,7.749349306521174,6.967903446317353,0.29619848662226356,0.21189373070162767,9.504801148279599,0.10786749901717195,0.39540816326530615,0.6964285714285714,0.9693877551020408
