dataset,dataset_group,distance_m,bbox_width_norm,bbox_area_ratio,bbox_height_norm
Original,Original,20.0,0.04883382,0.00104425,0.02138365
Original,Original,20.0,0.04300292,0.00135229,0.03144654
Original,Original,20.0,0.04992711,0.00292027,0.05849057
Original,Original,20.0,0.04300292,0.00283982,0.06603774
Original,Original,20.0,0.04409621,0.00235734,0.05345912
Original,Original,20.0,0.04300292,0.00275868,0.06415094
Original,Original,20.0,0.04883382,0.00337844,0.06918239
Original,Original,20.0,0.04190962,0.00311027,0.07421384
Original,Original,20.0,0.04555394,0.00320883,0.07044025
Original,Original,20.0,0.05721574,0.00100757,0.01761006
Original,Original,20.0,0.04482507,0.00098672,0.02201258
Original,Original,20.0,0.04081633,0.00143756,0.03522013
Original,Original,20.0,0.03753644,0.00252604,0.0672956
Original,Original,20.0,0.03862974,0.00143343,0.03710692
Original,Original,20.0,0.04919825,0.00287763,0.05849057
Original,Original,20.0,0.04081633,0.00133487,0.0327044
Original,Original,20.0,0.04373178,0.00280543,0.06415094
Original,Original,20.0,0.03571429,0.00096586,0.02704403
Original,Original,20.0,0.03024781,0.00129362,0.0427673
Original,Original,20.0,0.04118076,0.00220149,0.05345912
Original,Original,20.0,0.04409621,0.0007488,0.01698113
Original,Original,20.0,0.05393586,0.0010855,0.02012579
Original,Original,20.0,0.04118076,0.00222739,0.05408805
Original,Original,20.0,0.0393586,0.00163375,0.04150943
Original,Original,20.0,0.03862974,0.00216229,0.05597484
Original,Original,20.0,0.04008746,0.00279856,0.06981132
Original,Original,20.0,0.04774052,0.00198168,0.04150943
Original,Original,20.0,0.04154519,0.0028742,0.06918239
Original,Original,20.0,0.04227405,0.00297779,0.07044025
Original,Original,20.0,0.04664723,0.00105616,0.02264151
Original,Original,20.0,0.03644315,0.0020399,0.05597484
Original,Original,20.0,0.04336735,0.00234566,0.05408805
Original,Original,20.0,0.04227405,0.00289803,0.06855346
Original,Original,20.0,0.03753644,0.00087349,0.02327044
Original,Original,20.0,0.04008746,0.00078158,0.01949686
Original,Original,20.0,0.03972303,0.00169885,0.0427673
Original,Original,20.0,0.03571429,0.00161725,0.04528302
Original,Original,20.0,0.0451895,0.00181895,0.04025157
Original,Original,20.0,0.03899417,0.00066217,0.01698113
Original,Original,20.0,0.03862974,0.00058309,0.01509434
Original,Original,20.0,0.0404519,0.00287488,0.07106918
Original,Original,20.0,0.04263848,0.00134083,0.03144654
Original,Original,20.0,0.04008746,0.0026725,0.06666667
Original,Original,20.0,0.03899417,0.00068669,0.01761006
Original,Original,20.0,0.04081633,0.00094981,0.02327044
Original,Original,20.0,0.03534985,0.00148959,0.04213836
Original,Original,20.0,0.04190962,0.00218773,0.05220126
Original,Original,20.0,0.04008746,0.00121019,0.03018868
Original,Original,20.0,0.04373178,0.00308048,0.07044025
Original,Original,20.0,0.0393586,0.00143572,0.03647799
Original,Original,20.0,0.03206997,0.00137155,0.0427673
Original,Original,20.0,0.0451895,0.00292737,0.06477987
Original,Original,20.0,0.03680758,0.00236124,0.06415094
Original,Original,20.0,0.03790087,0.00200231,0.05283019
Original,Original,20.0,0.03316327,0.00162688,0.0490566
Original,Original,20.0,0.04373178,0.00214533,0.0490566
Original,Original,20.0,0.04227405,0.00218017,0.05157233
Original,Original,20.0,0.03753644,0.00254965,0.06792453
Original,Original,20.0,0.04190962,0.00311027,0.07421384
Original,Original,20.0,0.04883382,0.00230348,0.04716981
Original,Original,20.0,0.03571429,0.00163971,0.04591195
Original,Original,20.0,0.03462099,0.00117581,0.03396226
Original,Original,20.0,0.04227405,0.00143572,0.03396226
Original,Original,20.0,0.03607872,0.00163375,0.04528302
Original,Original,20.0,0.04591837,0.00271467,0.0591195
Original,Original,20.0,0.03534985,0.00055582,0.01572327
Original,Original,20.0,0.05065598,0.00375937,0.07421384
Original,Original,20.0,0.03425656,0.00146506,0.0427673
Original,Original,20.0,0.04446064,0.00111851,0.02515723
Original,Original,20.0,0.03425656,0.00107725,0.03144654
Original,Original,20.0,0.04774052,0.00156133,0.0327044
Original,Original,20.0,0.04263848,0.0017699,0.04150943
Original,Original,20.0,0.04154519,0.00138484,0.03333333
Original,Original,20.0,0.04701166,0.00156706,0.03333333
Original,Original,20.0,0.03972303,0.00257325,0.06477987
Original,Original,20.0,0.03753644,0.00195945,0.05220126
Original,Original,20.0,0.04846939,0.00167661,0.03459119
Original,Original,20.0,0.03753644,0.00092071,0.0245283
Original,Original,20.0,0.04373178,0.00104516,0.02389937
Original,Original,20.0,0.04300292,0.00313732,0.07295597
Original,Original,20.0,0.05102041,0.00231036,0.04528302
Original,Original,20.0,0.03790087,0.00076278,0.02012579
Original,Original,20.0,0.04263848,0.00265485,0.06226415
Original,Original,20.0,0.04154519,0.00151548,0.03647799
Original,Original,20.0,0.04701166,0.00289757,0.06163522
