drone_type,distance_m,count,mae,median_absolute_error,mean_relative_error,median_relative_error,rmse,r2,mean_signed_error,median_signed_error,p90_absolute_error,p95_absolute_error,max_absolute_error,within_2m_rate,within_5m_rate,within_10m_rate,within_20m_rate,overprediction_rate,underprediction_rate,mean_true_distance_m,mean_predicted_distance_m
Kongsberg,15.0,16,23.08479647459155,22.549989325922468,1.5389864316394366,1.5033326217281644,23.302441272977905,,23.08479647459155,22.549989325922468,27.57193929020312,28.448823497808547,28.73335974276104,0.0,0.0,0.0,0.125,1.0,0.0,15.0,38.08479647459155
Kongsberg,20.0,25,27.819574311318103,26.862721992355432,1.3909787155659052,1.3431360996177717,28.24678790816144,,27.819574311318103,26.862721992355432,34.80927505773575,36.05283714436828,38.49265795313829,0.0,0.0,0.0,0.0,1.0,0.0,20.0,47.8195743113181
Kongsberg,25.0,16,34.33401614651328,33.95293707496427,1.3733606458605312,1.3581174829985707,34.56676325998506,,34.33401614651328,33.95293707496427,39.42359024231756,40.778886963393596,42.2174601139005,0.0,0.0,0.0,0.0,1.0,0.0,25.0,59.33401614651328
Kongsberg,30.0,19,38.82902866532609,38.075447428534474,1.2943009555108695,1.269181580951149,39.708388447424014,,38.82902866532609,38.075447428534474,46.58537445672231,53.85376725174591,60.87666079422513,0.0,0.0,0.0,0.0,1.0,0.0,30.0,68.82902866532609
Kongsberg,35.0,21,51.86060007506207,48.49794917519961,1.481731430716059,1.3856556907199888,52.696604450886205,,51.86060007506207,48.49794917519961,68.28018924236969,68.60858821326579,70.9320843327598,0.0,0.0,0.0,0.0,1.0,0.0,35.0,86.86060007506205
Kongsberg,4.0,18,15.880142480662515,15.878696607801652,3.970035620165629,3.969674151950413,15.881613891099276,,15.880142480662515,15.878696607801652,16.16517728875054,16.19114500939263,16.269115612114803,0.0,0.0,0.0,1.0,1.0,0.0,4.0,19.880142480662514
Kongsberg,40.0,21,46.85535503563852,47.311037021414975,1.171383875890963,1.1827759255353745,48.26504694208243,,46.85535503563852,47.311037021414975,63.59257149475566,65.26120289588872,66.17487612734004,0.0,0.0,0.0,0.0,1.0,0.0,40.0,86.85535503563854
Kongsberg,45.0,20,59.32631916354293,60.567796966873765,1.318362648078732,1.3459510437083058,59.555192142074674,,59.32631916354293,60.567796966873765,64.54028365895122,66.4773491575484,69.13251734798695,0.0,0.0,0.0,0.0,1.0,0.0,45.0,104.32631916354293
Kongsberg,50.0,21,51.375048762976576,54.03997563750869,1.0275009752595317,1.0807995127501737,52.15595546714858,,51.375048762976576,54.03997563750869,62.97295672329696,63.5163026386564,65.40868819332806,0.0,0.0,0.0,0.0,1.0,0.0,50.0,101.37504876297659
Kongsberg,9.0,26,13.960119295652309,13.857030184742761,1.5511243661835898,1.5396700205269735,13.975708613041895,,13.960119295652309,13.857030184742761,14.818315493725974,14.937115100582062,15.071133042592855,0.0,0.0,0.0,1.0,1.0,0.0,9.0,22.96011929565231
Vestfold,10.0,19,10.183585682687147,10.06764616563585,1.0183585682687146,1.006764616563585,10.18847104953625,,10.183585682687147,10.06764616563585,10.650877406141493,10.806658519490561,10.947561440022788,0.0,0.0,0.3157894736842105,1.0,1.0,0.0,10.0,20.183585682687152
Vestfold,15.0,28,10.566286570926591,10.429592887192177,0.7044191047284392,0.6953061924794784,10.621589529982472,,10.566286570926591,10.429592887192177,12.14659300112447,12.198234992935747,13.171694374593102,0.0,0.0,0.39285714285714285,1.0,1.0,0.0,15.0,25.56628657092659
Vestfold,20.0,21,11.154883567972977,10.730116796422891,0.557744178398649,0.5365058398211445,11.224405504214387,,11.154883567972977,10.730116796422891,13.193576013248183,13.852741845121848,14.723036025438319,0.0,0.0,0.0,1.0,1.0,0.0,20.0,31.154883567972973
Vestfold,25.0,26,14.518475631520392,14.789488811756549,0.5807390252608158,0.591579552470262,14.776187107426,,14.518475631520392,14.789488811756549,18.05629396268653,18.72224150581158,19.37326126844618,0.0,0.0,0.07692307692307693,1.0,1.0,0.0,25.0,39.518475631520396
Vestfold,30.0,16,17.652104367933134,15.291468100217791,0.5884034789311046,0.5097156033405931,18.426861730137556,,17.652104367933134,15.291468100217791,23.626229343406585,26.35425574095521,31.95914679247469,0.0,0.0,0.0,0.625,1.0,0.0,30.0,47.652104367933134
Vestfold,35.0,26,13.253959924100535,11.353232166883682,0.37868456926001526,0.32437806191096236,14.22053742538161,,13.253959924100535,11.353232166883682,20.94688517915211,23.126912589140037,27.169713398580576,0.0,0.038461538461538464,0.2692307692307692,0.8461538461538461,1.0,0.0,35.0,48.25395992410053
Vestfold,40.0,16,15.615320788576252,16.96675446326691,0.39038301971440625,0.4241688615816727,16.816473292787794,,15.615320788576252,16.96675446326691,23.701723305458376,25.59188598658513,26.997691181425566,0.0,0.0,0.1875,0.75,1.0,0.0,40.0,55.61532078857625
Vestfold,45.0,19,24.959716857273538,27.795318364929514,0.5546603746060786,0.6176737414428781,26.250850627642073,,24.959716857273538,27.795318364929514,31.829171115465407,33.44115752044102,37.197123887744795,0.0,0.0,0.10526315789473684,0.21052631578947367,1.0,0.0,45.0,69.95971685727355
Vestfold,5.0,6,17.007832908234775,16.84638793640137,3.401566581646955,3.3692775872802736,17.013737363820777,,17.007832908234775,16.84638793640137,17.45031495429145,17.72498031955295,17.999645684814453,0.0,0.0,0.0,1.0,1.0,0.0,5.0,22.007832908234775
