nearest_training_distance_gap_bin,count,mae,median_absolute_error,mean_relative_error,median_relative_error,mean_signed_error,median_signed_error,within_5m_rate,within_10m_rate,within_20m_rate
exact_seen_training_distance,185,28.94316533287571,25.58888224245105,0.8192181731010323,0.6783352185583371,28.94316533287571,25.58888224245105,0.0,0.032432432432432434,0.33513513513513515
more_than_10m_from_training_distance,50,15.01705327576588,15.01872879876031,2.6439854834727274,1.668747644306701,15.01705327576588,15.01872879876031,0.0,0.0,1.0
within_10m_of_training_distance,19,10.183585682687147,10.06764616563585,1.0183585682687146,1.006764616563585,10.183585682687147,10.06764616563585,0.0,0.3157894736842105,1.0
within_5m_of_training_distance,235,27.522898729356825,23.95841406513516,0.7915638162998612,0.6308178662641194,27.522898729356825,23.95841406513516,0.00425531914893617,0.10638297872340426,0.4127659574468085
