variant_name,variant_label,raw_depth_feature_name,selected_candidate_name,cv_oof_mae,test_mae,cv_oof_delta_vs_baseline,test_mae_delta_vs_baseline,cv_oof_pct_delta_vs_baseline,test_pct_delta_vs_baseline
inner50_median,Baseline inner50 median,bbox_only__inner50_median__object_depth,rf_unbounded,7.790667911669,7.712389563594,0.0,0.0,0.0,0.0
bbox_midpoint,Comparison bbox midpoint,bbox_only__bbox_midpoint__object_depth,rf_deep,7.971709570696,7.948575424682,0.181041659027,0.236185861088,2.323827187599,3.062421304583
