model_name,model_family,term,importance_type,importance_value
study06_small_rf,random_forest,bbox_only__bbox_midpoint__object_depth,feature_importance,0.16616399223274778
study06_small_rf,random_forest,bbox_expand_1_5x__bbox_midpoint__object_depth,feature_importance,0.11793289768592492
study06_small_rf,random_forest,bbox_only__inner50_median__object_depth,feature_importance,0.11793981135106635
study06_small_rf,random_forest,bbox_expand_2x__bbox_midpoint__object_depth,feature_importance,0.08258587340166756
study06_small_rf,random_forest,bbox_expand_1_5x__inner50_median__object_depth,feature_importance,0.062233197101002516
study06_small_rf,random_forest,bbox_expand_4x__bbox_midpoint__object_depth,feature_importance,0.053947350665487705
study06_small_rf,random_forest,bbox_expand_2x__inner50_median__object_depth,feature_importance,0.04671310549655598
study06_small_rf,random_forest,bbox_expand_4x__inner50_median__object_depth,feature_importance,0.041253726127085444
study06_small_rf,random_forest,bbox_only__bbox_mean__object_depth,feature_importance,0.054920017063874144
study06_small_rf,random_forest,bbox_expand_4x__bbox_mean__object_depth,feature_importance,0.041229444322528536
study06_small_rf,random_forest,bbox_expand_2x__bbox_mean__object_depth,feature_importance,0.04464286066171954
study06_small_rf,random_forest,full_image__bbox_midpoint__object_depth,feature_importance,0.038093925200292984
study06_small_rf,random_forest,full_image__inner50_median__object_depth,feature_importance,0.038303195995905336
study06_small_rf,random_forest,bbox_expand_1_5x__bbox_mean__object_depth,feature_importance,0.05009476402612289
study06_small_rf,random_forest,full_image__bbox_mean__object_depth,feature_importance,0.04394583866801818
