model_name,candidate_name,num_features,feature_names,oof_mae,oof_mean_relative_error,oof_rmse,oof_r2,oof_mean_signed_error,num_folds,mean_count,mean_mae,mean_median_absolute_error,mean_mean_relative_error,mean_median_relative_error,mean_rmse,mean_r2,mean_mean_signed_error,mean_median_signed_error,mean_p90_absolute_error,mean_p95_absolute_error,mean_max_absolute_error,mean_within_5m_rate,mean_within_10m_rate,mean_within_20m_rate,mean_overprediction_rate,mean_underprediction_rate,param_n_estimators,param_max_depth,param_min_samples_leaf,param_max_features,param_random_state
raw_depth_only_rf,rf_shallow,1,relative_depth,30.750444908558187,0.5771949348747127,36.73102261519219,0.003243226812078781,-0.0030968287329190903,5,2356.8,30.750342110577257,31.499879626091,0.577178187178053,0.3361391083379655,36.7300280157135,0.0030540067673079595,-0.0036018414745830674,2.1086532516149488,63.16794862991337,67.17531644404694,90.34263780782798,0.09487186360275746,0.18847232498110827,0.3641403503882133,0.5210434470461194,0.4789565529538806,300,10,5,sqrt,20260520
raw_depth_only_rf,rf_medium,1,relative_depth,30.934449790464434,0.5798744917860825,37.03589109365903,-0.013371656415101185,0.020556444692954277,5,2356.8,30.934318428341914,30.38717307574579,0.579857335694359,0.3315040943228082,37.03450178266444,-0.01354490725742159,0.020066257211411576,1.6986256058890448,63.15895247728444,67.41773178666023,94.21928840727517,0.09572004115645336,0.18948866277644366,0.36379798112430894,0.5156976578735494,0.48430234212645074,300,16,3,sqrt,20260520
raw_depth_only_rf,rf_deep,1,relative_depth,31.485911449466073,0.586876299349984,37.87349011448015,-0.05972654343568817,0.06940226893082702,5,2356.8,31.485669600749958,29.179672037572495,0.5868574954526807,0.3326723213214599,37.870936238892156,-0.05991005416247264,0.06888088142729229,1.562133385734512,63.095358774639045,69.61267333025205,103.87533606071568,0.09419108895427544,0.18253191604097546,0.3604065684469631,0.5134068965930668,0.4865931034069332,300,24,2,sqrt,20260520
raw_depth_only_rf,rf_unbounded,1,relative_depth,33.764139350038036,0.6143707638631861,41.310546580383935,-0.26079662825577277,0.09480364830078795,5,2356.8,33.76389738529159,29.635047979797992,0.6143524531969213,0.3557731832701655,41.30878657927,-0.2610716211802158,0.09426162524779019,1.1148571428571394,68.49566343193844,79.06432992424241,115.07984920634922,0.09012171243835204,0.17625756590475952,0.3481906211439531,0.5083972827802892,0.49160271721971077,300,,2,sqrt,20260520
geometry_metadata_rf,rf_shallow,12,bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.408543500546916,0.10618983591140753,11.18620505205051,0.907553875729052,-0.006992228480665639,5,2356.8,8.408626221210746,6.7911002091032575,0.10619098700767335,0.08614536488223905,11.185969582895423,0.9075155172652105,-0.006917214235683584,0.059218164143679884,18.329695169206293,22.915041776620324,51.3209276338978,0.4008766960767992,0.6637728229915992,0.9210777589658774,0.5139191883478496,0.4860808116521504,300,10,5,sqrt,20260520
geometry_metadata_rf,rf_medium,12,bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,7.9359190956052466,0.09990249164390212,10.707045915032996,0.9153040806540199,-0.018886559813828946,5,2356.8,7.935974593921502,6.129074857358768,0.09990353452728831,0.07924012373729108,10.707026538094446,0.915272825037895,-0.01882482979514991,-0.0005786298582059146,17.670398280039716,21.984148480203146,52.3755985094813,0.42930140595868876,0.6940709462316883,0.9301608926145496,0.5051848023545625,0.4878576240383586,300,16,3,sqrt,20260520
geometry_metadata_rf,rf_deep,12,bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,7.80270399583293,0.09813901202587272,10.601025487075908,0.9169730826372157,-0.014637409729517705,5,2356.8,7.802771745933612,5.945302520600319,0.09814016999606141,0.07719207275924542,10.601010201064215,0.9169427054607351,-0.014583132644763444,-0.022406967487849982,17.594578329035375,21.852218591670688,53.23897534015384,0.4397389207316431,0.7033222033133781,0.9320267390283897,0.503656028246737,0.48709527413716014,300,24,2,sqrt,20260520
geometry_metadata_rf,rf_unbounded,12,bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,7.81071669450087,0.0982676236371203,10.605713385561948,0.9168996354372431,-0.018173921616363404,5,2356.8,7.810783818695134,5.972847596847582,0.09826878023677829,0.07712604175123479,10.605690049353415,0.9168688866232257,-0.01811487223693047,-0.02916642616642733,17.55337551514919,21.875958129107673,53.16952260552465,0.43795738629484166,0.7016232191906309,0.9320272072685452,0.5032332717120035,0.48726436960890085,300,,2,sqrt,20260520
raw_depth_geometry_metadata_rf,rf_shallow,13,relative_depth | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,8.284638020132206,0.10499881946697288,10.958579404214083,0.9112779283478457,-0.002935038124138566,5,2356.8,8.284710981911783,6.690676620096681,0.10499995623775601,0.08455432345181571,10.958249413317237,0.9112393134641186,-0.002878780242522089,0.11449754664215597,17.94209235491241,22.332458168705692,50.33952311002378,0.40410542607046285,0.6673406782649354,0.925745795655623,0.5181602886241021,0.4818397113758978,300,10,5,sqrt,20260520
raw_depth_geometry_metadata_rf,rf_medium,13,relative_depth | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,7.771109316633513,0.09819709502181483,10.39367521332291,0.9201892412372299,0.019798248756180695,5,2356.8,7.771166537472402,6.1328786964065864,0.0981982035478379,0.07817875416272621,10.393439881523042,0.9201536771968186,0.01983261610737564,0.07202751506882166,17.241120332158072,21.416702856153215,49.4032549812625,0.4296426960536026,0.6990825789327095,0.9361855101025099,0.5117965115841849,0.48370710513389525,300,16,3,sqrt,20260520
raw_depth_geometry_metadata_rf,rf_deep,13,relative_depth | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,7.636387037001139,0.09638571797255789,10.268355662194113,0.9221022413393251,0.025172619234382236,5,2356.8,7.636444105718534,5.907182202836401,0.09638688005549848,0.07613182260885284,10.268196341914072,0.9220680869555027,0.025223376354370452,0.05908706741601364,16.995999634189324,21.24534800561638,48.999625074000086,0.44186077053960576,0.7108759888583053,0.9382219271163172,0.5117114418584157,0.4825182872744393,300,24,2,sqrt,20260520
raw_depth_geometry_metadata_rf,rf_unbounded,13,relative_depth | bbox_width_px | bbox_height_px | bbox_width_norm | bbox_height_norm | bbox_area_ratio | bbox_aspect_ratio | bbox_center_x_norm | bbox_center_y_norm | weather=clear_sky | weather=light_rain | time_of_day=10AM | time_of_day=8PM,7.633880897905884,0.09632801309104536,10.265999342430348,0.9221379882445009,0.020188000136008542,5,2356.8,7.633938934076445,5.925530210530209,0.09632916690465942,0.07578284622956573,10.265787631781922,0.9221035497865582,0.020229760216429367,0.06536813186813575,17.03981271141712,21.155661864622914,48.90390061327561,0.44211526021411973,0.7118962520096096,0.9379679054357843,0.5123061379991596,0.4813301199656584,300,,2,sqrt,20260520
small_rf_depth_only_rf,rf_shallow,1,depth_lower_model_prediction,21.41819615260242,0.3571698828023977,27.3034703544829,0.4492444810404461,-0.026516427430547426,5,2356.8,21.41823814597378,17.417709999090288,0.3571632646623944,0.219801532870561,27.299599212328552,0.44918048649963965,-0.026929982265791907,0.22674677244736544,45.526666432183895,53.952586841155515,93.9475488811873,0.16301569411060682,0.30914931331420037,0.5562574951531205,0.5052596706706948,0.4926193807822262,300,10,5,sqrt,20260520
small_rf_depth_only_rf,rf_medium,1,depth_lower_model_prediction,22.14331492214464,0.3659277531440379,28.255541306355013,0.4101651624344461,-0.037161743818363624,5,2356.8,22.143319650051914,17.93006101718657,0.3659212944624909,0.22767381236569909,28.252138596384505,0.41006695941941596,-0.03756115054798083,0.2261198543581056,47.21948854103819,56.229790787489456,98.28527390795912,0.16030394689558958,0.30168261378234795,0.5429339813688411,0.502968693717621,0.49329712660193276,300,16,3,sqrt,20260520
small_rf_depth_only_rf,rf_deep,1,depth_lower_model_prediction,23.351059152111066,0.3805184166921596,29.854904965250704,0.3415018752898821,-0.0039371156046612244,5,2356.8,23.35110944460038,19.127651171634817,0.3805130972251701,0.24182466067243785,29.852062676286415,0.34136390924113796,-0.004357723161325033,0.24607286529433453,49.60843275555904,59.8688641220244,106.21952682802915,0.15402721984238463,0.2869953139426817,0.5192650789548263,0.5033937193852689,0.4921084177981238,300,24,2,sqrt,20260520
small_rf_depth_only_rf,rf_unbounded,1,depth_lower_model_prediction,23.76431510088768,0.3851032338156145,30.41698870969963,0.3164731334539158,0.01562867700034694,5,2356.8,23.764385618008774,19.432863035113037,0.3850982594564568,0.24646799108954093,30.414396264324886,0.3163041053372184,0.01522143629559285,0.2777526455026589,50.861944865319884,61.104175108225114,107.65280952380954,0.15207511294117657,0.28326185574450136,0.5128166991449558,0.504667355132345,0.4908347820510479,300,,2,sqrt,20260520
