model_name,model_label,weather,count,mae,mean_relative_error,median_relative_error,mean_signed_error,rmse
geometry_metadata_rf,Geometry + Metadata RF,clear_sky,1041,4.7875236600195725,0.07258335051340495,0.049939745679348564,-0.11905302678448168,6.817116865899261
geometry_metadata_rf,Geometry + Metadata RF,light_rain,1039,6.017780825566893,0.08336701040177877,0.05668316035816062,-0.2833301316118265,8.684876187850614
raw_depth_geometry_metadata_rf,Raw Depth + Geometry + Metadata RF,clear_sky,1041,4.722294543104851,0.0702895692284288,0.0468505291005292,-0.34607927100765923,6.7510237041324865
raw_depth_geometry_metadata_rf,Raw Depth + Geometry + Metadata RF,light_rain,1039,5.699644748784269,0.07841127326540576,0.055569312169312324,-0.008023425583246317,8.214753832602222
raw_depth_only_rf,Raw Depth Only RF,clear_sky,1041,23.26601618676454,0.4416579684926419,0.27573431527197817,-3.702491951170185,28.75982437063172
raw_depth_only_rf,Raw Depth Only RF,light_rain,1039,23.293726401037233,0.5234016468026851,0.2637162471758763,3.7476914097849052,28.44624769563329
small_rf_depth_only_rf,Small RF Depth Only RF,clear_sky,1041,19.15856188058637,0.3345819799668488,0.2239700869087527,-5.620030107668363,24.76934462636959
small_rf_depth_only_rf,Small RF Depth Only RF,light_rain,1039,18.95459535130293,0.40706287232115496,0.20222830029642405,5.626749424635067,23.74700066415717
stacked_rf_depth_geometry_metadata_rf,Stacked RF Depth + Geometry + Metadata RF,clear_sky,1041,4.845682395359385,0.07279924250299763,0.04967513227513209,-0.2512954413854613,6.872177851646844
stacked_rf_depth_geometry_metadata_rf,Stacked RF Depth + Geometry + Metadata RF,light_rain,1039,5.818942491788869,0.0806527411758243,0.054454992726334375,-0.08694959700539492,8.40061346973512
