model_name,model_label,time_of_day,count,mae,mean_relative_error,median_relative_error,mean_signed_error,rmse
geometry_metadata_rf,Geometry + Metadata RF,10AM,1358,5.711313579635266,0.08088222412521395,0.05703276932508281,-0.3994783178382032,8.170960562194992
geometry_metadata_rf,Geometry + Metadata RF,8PM,722,4.820391366620065,0.07249242566462899,0.04524465970769555,0.17199078669937273,7.0691956879395095
raw_depth_geometry_metadata_rf,Raw Depth + Geometry + Metadata RF,10AM,1358,5.416883061250394,0.07571536835531074,0.05216569830379271,-0.3623558200725245,7.761025779870332
raw_depth_geometry_metadata_rf,Raw Depth + Geometry + Metadata RF,8PM,722,4.822316227397465,0.07177186186016478,0.04605277934146983,0.17101709606443458,7.037868883312782
raw_depth_only_rf,Raw Depth Only RF,10AM,1358,22.392449455369587,0.45329138105847744,0.2547154912569797,-1.0578509188856078,27.918953148087862
raw_depth_only_rf,Raw Depth Only RF,8PM,722,24.94897260485827,0.5374107489631823,0.3015913098064288,2.0444858745775747,29.848872233747876
small_rf_depth_only_rf,Small RF Depth Only RF,10AM,1358,18.542528165539448,0.33755198895792854,0.21389441806294518,-3.063793443935752,23.71365468211083
small_rf_depth_only_rf,Small RF Depth Only RF,8PM,722,20.02373163281383,0.4332999508065134,0.21234140101817595,5.756749040135489,25.266816592064703
stacked_rf_depth_geometry_metadata_rf,Stacked RF Depth + Geometry + Metadata RF,10AM,1358,5.582883035268847,0.07886294572005388,0.05498279424598371,-0.38024846044316896,7.9797039330459905
stacked_rf_depth_geometry_metadata_rf,Stacked RF Depth + Geometry + Metadata RF,8PM,722,4.859669613078477,0.07269574686907042,0.04673439256535231,0.22775377217583467,7.0626510288956
