rf_weight,xgb_weight,oof_mae,oof_mean_relative_error,oof_rmse,oof_r2
0.0,1.0,7.753606902402254,0.1027503452005498,10.641826084923329,0.922039096804804
0.01,0.99,7.750248962989958,0.10267683813219432,10.638779088768233,0.9220837343628514
0.02,0.98,7.746978640421996,0.10260447436380951,10.635838277418605,0.9221268042239573
0.03,0.97,7.743785626232811,0.10253310266887376,10.633003738978282,0.922168306388122
0.04,0.96,7.740669152014118,0.10246293693307683,10.630275558459541,0.9222082408553451
0.05,0.95,7.737615702729931,0.1023937584275472,10.627653817770474,0.9222466076256268
0.06,0.94,7.73463153882494,0.10232571356476333,10.625138595702799,0.9222834066989671
0.07,0.9299999999999999,7.7317277386172,0.10225878861316169,10.622729967920108,0.9223186380753661
0.08,0.92,7.728899146359915,0.10219281086674564,10.62042800694659,0.9223523017548236
0.09,0.91,7.72614423008175,0.10212796356894764,10.618232782156168,0.9223843977373397
0.1,0.9,7.72345014490953,0.10206407376333122,10.616144359762124,0.9224149260229144
0.11,0.89,7.720822360688635,0.1020012121167128,10.614162802807167,0.9224438866115476
0.12,0.88,7.718272862464535,0.10193950546086297,10.612288171153956,0.9224712795032396
0.13,0.87,7.715788499989685,0.10187887822429846,10.610520521476126,0.92249710469799
0.14,0.86,7.71338116838622,0.10181925526185143,10.608859907249723,0.922521362195799
0.15,0.85,7.711032496688317,0.10176052927904247,10.607306378745175,0.9225440519966667
0.16,0.84,7.708747994201106,0.10170267201982625,10.605859983019688,0.9225651741005929
0.17,0.83,7.706539102263813,0.10164588998640338,10.604520763910152,0.9225847285075777
0.18,0.8200000000000001,7.704408268744118,0.10159021312481101,10.603288762026503,0.922602715217621
0.19,0.81,7.7023549905336015,0.10153561676128978,10.602164014745592,0.9226191342307231
0.2,0.8,7.700377884535383,0.10148213877707099,10.601146556205515,0.9226339855468837
0.21,0.79,7.698489612372437,0.10142988652479931,10.600236417300446,0.9226472691661027
0.22,0.78,7.696676935267248,0.10137864085201147,10.599433625675946,0.9226589850883806
0.23,0.77,7.694944523583534,0.10132847086231714,10.59873820572478,0.9226691333137169
0.24,0.76,7.693296270692197,0.10127951753281712,10.598150178583204,0.9226777138421118
0.25,0.75,7.691738809386379,0.10123184927186149,10.597669562127756,0.9226847266735654
0.26,0.74,7.690248042504885,0.10118526487054304,10.597296370972543,0.9226901718080774
0.27,0.73,7.688834219091498,0.1011397639299105,10.59703061646702,0.9226940492456481
0.28,0.72,7.687503914194046,0.1010954470598682,10.596872306694264,0.9226963589862774
0.29,0.71,7.686262591102511,0.10105239213139497,10.596821446469741,0.9226971010299653
0.3,0.7,7.685103416389244,0.10101049480385642,10.596878037340582,0.9226962753767117
0.31,0.69,7.684022563877868,0.10096980988698288,10.597042077585336,0.9226938820265168
0.32,0.6799999999999999,7.6830057705108254,0.10093010177434314,10.597313562214243,0.9226899209793804
0.33,0.6699999999999999,7.682050253831521,0.10089139057775642,10.597692482969986,0.9226843922353026
0.34,0.6599999999999999,7.681184430324116,0.10085409641066784,10.598178828328951,0.9226772957942835
0.35,0.65,7.68040749123824,0.10081794125148962,10.598772583502978,0.9226686316563228
0.36,0.64,7.679703956344246,0.10078285603605061,10.599473730441598,0.9226583998214208
0.37,0.63,7.679088853370434,0.10074898632082914,10.600282247834796,0.9226466002895775
0.38,0.62,7.678557172079048,0.10071624106576538,10.601198111116233,0.9226332330607926
0.39,0.61,7.67810976633991,0.10068481927610567,10.602221292466973,0.9226182981350664
0.4,0.6,7.677730753727987,0.10065458853891689,10.603351760819718,0.9226017955123987
0.41,0.5900000000000001,7.677429206890092,0.1006254936116577,10.604589481863501,0.9225837251927896
0.42,0.5800000000000001,7.677201746406674,0.10059741482668066,10.605934418048898,0.9225640871762392
0.43,0.5700000000000001,7.6770423638417515,0.10057031516963902,10.607386528593707,0.9225428814627473
0.44,0.56,7.676970811784171,0.10054452105160067,10.608945769489123,0.922520108052314
0.45,0.55,7.676973567810879,0.1005198646424863,10.610612093506383,0.9224957669449393
0.46,0.54,7.677035873975291,0.10049613381037954,10.612385450203904,0.9224698581406231
0.47,0.53,7.677165543550296,0.10047348602535555,10.614265785934888,0.9224423816393655
0.48,0.52,7.677371337129239,0.1004520831012401,10.61625304385541,0.9224133374411666
0.49,0.51,7.6776471329118054,0.10043174952945219,10.61834716393297,0.9223827255460263
0.5,0.5,7.677981034163445,0.10041237608513325,10.620548082955526,0.9223505459539445
0.51,0.49,7.678383615357606,0.10039402545002692,10.622855734540977,0.9223167986649213
0.52,0.48,7.678854051572437,0.10037676133261783,10.625270049147117,0.9222814836789568
0.53,0.47,7.679397022136534,0.10036062310803999,10.62779095408205,0.9222446009960508
0.54,0.45999999999999996,7.67999750208308,0.10034547120457213,10.63041837351506,0.9222061506162034
0.55,0.44999999999999996,7.680669757387867,0.10033147527490757,10.633152228487926,0.9221661325394145
0.56,0.43999999999999995,7.6814051301419966,0.10031852180461859,10.635992436926692,0.9221245467656842
0.57,0.43000000000000005,7.6822069083545195,0.10030669245543229,10.638938913653872,0.9220813932950126
0.58,0.42000000000000004,7.683097458803549,0.10029618618736387,10.641991570401114,0.9220366721273995
0.59,0.41000000000000003,7.684045787956421,0.10028663346497833,10.645150315822267,0.9219903832628451
0.6,0.4,7.685065297350619,0.10027818314457583,10.648415055506913,0.9219425267013491
0.61,0.39,7.686149007368284,0.10027083095169355,10.651785691994302,0.9218931024429119
0.62,0.38,7.687321123827547,0.10026488394170317,10.655262124787713,0.9218421104875332
0.63,0.37,7.688577567735762,0.10026023326750125,10.658844250369246,0.9217895508352131
0.64,0.36,7.689917380208828,0.10025689206474148,10.66253196221499,0.9217354234859515
0.65,0.35,7.691338269247037,0.10025485758747463,10.666325150810652,0.9216797284397485
0.66,0.33999999999999997,7.692818904564475,0.10025377018271948,10.670223703667524,0.9216224656966042
0.67,0.32999999999999996,7.6943741535128,0.10025385843207595,10.674227505338903,0.9215636352565184
0.68,0.31999999999999995,7.696005239433299,0.10025512938761022,10.67833643743686,0.9215032371194913
0.69,0.31000000000000005,7.697716266301633,0.10025773973155974,10.682550378649411,0.9214412712855227
0.7,0.30000000000000004,7.699507688265427,0.10026166971161252,10.686869204758077,0.9213777377546127
0.71,0.29000000000000004,7.701377368046406,0.10026674364451858,10.691292788655785,0.9213126365267613
0.72,0.28,7.70333226576324,0.10027304756848332,10.695821000365175,0.9212459676019684
0.73,0.27,7.705353666677432,0.10028041240399962,10.70045370705724,0.9211777309802343
0.74,0.26,7.707455960634398,0.10028912650506827,10.705190773070335,0.9211079266615586
0.75,0.25,7.709639288160646,0.10029921387601134,10.710032059929524,0.9210365546459416
0.76,0.24,7.711898628320214,0.10031054472688457,10.71497742636629,0.9209636149333831
0.77,0.22999999999999998,7.714234087491324,0.10032330519067381,10.720026728338548,0.9208891075238832
0.78,0.21999999999999997,7.716642733021127,0.10033733920202036,10.725179819051027,0.9208130324174418
0.79,0.20999999999999996,7.719121551813274,0.10035272935436361,10.730436548975945,0.9207353896140592
0.8,0.19999999999999996,7.721673513213604,0.10036944662188545,10.73579676587402,0.9206561791137351
0.81,0.18999999999999995,7.724306287121888,0.10038757258938681,10.741260314815769,0.9205754009164695
0.82,0.18000000000000005,7.727040868663657,0.10040752453752087,10.746827038203142,0.9204930550222625
0.83,0.17000000000000004,7.729868416074428,0.1004289806735478,10.752496775791418,0.9204091414311143
0.84,0.16000000000000003,7.732759993102599,0.10045158573318111,10.75826936471143,0.9203236601430245
0.85,0.15000000000000002,7.735734117135179,0.10047565163216342,10.764144639492027,0.9202366111579933
0.86,0.14,7.738788652943666,0.10050126358471058,10.770122432082852,0.9201479944760207
0.87,0.13,7.74193426415378,0.10052845554187159,10.776202571877366,0.9200578100971067
0.88,0.12,7.7451645891150855,0.10055710753060462,10.78238488573615,0.9199660580212513
0.89,0.10999999999999999,7.748471857688809,0.10058723626605971,10.788669198010437,0.9198727382484545
0.9,0.09999999999999998,7.751867597550469,0.10061905404858601,10.795055330565928,0.9197778507787163
0.91,0.08999999999999997,7.75533550091029,0.10065222622281138,10.80154310280681,0.9196813956120367
0.92,0.07999999999999996,7.758889948961169,0.10068690137610307,10.808132331700039,0.9195833727484156
0.93,0.06999999999999995,7.762533521808505,0.10072324910231037,10.814822831799832,0.9194837821878531
0.94,0.06000000000000005,7.766267968950974,0.10076151552242078,10.82161441527238,0.9193826239303492
0.95,0.050000000000000044,7.770100459179321,0.10080178058452109,10.828506891920782,0.9192798979759039
0.96,0.040000000000000036,7.774026832798091,0.10084385813374076,10.83550006921017,0.9191756043245173
0.97,0.030000000000000027,7.7780454844054105,0.10088785563730561,10.842593752293045,0.9190697429761892
0.98,0.020000000000000018,7.78215089979669,0.10093382362538028,10.849787744034792,0.9189623139309196
0.99,0.010000000000000009,7.7863571017055335,0.10098222052196512,10.857081845039385,0.9188533171887087
1.0,0.0,7.790667911668977,0.10103324866921826,10.86447585367527,0.9187427527495563
