winner_model_name,baseline_model_name,baseline_model_label,true_distance_m,mae_improvement_m,mean_relative_error_improvement,mean_signed_error_delta
stacked_rf_depth_geometry_metadata_linear,small_rf_depth_only_linear,Small RF Depth Only,125.0,11.521499893483835,0.0921719991478707,11.613069255725646
stacked_rf_depth_geometry_metadata_linear,small_rf_depth_only_linear,Small RF Depth Only,150.0,14.111768993370589,0.094078459955804,14.111768993370589
stacked_rf_depth_geometry_metadata_linear,raw_depth_only_linear,Raw Depth Only,20.0,47.89772841977748,2.3948864209888736,-70.08858457768486
stacked_rf_depth_geometry_metadata_linear,raw_depth_only_linear,Raw Depth Only,30.0,39.99456273710215,1.3331520912367378,-59.33996486994257
stacked_rf_depth_geometry_metadata_linear,raw_depth_only_linear,Raw Depth Only,40.0,30.694312814608207,0.7673578203652052,-36.1579047566068
stacked_rf_depth_geometry_metadata_linear,raw_depth_only_linear,Raw Depth Only,50.0,17.817517697600994,0.35635035395201997,-19.808259534058458
stacked_rf_depth_geometry_metadata_linear,raw_depth_only_linear,Raw Depth Only,60.0,7.149230276159688,0.11915383793599493,-8.39024901979373
stacked_rf_depth_geometry_metadata_linear,raw_depth_only_linear,Raw Depth Only,70.0,0.1267911733844116,0.0018113024769201569,-2.7075522316514586
stacked_rf_depth_geometry_metadata_linear,raw_depth_only_linear,Raw Depth Only,80.0,-8.954377945521705,-0.11192972431902129,6.602477566874141
stacked_rf_depth_geometry_metadata_linear,raw_depth_only_linear,Raw Depth Only,90.0,-0.34199855731382556,-0.003799983970153617,16.301945773738954
stacked_rf_depth_geometry_metadata_linear,raw_depth_only_linear,Raw Depth Only,100.0,11.43778393886717,0.1143778393886717,18.512574682906823
stacked_rf_depth_geometry_metadata_linear,raw_depth_only_linear,Raw Depth Only,115.0,26.626573223141722,0.23153541933166716,29.174805106410012
stacked_rf_depth_geometry_metadata_linear,raw_depth_only_linear,Raw Depth Only,125.0,30.280802583063142,0.24224642066450514,30.372371945304955
stacked_rf_depth_geometry_metadata_linear,raw_depth_only_linear,Raw Depth Only,150.0,39.30523073886941,0.2620348715924629,39.30523073886941
